"Status","Year","Function_of_post","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA/AO","Female","Heterosexual / straight","60","55","21700","21050"
"In post","2021","Analysis","AA/AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","AA/AO","Female","Unknown","35","30","20610","21050"
"In post","2021","Analysis","AA/AO","Male","Heterosexual / straight","50","45","22000","21590"
"In post","2021","Analysis","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","AA/AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","AA/AO","Male","Unknown","35","35","20820","21050"
"In post","2021","Analysis","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA/AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Female","Heterosexual / straight","200","185","26400","26090"
"In post","2021","Analysis","EO","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","EO","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","EO","Female","Unknown","115","105","25820","24920"
"In post","2021","Analysis","EO","Male","Heterosexual / straight","210","210","26920","26670"
"In post","2021","Analysis","EO","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Analysis","EO","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","EO","Male","Unknown","100","100","26350","25620"
"In post","2021","Analysis","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Female","Heterosexual / straight","725","670","57820","55840"
"In post","2021","Analysis","G6/G7","Female","LGBO","55","50","57990","58130"
"In post","2021","Analysis","G6/G7","Female","Undeclared","60","55","60230","58710"
"In post","2021","Analysis","G6/G7","Female","Unknown","175","165","57290","54160"
"In post","2021","Analysis","G6/G7","Male","Heterosexual / straight","895","880","59100","57150"
"In post","2021","Analysis","G6/G7","Male","LGBO","65","60","59300","57850"
"In post","2021","Analysis","G6/G7","Male","Undeclared","115","115","60680","57390"
"In post","2021","Analysis","G6/G7","Male","Unknown","320","315","57180","54760"
"In post","2021","Analysis","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6/G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS level","Female","Heterosexual / straight","50","45","84750","78830"
"In post","2021","Analysis","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","SCS level","Male","Heterosexual / straight","65","65","87290","78350"
"In post","2021","Analysis","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Female","Heterosexual / straight","1140","1080","36120","36030"
"In post","2021","Analysis","SEO/HEO","Female","LGBO","120","120","34910","33210"
"In post","2021","Analysis","SEO/HEO","Female","Undeclared","100","95","35920","35900"
"In post","2021","Analysis","SEO/HEO","Female","Unknown","345","325","34740","35900"
"In post","2021","Analysis","SEO/HEO","Male","Heterosexual / straight","1235","1215","36150","36030"
"In post","2021","Analysis","SEO/HEO","Male","LGBO","115","115","36080","36160"
"In post","2021","Analysis","SEO/HEO","Male","Undeclared","150","145","37070","36530"
"In post","2021","Analysis","SEO/HEO","Male","Unknown","470","465","35130","35300"
"In post","2021","Analysis","SEO/HEO","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO/HEO","Unknown","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Female","Heterosexual / straight","205","190","22050","21130"
"In post","2021","Commercial","AA/AO","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","AA/AO","Female","Undeclared","35","30","21640","21580"
"In post","2021","Commercial","AA/AO","Female","Unknown","55","50","22680","21980"
"In post","2021","Commercial","AA/AO","Male","Heterosexual / straight","130","125","22390","21130"
"In post","2021","Commercial","AA/AO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","AA/AO","Male","Undeclared","30","30","22190","21590"
"In post","2021","Commercial","AA/AO","Male","Unknown","55","50","21510","20920"
"In post","2021","Commercial","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Female","Heterosexual / straight","370","345","26770","26670"
"In post","2021","Commercial","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","EO","Female","Undeclared","55","50","27110","26780"
"In post","2021","Commercial","EO","Female","Unknown","65","65","26080","26120"
"In post","2021","Commercial","EO","Male","Heterosexual / straight","250","250","27030","26670"
"In post","2021","Commercial","EO","Male","LGBO","20","15","[c]","[c]"
"In post","2021","Commercial","EO","Male","Undeclared","35","35","27840","27200"
"In post","2021","Commercial","EO","Male","Unknown","45","45","26040","26350"
"In post","2021","Commercial","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Female","Heterosexual / straight","375","360","60840","58070"
"In post","2021","Commercial","G6/G7","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","G6/G7","Female","Undeclared","30","25","62950","58760"
"In post","2021","Commercial","G6/G7","Female","Unknown","390","380","60140","54700"
"In post","2021","Commercial","G6/G7","Male","Heterosexual / straight","420","410","61990","60380"
"In post","2021","Commercial","G6/G7","Male","LGBO","20","20","[c]","[c]"
"In post","2021","Commercial","G6/G7","Male","Undeclared","50","50","66280","64500"
"In post","2021","Commercial","G6/G7","Male","Unknown","445","445","62110","56720"
"In post","2021","Commercial","G6/G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6/G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Heterosexual / straight","50","50","106410","96150"
"In post","2021","Commercial","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Unknown","175","170","83010","71500"
"In post","2021","Commercial","SCS level","Male","Heterosexual / straight","100","100","106460","100070"
"In post","2021","Commercial","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Unknown","240","240","91390","72930"
"In post","2021","Commercial","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Female","Heterosexual / straight","1115","1070","37550","36880"
"In post","2021","Commercial","SEO/HEO","Female","LGBO","30","30","36980","36820"
"In post","2021","Commercial","SEO/HEO","Female","Undeclared","155","150","37200","36480"
"In post","2021","Commercial","SEO/HEO","Female","Unknown","270","260","36720","37420"
"In post","2021","Commercial","SEO/HEO","Male","Heterosexual / straight","1005","995","39320","39040"
"In post","2021","Commercial","SEO/HEO","Male","LGBO","55","55","37110","36000"
"In post","2021","Commercial","SEO/HEO","Male","Undeclared","145","145","39760","40400"
"In post","2021","Commercial","SEO/HEO","Male","Unknown","255","255","38530","38550"
"In post","2021","Commercial","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Heterosexual / straight","95","90","37420","35980"
"In post","2021","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Heterosexual / straight","80","80","43490","40960"
"In post","2021","Commercial","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","Unknown","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Female","Heterosexual / straight","180","150","21430","21400"
"In post","2021","Communications","AA/AO","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Communications","AA/AO","Female","Undeclared","35","30","21480","21440"
"In post","2021","Communications","AA/AO","Female","Unknown","80","70","21380","21050"
"In post","2021","Communications","AA/AO","Male","Heterosexual / straight","120","115","21410","21000"
"In post","2021","Communications","AA/AO","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Communications","AA/AO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Communications","AA/AO","Male","Unknown","45","45","21450","21440"
"In post","2021","Communications","AA/AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Communications","AA/AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","EO","Female","Heterosexual / straight","795","745","26010","25560"
"In post","2021","Communications","EO","Female","LGBO","55","50","26000","25560"
"In post","2021","Communications","EO","Female","Undeclared","70","65","26120","25560"
"In post","2021","Communications","EO","Female","Unknown","585","555","26070","25560"
