"Status","Year","Parent_department","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","London","Female","Heterosexual / straight","2010","1865","48720","51250"
"In post","2021","Attorney General's Departments","London","Female","LGBO","105","100","48290","51120"
"In post","2021","Attorney General's Departments","London","Female","Undeclared","150","140","51080","51250"
"In post","2021","Attorney General's Departments","London","Female","Unknown","670","595","51680","52950"
"In post","2021","Attorney General's Departments","London","Male","Heterosexual / straight","1115","1095","49840","51250"
"In post","2021","Attorney General's Departments","London","Male","LGBO","155","155","50430","51250"
"In post","2021","Attorney General's Departments","London","Male","Undeclared","100","100","52240","52730"
"In post","2021","Attorney General's Departments","London","Male","Unknown","375","365","53520","57780"
"In post","2021","Attorney General's Departments","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","Female","Heterosexual / straight","2475","2250","38270","32480"
"In post","2021","Attorney General's Departments","Outside London","Female","LGBO","85","80","34240","27660"
"In post","2021","Attorney General's Departments","Outside London","Female","Undeclared","80","75","37070","31560"
"In post","2021","Attorney General's Departments","Outside London","Female","Unknown","805","690","40980","34480"
"In post","2021","Attorney General's Departments","Outside London","Male","Heterosexual / straight","1165","1135","43590","48080"
"In post","2021","Attorney General's Departments","Outside London","Male","LGBO","90","85","42740","48080"
"In post","2021","Attorney General's Departments","Outside London","Male","Undeclared","55","50","43110","45530"
"In post","2021","Attorney General's Departments","Outside London","Male","Unknown","400","390","46600","53850"
"In post","2021","Attorney General's Departments","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Female","Heterosexual / straight","1780","1730","49860","54700"
"In post","2021","Cabinet Office","London","Female","LGBO","135","130","44070","37300"
"In post","2021","Cabinet Office","London","Female","Undeclared","185","180","47910","41910"
"In post","2021","Cabinet Office","London","Female","Unknown","1350","1330","43610","32000"
"In post","2021","Cabinet Office","London","Male","Heterosexual / straight","1440","1430","54600","54700"
"In post","2021","Cabinet Office","London","Male","LGBO","230","230","49130","54700"
"In post","2021","Cabinet Office","London","Male","Undeclared","220","220","53310","54700"
"In post","2021","Cabinet Office","London","Male","Unknown","1160","1155","51270","36400"
"In post","2021","Cabinet Office","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","Female","Heterosexual / straight","615","570","35220","32960"
"In post","2021","Cabinet Office","Outside London","Female","LGBO","30","30","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","Female","Undeclared","40","35","33440","33300"
"In post","2021","Cabinet Office","Outside London","Female","Unknown","585","565","43920","33300"
"In post","2021","Cabinet Office","Outside London","Male","Heterosexual / straight","440","430","38440","33300"
"In post","2021","Cabinet Office","Outside London","Male","LGBO","35","35","33770","32000"
"In post","2021","Cabinet Office","Outside London","Male","Undeclared","45","45","35620","33300"
"In post","2021","Cabinet Office","Outside London","Male","Unknown","565","560","47090","40580"
"In post","2021","Cabinet Office","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Female","Heterosexual / straight","75","75","41720","37300"
"In post","2021","Cabinet Office","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Female","Unknown","240","235","34330","31960"
"In post","2021","Cabinet Office","Unknown","Male","Heterosexual / straight","65","65","42050","34550"
"In post","2021","Cabinet Office","Unknown","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Male","Unknown","200","200","34760","32000"
"In post","2021","Cabinet Office","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","London","Female","Heterosexual / straight","125","115","54350","47860"
"In post","2021","Chancellor's other departments","London","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","London","Female","Undeclared","25","25","[c]","[c]"
"In post","2021","Chancellor's other departments","London","Female","Unknown","[c]","[c]","[c]","[c]"
