"Status","Year","Age","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","AA/AO","Heterosexual / straight","40","35","23410","23500"
"In post","2021","16-19","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","AA/AO","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","EO","Heterosexual / straight","55","55","26510","26330"
"In post","2021","16-19","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","London","EO","Unknown","20","20","[c]","[c]"
"In post","2021","16-19","London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","AA/AO","Heterosexual / straight","460","440","20760","21010"
"In post","2021","16-19","Outside London","AA/AO","LGBO","40","40","20520","21010"
"In post","2021","16-19","Outside London","AA/AO","Undeclared","35","35","21200","21010"
"In post","2021","16-19","Outside London","AA/AO","Unknown","345","325","20450","20140"
"In post","2021","16-19","Outside London","EO","Heterosexual / straight","140","140","22200","21490"
"In post","2021","16-19","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Outside London","EO","Unknown","65","65","19860","17780"
"In post","2021","16-19","Outside London","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
