"Status","Year","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G6","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G7","Heterosexual / straight","30","30","52750","52240"
"In post","2021","Analysis","Digital, Data and Technology","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","G7","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","HEO","Heterosexual / straight","40","35","33800","33190"
"In post","2021","Analysis","Digital, Data and Technology","HEO","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","HEO","Undeclared","5","5","[c]","[c]"
