"Status","Year","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","East Midlands (England)","Outside London","130","125","42920","41580"
"In post","2021","Commercial","East of England","Outside London","250","240","39040","35830"
"In post","2021","Commercial","London","London","880","860","47680","43320"
"In post","2021","Commercial","North East (England)","Outside London","115","115","43100","40780"
"In post","2021","Commercial","North West (England)","Outside London","515","495","38480","35900"
"In post","2021","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","Overseas","35","35","49340","43060"
"In post","2021","Commercial","Scotland","Outside London","280","270","35670","33930"
"In post","2021","Commercial","South East (England)","Outside London","460","445","38450","36800"
"In post","2021","Commercial","South West (England)","Outside London","1720","1650","39520","37400"
"In post","2021","Commercial","Unknown","Unknown","10","10","35360","37130"
"In post","2021","Commercial","Wales","Outside London","330","310","34990","31850"
"In post","2021","Commercial","West Midlands (England)","Outside London","250","245","39300","37040"
"In post","2021","Commercial","Yorkshire and The Humber","Outside London","370","360","40230","36960"
"In post","2021","Communications","East Midlands (England)","Outside London","105","100","36320","34290"
"In post","2021","Communications","East of England","Outside London","90","90","34210","32640"
"In post","2021","Communications","London","London","2090","2045","46250","42500"
"In post","2021","Communications","North East (England)","Outside London","120","110","33600","31810"
"In post","2021","Communications","North West (England)","Outside London","205","195","36370","33710"
"In post","2021","Communications","Northern Ireland","Outside London","30","30","41190","38270"
"In post","2021","Communications","Overseas","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","Outside London","70","70","37820","35430"
"In post","2021","Communications","South East (England)","Outside London","295","280","33370","31780"
"In post","2021","Communications","South West (England)","Outside London","315","300","35540","33490"
"In post","2021","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Wales","Outside London","355","335","36840","34120"
"In post","2021","Communications","West Midlands (England)","Outside London","145","140","38970","36700"
"In post","2021","Communications","Yorkshire and The Humber","Outside London","130","125","41730","38400"
"In post","2021","Corporate Finance","East of England","Outside London","10","10","31730","26890"
"In post","2021","Corporate Finance","London","London","75","75","55660","54110"
"In post","2021","Corporate Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Scotland","Outside London","10","10","44490","42390"
"In post","2021","Corporate Finance","South East (England)","Outside London","25","25","35780","37320"
"In post","2021","Corporate Finance","South West (England)","Outside London","30","30","45730","43390"
"In post","2021","Corporate Finance","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","West Midlands (England)","Outside London","10","10","45510","40800"
"In post","2021","Counter Fraud","East Midlands (England)","Outside London","20","20","34480","35570"
"In post","2021","Counter Fraud","East of England","Outside London","40","40","33710","34050"
"In post","2021","Counter Fraud","London","London","395","385","43330","40000"
"In post","2021","Counter Fraud","North East (England)","Outside London","40","35","27430","25310"
"In post","2021","Counter Fraud","North West (England)","Outside London","105","100","36090","35070"
"In post","2021","Counter Fraud","Northern Ireland","Outside London","10","10","23850","24970"
"In post","2021","Counter Fraud","Scotland","Outside London","90","80","29070","25310"
"In post","2021","Counter Fraud","South East (England)","Outside London","10","10","33390","36940"
"In post","2021","Counter Fraud","South West (England)","Outside London","20","15","38800","39330"
"In post","2021","Counter Fraud","Wales","Outside London","35","30","34130","31000"
"In post","2021","Counter Fraud","West Midlands (England)","Outside London","70","70","37600","37650"
