"Status","Year","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","Female","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","Male","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","Female","55","55","43930","39750"
"In post","2021","Attorney General's Departments","Communications","Male","25","25","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","Female","110","110","42550","35480"
"In post","2021","Attorney General's Departments","Counter Fraud","Male","170","165","47030","41140"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Female","75","70","38360","35290"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Male","105","100","41400","38540"
"In post","2021","Attorney General's Departments","Finance","Female","75","70","33290","30610"
"In post","2021","Attorney General's Departments","Finance","Male","60","60","39470","31560"
"In post","2021","Attorney General's Departments","Human Resources","Female","160","155","40910","35000"
"In post","2021","Attorney General's Departments","Human Resources","Male","60","60","38340","31880"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Female","10","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","Female","3300","2970","56270","55010"
"In post","2021","Attorney General's Departments","Legal","Male","1965","1910","58280","55610"
"In post","2021","Attorney General's Departments","Operational Delivery","Female","2220","2005","27060","25480"
"In post","2021","Attorney General's Departments","Operational Delivery","Male","840","825","28050","25820"
"In post","2021","Attorney General's Departments","Other","Female","270","260","32080","27580"
"In post","2021","Attorney General's Departments","Other","Male","165","160","33620","27650"
"In post","2021","Attorney General's Departments","Policy","Female","55","50","50840","54760"
"In post","2021","Attorney General's Departments","Policy","Male","30","30","49210","51330"
"In post","2021","Attorney General's Departments","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Female","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","Male","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Female","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Other","Female","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Other","Male","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Policy","Female","20","20","[c]","[c]"
"In post","2021","Cabinet Office","Policy","Male","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Female","4975","4830","44360","35590"
"In post","2021","Cabinet Office","Unknown","Male","4370","4335","49330","40600"
"In post","2021","Chancellor's other departments","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Female","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","Male","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","Male","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Female","20","15","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","Male","20","20","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Female","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","Male","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","Female","120","110","56760","48930"
"In post","2021","Chancellor's other departments","Other","Male","160","155","68700","57250"
