"Status","Year","Region_ITL1","Region_ITL2","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","AA/AO","3790","3435","22100","21010"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","EO","3545","3260","26740","27380"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","G6/G7","1140","1090","57230","53170"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","SCS level","75","75","90770","84340"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","SEO/HEO","3230","3065","35500","33520"
"In post","2021","East Midlands (England)","Derbyshire and Nottinghamshire","Outside London","Unknown","505","460","30010","30210"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","AA/AO","2915","2610","21930","21010"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","EO","1825","1685","27320","27570"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","G6/G7","200","185","58410","55610"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","SCS level","10","10","[c]","[c]"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","SEO/HEO","950","895","36630","35000"
"In post","2021","East Midlands (England)","Leicestershire, Rutland and Northamptonshire","Outside London","Unknown","355","330","29420","30210"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","AA/AO","1295","1210","22240","21010"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","EO","750","700","27810","27570"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","G6/G7","80","75","59080","55270"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","SEO/HEO","570","550","36560","35050"
"In post","2021","East Midlands (England)","Lincolnshire","Outside London","Unknown","135","130","30830","30210"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Outside London","AA/AO","1265","1180","24420","22910"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Outside London","EO","1610","1485","29030","29290"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Outside London","G6/G7","325","310","60350","59730"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Outside London","SCS level","30","30","88510","88300"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Outside London","SEO/HEO","1010","975","38640","37660"
"In post","2021","East of England","Bedfordshire and Hertfordshire","Outside London","Unknown","295","275","28030","24170"
"In post","2021","East of England","East Anglia","Outside London","AA/AO","4955","4550","23370","21430"
"In post","2021","East of England","East Anglia","Outside London","EO","3290","3040","27520","27570"
"In post","2021","East of England","East Anglia","Outside London","G6/G7","725","695","58460","54990"
"In post","2021","East of England","East Anglia","Outside London","SCS level","65","60","98590","92370"
"In post","2021","East of England","East Anglia","Outside London","SEO/HEO","2935","2800","36080","34260"
"In post","2021","East of England","East Anglia","Outside London","Unknown","490","450","29500","30210"
"In post","2021","East of England","Essex","Outside London","AA/AO","1610","1460","23720","21780"
"In post","2021","East of England","Essex","Outside London","EO","2275","2080","28700","29290"
"In post","2021","East of England","Essex","Outside London","G6/G7","290","275","58860","53360"
"In post","2021","East of England","Essex","Outside London","SCS level","30","25","96810","99910"
"In post","2021","East of England","Essex","Outside London","SEO/HEO","1145","1070","36760","35120"
"In post","2021","East of England","Essex","Outside London","Unknown","245","225","27880","24800"
"In post","2021","London","Inner London - East","London","AA/AO","2715","2510","25920","25110"
"In post","2021","London","Inner London - East","London","EO","4475","4245","30800","31060"
"In post","2021","London","Inner London - East","London","G6/G7","3760","3615","61740","59160"
"In post","2021","London","Inner London - East","London","SCS level","670","625","98940","94530"
"In post","2021","London","Inner London - East","London","SEO/HEO","4880","4715","39560","39800"
"In post","2021","London","Inner London - East","London","Unknown","695","675","33380","32090"
"In post","2021","London","Inner London - West","London","AA/AO","4495","4270","25560","24490"
"In post","2021","London","Inner London - West","London","EO","7875","7650","29290","29180"
"In post","2021","London","Inner London - West","London","G6/G7","21700","20990","60110","58030"
"In post","2021","London","Inner London - West","London","SCS level","3890","3775","89230","79670"
"In post","2021","London","Inner London - West","London","SEO/HEO","22955","22570","37890","37280"
"In post","2021","London","Inner London - West","London","Unknown","230","225","37660","35310"
"In post","2021","London","Outer London - East and North East","London","AA/AO","1425","1320","26600","25110"
"In post","2021","London","Outer London - East and North East","London","EO","1715","1595","31230","31060"
"In post","2021","London","Outer London - East and North East","London","G6/G7","25","25","68990","65440"
"In post","2021","London","Outer London - East and North East","London","SEO/HEO","335","320","39740","38440"
"In post","2021","London","Outer London - East and North East","London","Unknown","285","275","33080","33950"
"In post","2021","London","Outer London - South","London","AA/AO","2010","1830","24210","25110"
"In post","2021","London","Outer London - South","London","EO","3220","3030","29970","29570"
