"Status","Year","Age","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","London","155","150","25180","24640"
"In post","2021","16-19","Outside London","1135","1095","20800","20760"
"In post","2021","16-19","Unknown","40","40","19120","15940"
"In post","2021","20-29","London","23005","22865","35830","33210"
"In post","2021","20-29","Outside London","53215","52225","26070","25400"
"In post","2021","20-29","Overseas","310","310","37350","34220"
"In post","2021","20-29","Unknown","890","890","29890","29250"
"In post","2021","30-39","London","24320","23570","45710","41970"
"In post","2021","30-39","Outside London","77245","72665","30570","27570"
"In post","2021","30-39","Overseas","1065","1060","47130","50940"
"In post","2021","30-39","Unknown","780","765","36640","32700"
"In post","2021","40-49","London","22305","21175","48360","42470"
"In post","2021","40-49","Outside London","88090","82025","33000","28130"
"In post","2021","40-49","Overseas","1175","1170","52150","54030"
"In post","2021","40-49","Unknown","725","710","37770","33130"
"In post","2021","50-59","London","24220","23340","44720","37610"
"In post","2021","50-59","Outside London","114835","106850","32440","27570"
"In post","2021","50-59","Overseas","990","985","53290","52400"
"In post","2021","50-59","Unknown","985","960","39020","33570"
"In post","2021","60-64","London","5695","5060","41070","33640"
"In post","2021","60-64","Outside London","31560","25540","29760","27380"
"In post","2021","60-64","Overseas","190","190","56220","54540"
"In post","2021","60-64","Unknown","260","240","37350","33570"
"In post","2021","65+","London","2220","1820","37450","31060"
"In post","2021","65+","Outside London","9345","7010","28890","26120"
"In post","2021","65+","Overseas","25","25","47980","35530"
"In post","2021","65+","Unknown","50","45","32230","30630"
"In post","2021","Unknown","London","10","10","44540","34020"
"In post","2021","Unknown","Outside London","40","35","30520","27570"
"Leaver CS","2021","16-19","London","10","[c]","[c]","[c]"
"Leaver CS","2021","16-19","Outside London","90","[c]","20250","21010"
"Leaver CS","2021","16-19","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2021","20-29","London","1505","[c]","29370","27520"
"Leaver CS","2021","20-29","Outside London","3675","[c]","23430","21100"
"Leaver CS","2021","20-29","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2021","20-29","Unknown","200","[c]","28450","28000"
"Leaver CS","2021","30-39","London","1040","[c]","43290","40220"
"Leaver CS","2021","30-39","Outside London","2885","[c]","29170","26890"
"Leaver CS","2021","30-39","Overseas","25","[c]","34780","35000"
"Leaver CS","2021","30-39","Unknown","130","[c]","39400","32000"
"Leaver CS","2021","40-49","London","670","[c]","49480","42850"
"Leaver CS","2021","40-49","Outside London","2625","[c]","31710","27570"
"Leaver CS","2021","40-49","Overseas","35","[c]","42370","37830"
"Leaver CS","2021","40-49","Unknown","90","[c]","47090","36970"
"Leaver CS","2021","50-59","London","950","[c]","50470","41420"
"Leaver CS","2021","50-59","Outside London","5285","[c]","32700","27570"
"Leaver CS","2021","50-59","Overseas","35","[c]","47580","41800"
"Leaver CS","2021","50-59","Unknown","145","[c]","54550","39180"
"Leaver CS","2021","60-64","London","620","[c]","49000","41600"
"Leaver CS","2021","60-64","Outside London","3975","[c]","33360","27570"
"Leaver CS","2021","60-64","Overseas","20","[c]","48170","41160"
"Leaver CS","2021","60-64","Unknown","85","[c]","42080","36580"
"Leaver CS","2021","65+","London","470","[c]","37780","30280"
"Leaver CS","2021","65+","Outside London","3100","[c]","28060","24370"
"Leaver CS","2021","65+","Overseas","15","[c]","40740","40750"
"Leaver CS","2021","65+","Unknown","25","[c]","36980","32060"
"Leaver CS","2021","Unknown","London","65","[c]","35800","27030"
"Leaver CS","2021","Unknown","Outside London","45","[c]","41010","36740"
"Leaver CS","2021","Unknown","Unknown","10","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","London","2205","[c]","35640","33300"
"Leaver Dept.","2021","20-29","Outside London","1635","[c]","25630","24310"
"Leaver Dept.","2021","20-29","Overseas","25","[c]","39670","37910"
"Leaver Dept.","2021","20-29","Unknown","470","[c]","32260","32000"
"Leaver Dept.","2021","30-39","London","1710","[c]","46850","47860"
"Leaver Dept.","2021","30-39","Outside London","1780","[c]","30590","27570"
"Leaver Dept.","2021","30-39","Overseas","40","[c]","47410","52430"
"Leaver Dept.","2021","30-39","Unknown","165","[c]","39720","32040"
"Leaver Dept.","2021","40-49","London","850","[c]","55900","55100"
"Leaver Dept.","2021","40-49","Outside London","1290","[c]","34550","30270"
"Leaver Dept.","2021","40-49","Overseas","30","[c]","57660","58450"
"Leaver Dept.","2021","40-49","Unknown","45","[c]","46750","42920"
"Leaver Dept.","2021","50-59","London","440","[c]","52970","46070"
"Leaver Dept.","2021","50-59","Outside London","970","[c]","35650","30810"
"Leaver Dept.","2021","50-59","Overseas","25","[c]","52880","56280"
"Leaver Dept.","2021","50-59","Unknown","25","[c]","50660","46910"
"Leaver Dept.","2021","60-64","London","35","[c]","50380","52140"
"Leaver Dept.","2021","60-64","Outside London","85","[c]","29500","24430"
"Leaver Dept.","2021","60-64","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","London","10","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","London","90","[c]","46990","43340"
"Leaver Dept.","2021","Unknown","Outside London","30","[c]","42990","47340"
"Leaver Dept.","2021","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","16-19","London","120","[c]","24800","24300"
"New entrant CS","2021","16-19","Outside London","770","[c]","20890","20850"
"New entrant CS","2021","16-19","Unknown","10","[c]","[c]","[c]"
"New entrant CS","2021","20-29","London","7910","[c]","31110","31060"
"New entrant CS","2021","20-29","Outside London","15660","[c]","24350","22920"
"New entrant CS","2021","20-29","Overseas","5","[c]","[c]","[c]"
"New entrant CS","2021","20-29","Unknown","345","[c]","28020","27570"
"New entrant CS","2021","30-39","London","3475","[c]","39040","32960"
"New entrant CS","2021","30-39","Outside London","9935","[c]","28210","27570"
"New entrant CS","2021","30-39","Overseas","10","[c]","[c]","[c]"
"New entrant CS","2021","30-39","Unknown","190","[c]","33450","27570"
"New entrant CS","2021","40-49","London","2000","[c]","42730","33780"
"New entrant CS","2021","40-49","Outside London","7260","[c]","30320","27570"
"New entrant CS","2021","40-49","Overseas","10","[c]","38040","33150"
"New entrant CS","2021","40-49","Unknown","150","[c]","37330","27780"
"New entrant CS","2021","50-59","London","1350","[c]","42200","32660"
"New entrant CS","2021","50-59","Outside London","6190","[c]","29200","27570"
"New entrant CS","2021","50-59","Overseas","15","[c]","42380","33000"
"New entrant CS","2021","50-59","Unknown","155","[c]","39340","27570"
"New entrant CS","2021","60-64","London","200","[c]","43880","33390"
"New entrant CS","2021","60-64","Outside London","1115","[c]","27790","25560"
"New entrant CS","2021","60-64","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","60-64","Unknown","45","[c]","35880","27570"
"New entrant CS","2021","65+","London","60","[c]","40970","30460"
