"Status","Year","Age","Function_of_post","Region_ITL2","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - West","Female","10","10","[c]","[c]"
"In post","2021","16-19","Analysis","Inner London - West","Male","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Anglia","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Surrey, East and West Sussex","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","Surrey, East and West Sussex","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - East","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Inner London - West","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Northumberland and Tyne and Wear","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Northumberland and Tyne and Wear","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Greater Manchester","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Greater Manchester","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Derbyshire and Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Derbyshire and Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Eastern Scotland","Female","10","10","[c]","[c]"
"In post","2021","16-19","Debt","Eastern Scotland","Male","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Merseyside","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Merseyside","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Northumberland and Tyne and Wear","Female","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Northumberland and Tyne and Wear","Male","5","5","[c]","[c]"
"In post","2021","16-19","Debt","Southern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Southern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Central Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Central Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Midlands","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Yorkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","West Yorkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Berkshire, Buckinghamshire and Oxfordshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Devon","Male","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","East Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","East Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Eastern Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Eastern Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Hampshire and Isle of Wight","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Hampshire and Isle of Wight","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","West Midlands","Male","[c]","[c]","[c]","[c]"
