"Status","Year","Age","Ethnicity","Profession_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Black","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Statistics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Tax","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Communications","Unknown","[c]","[c]","[c]","[c]"
