"Status","Year","Ethnicity","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","Heterosexual / straight","750","700","42240","40800"
"In post","2021","Asian","Attorney General's Departments","LGBO","20","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Unknown","120","105","43900","51010"
"In post","2021","Asian","Cabinet Office","Heterosexual / straight","420","410","45750","40600"
"In post","2021","Asian","Cabinet Office","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Undeclared","20","20","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Heterosexual / straight","35","35","45650","37660"
"In post","2021","Asian","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Heterosexual / straight","95","95","45380","36990"
"In post","2021","Asian","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Competition and Markets Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","580","560","40160","36120"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","LGBO","25","25","[c]","[c]"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Undeclared","30","30","44980","40140"
"In post","2021","Asian","Department for Business, Energy and Industrial Strategy","Unknown","80","75","30630","27680"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Heterosexual / straight","110","110","46790","42020"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Undeclared","5","5","[c]","[c]"
"In post","2021","Asian","Department for Digital, Culture, Media and Sport","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Department for Education","Heterosexual / straight","600","585","39350","36500"
"In post","2021","Asian","Department for Education","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Department for Education","Undeclared","25","25","[c]","[c]"
"In post","2021","Asian","Department for Education","Unknown","65","65","43040","40300"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Heterosexual / straight","305","295","37110","33120"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Department for Environment, Food and Rural Affairs","Unknown","25","25","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Heterosexual / straight","190","185","41790","38300"
"In post","2021","Asian","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Department for International Trade","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport","Heterosexual / straight","450","440","40890","35430"
"In post","2021","Asian","Department for Transport","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Department for Transport","Undeclared","40","35","32240","30480"
"In post","2021","Asian","Department for Transport","Unknown","20","20","[c]","[c]"
