"Status","Year","Parent_department","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","AA/AO","Heterosexual / straight","1080","995","22390","21950"
"In post","2021","Attorney General's Departments","AA/AO","LGBO","65","65","22080","21950"
"In post","2021","Attorney General's Departments","AA/AO","Undeclared","50","45","22170","21950"
"In post","2021","Attorney General's Departments","AA/AO","Unknown","345","305","22160","21950"
"In post","2021","Attorney General's Departments","EO","Heterosexual / straight","1210","1135","27930","27760"
"In post","2021","Attorney General's Departments","EO","LGBO","95","90","28370","27500"
"In post","2021","Attorney General's Departments","EO","Undeclared","65","60","28230","27710"
"In post","2021","Attorney General's Departments","EO","Unknown","390","355","28350","28430"
"In post","2021","Attorney General's Departments","G6/G7","Heterosexual / straight","3180","2960","57650","55610"
"In post","2021","Attorney General's Departments","G6/G7","LGBO","195","185","59600","56300"
"In post","2021","Attorney General's Departments","G6/G7","Undeclared","205","190","59040","55610"
"In post","2021","Attorney General's Departments","G6/G7","Unknown","1190","1070","60560","59930"
"In post","2021","Attorney General's Departments","SCS level","Heterosexual / straight","200","190","89080","82820"
"In post","2021","Attorney General's Departments","SCS level","LGBO","20","20","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2021","Attorney General's Departments","SCS level","Unknown","75","70","86130","81060"
"In post","2021","Attorney General's Departments","SEO/HEO","Heterosexual / straight","1095","1060","36560","37780"
"In post","2021","Attorney General's Departments","SEO/HEO","LGBO","60","60","36900","38000"
"In post","2021","Attorney General's Departments","SEO/HEO","Undeclared","50","45","36710","37890"
"In post","2021","Attorney General's Departments","SEO/HEO","Unknown","250","240","36710","36240"
"In post","2021","Attorney General's Departments","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Heterosexual / straight","320","295","21880","20920"
"In post","2021","Cabinet Office","AA/AO","LGBO","25","25","[c]","[c]"
"In post","2021","Cabinet Office","AA/AO","Undeclared","35","30","22400","20920"
"In post","2021","Cabinet Office","AA/AO","Unknown","175","165","21450","20920"
"In post","2021","Cabinet Office","EO","Heterosexual / straight","570","550","27130","27500"
"In post","2021","Cabinet Office","EO","LGBO","65","65","26950","27500"
"In post","2021","Cabinet Office","EO","Undeclared","65","65","27560","27500"
"In post","2021","Cabinet Office","EO","Unknown","190","185","27410","27500"
"In post","2021","Cabinet Office","G6/G7","Heterosexual / straight","1640","1610","58780","56340"
"In post","2021","Cabinet Office","G6/G7","LGBO","165","165","58020","56340"
"In post","2021","Cabinet Office","G6/G7","Undeclared","190","185","58830","56680"
"In post","2021","Cabinet Office","G6/G7","Unknown","1030","1015","61310","56340"
"In post","2021","Cabinet Office","SCS level","Heterosexual / straight","405","395","96830","87750"
"In post","2021","Cabinet Office","SCS level","LGBO","25","25","[c]","[c]"
"In post","2021","Cabinet Office","SCS level","Undeclared","45","45","93770","88590"
"In post","2021","Cabinet Office","SCS level","Unknown","500","495","88640","73450"
"In post","2021","Cabinet Office","SEO/HEO","Heterosexual / straight","1475","1450","36340","35590"
"In post","2021","Cabinet Office","SEO/HEO","LGBO","160","160","36180","34640"
"In post","2021","Cabinet Office","SEO/HEO","Undeclared","170","170","36590","35040"
"In post","2021","Cabinet Office","SEO/HEO","Unknown","2210","2195","31450","29250"
"In post","2021","Chancellor's other departments","AA/AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Undeclared","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","G6/G7","Heterosexual / straight","135","130","78020","71810"
"In post","2021","Chancellor's other departments","G6/G7","LGBO","5","5","[c]","[c]"
