"Status","Year","Age","Disability","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Asian","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","London","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Outside London","35","35","21230","21010"
"In post","2021","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","London","20","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Outside London","40","35","21100","21010"
"In post","2021","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","London","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","Outside London","[c]","[c]","[c]","[c]"
