"Status","Year","Ethnicity","Function_of_post","Region_ITL2","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Wales","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester","Outside London","25","20","[c]","[c]"
"In post","2021","Asian","Analysis","Hampshire and Isle of Wight","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Inner London - East","London","80","75","45250","42120"
"In post","2021","Asian","Analysis","Inner London - West","London","240","235","45280","41760"
"In post","2021","Asian","Analysis","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South Yorkshire","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Midlands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Berkshire, Buckinghamshire and Oxfordshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Derbyshire and Nottinghamshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Greater Manchester","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Hampshire and Isle of Wight","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Inner London - East","London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","Inner London - West","London","110","105","46170","37640"
"In post","2021","Asian","Commercial","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - South","London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Outer London - West and North West","London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Shropshire and Staffordshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Yorkshire","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Berkshire, Buckinghamshire and Oxfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cornwall and Isles of Scilly","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Cumbria","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Derbyshire and Nottinghamshire","Outside London","45","40","28830","25560"
"In post","2021","Asian","Communications","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East Wales","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Communications","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Greater Manchester","Outside London","70","70","28610","25560"
"In post","2021","Asian","Communications","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Herefordshire, Worcestershire and Warwickshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Highlands and Islands","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Inner London - East","London","30","30","[c]","[c]"
"In post","2021","Asian","Communications","Inner London - West","London","120","120","43120","38600"
"In post","2021","Asian","Communications","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Leicestershire, Rutland and Northamptonshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Northumberland and Tyne and Wear","Outside London","25","25","[c]","[c]"
"In post","2021","Asian","Communications","Outer London - South","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Outer London - West and North West","London","50","45","23080","20170"
"In post","2021","Asian","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Central Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands","Outside London","45","45","32270","31810"
"In post","2021","Asian","Communications","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Yorkshire","Outside London","75","75","28540","25560"
"In post","2021","Asian","Counter Fraud","Bedfordshire and Hertfordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Berkshire, Buckinghamshire and Oxfordshire","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Cheshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Derbyshire and Nottinghamshire","Outside London","35","35","30250","31810"
"In post","2021","Asian","Counter Fraud","Devon","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Dorset and Somerset","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Anglia","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Wales","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Yorkshire and Northern Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Eastern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Essex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Greater Manchester","Outside London","55","55","30040","28130"
"In post","2021","Asian","Counter Fraud","Hampshire and Isle of Wight","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Inner London - East","London","25","20","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Inner London - West","London","190","180","35440","32520"
"In post","2021","Asian","Counter Fraud","Kent","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Lancashire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Leicestershire, Rutland and Northamptonshire","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Lincolnshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Merseyside","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northumberland and Tyne and Wear","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outer London - East and North East","London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Outer London - South","London","50","50","35120","29570"
"In post","2021","Asian","Counter Fraud","Outer London - West and North West","London","10","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Shropshire and Staffordshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South Yorkshire","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Southern Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Surrey, East and West Sussex","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Tees Valley and Durham","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Central Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands","Outside London","110","105","29360","25560"
"In post","2021","Asian","Counter Fraud","West Wales and The Valleys","Outside London","[c]","[c]","[c]","[c]"
