"Status","Year","Function_of_post","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AO","Female","Heterosexual / straight","55","50","21670","21050"
"In post","2021","Analysis","AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AO","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","AO","Female","Unknown","30","30","20900","21050"
"In post","2021","Analysis","AO","Male","Heterosexual / straight","45","45","22060","21590"
"In post","2021","Analysis","AO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Analysis","AO","Male","Unknown","35","35","20920","21050"
"In post","2021","Analysis","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Female","Heterosexual / straight","200","185","26400","26090"
"In post","2021","Analysis","EO","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","EO","Female","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","EO","Female","Unknown","115","105","25820","24920"
"In post","2021","Analysis","EO","Male","Heterosexual / straight","210","210","26920","26670"
"In post","2021","Analysis","EO","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Analysis","EO","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Analysis","EO","Male","Unknown","100","100","26350","25620"
"In post","2021","Analysis","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6","Female","Heterosexual / straight","170","155","70160","66930"
"In post","2021","Analysis","G6","Female","LGBO","15","10","[c]","[c]"
"In post","2021","Analysis","G6","Female","Undeclared","15","10","[c]","[c]"
"In post","2021","Analysis","G6","Female","Unknown","40","40","68700","66230"
"In post","2021","Analysis","G6","Male","Heterosexual / straight","215","210","74370","70000"
"In post","2021","Analysis","G6","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Analysis","G6","Male","Undeclared","30","25","[c]","[c]"
"In post","2021","Analysis","G6","Male","Unknown","75","75","68540","66230"
"In post","2021","Analysis","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G7","Female","Heterosexual / straight","555","515","54100","53360"
"In post","2021","Analysis","G7","Female","LGBO","40","40","55100","54870"
"In post","2021","Analysis","G7","Female","Undeclared","45","45","57110","57510"
"In post","2021","Analysis","G7","Female","Unknown","135","125","53820","53360"
"In post","2021","Analysis","G7","Male","Heterosexual / straight","685","670","54340","54400"
"In post","2021","Analysis","G7","Male","LGBO","45","45","55300","56360"
"In post","2021","Analysis","G7","Male","Undeclared","90","85","54640","54970"
"In post","2021","Analysis","G7","Male","Unknown","245","240","53600","53360"
"In post","2021","Analysis","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","G7","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HEO","Female","Heterosexual / straight","615","590","32720","32320"
"In post","2021","Analysis","HEO","Female","LGBO","75","75","31600","31810"
"In post","2021","Analysis","HEO","Female","Undeclared","55","55","33030","32360"
"In post","2021","Analysis","HEO","Female","Unknown","195","185","31620","30070"
"In post","2021","Analysis","HEO","Male","Heterosexual / straight","730","720","33200","32830"
"In post","2021","Analysis","HEO","Male","LGBO","80","80","33660","33880"
"In post","2021","Analysis","HEO","Male","Undeclared","90","85","33880","33160"
"In post","2021","Analysis","HEO","Male","Unknown","300","295","32370","31470"
"In post","2021","Analysis","HEO","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Analysis","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","HEO","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","SCS level","Female","Heterosexual / straight","50","45","84750","78830"
"In post","2021","Analysis","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS level","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Analysis","SCS level","Male","Heterosexual / straight","65","65","87290","78350"
"In post","2021","Analysis","SCS level","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","SCS level","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO","Female","Heterosexual / straight","525","490","40100","39030"
"In post","2021","Analysis","SEO","Female","LGBO","45","45","40340","39850"
"In post","2021","Analysis","SEO","Female","Undeclared","45","40","39510","39030"
"In post","2021","Analysis","SEO","Female","Unknown","150","140","38800","37520"
"In post","2021","Analysis","SEO","Male","Heterosexual / straight","505","495","40430","39850"
"In post","2021","Analysis","SEO","Male","LGBO","40","40","41130","39390"
"In post","2021","Analysis","SEO","Male","Undeclared","60","60","41590","40480"
"In post","2021","Analysis","SEO","Male","Unknown","170","170","39910","38010"
"In post","2021","Analysis","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","SEO","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
