"Status","Year","Organisation","Region_ITL2","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Outside London","Female","75","65","30300","29190"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","Outside London","Male","40","35","34330","29190"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","Female","60","55","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Outside London","Male","35","35","29750","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","Female","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","Female","60","55","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Outside London","Male","35","35","31530","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","30","30","31860","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","Female","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Outside London","Male","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","Female","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","London","Female","115","105","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","London","Male","90","90","45330","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Outside London","Female","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Outside London","Male","45","45","30700","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Outside London","Female","50","45","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Outside London","Male","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Outside London","Female","55","55","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Outside London","Male","30","30","31820","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Outside London","Female","40","35","31420","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Outside London","Male","30","30","32250","30950"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","Female","30","30","33240","27850"
"In post","2021","Animal and Plant Health Agency","Cornwall and Isles of Scilly","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cumbria","Outside London","Female","100","95","25540","21050"
"In post","2021","Animal and Plant Health Agency","Cumbria","Outside London","Male","55","55","25810","21050"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Derbyshire and Nottinghamshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Devon","Outside London","Female","135","125","26050","21050"
"In post","2021","Animal and Plant Health Agency","Devon","Outside London","Male","75","70","29510","24920"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Outside London","Female","25","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Dorset and Somerset","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Anglia","Outside London","Female","45","40","30270","26520"
"In post","2021","Animal and Plant Health Agency","East Anglia","Outside London","Male","40","40","32310","31910"
"In post","2021","Animal and Plant Health Agency","East Wales","Outside London","Female","70","65","27630","21050"
"In post","2021","Animal and Plant Health Agency","East Wales","Outside London","Male","40","40","32700","30610"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","Female","10","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","East Yorkshire and Northern Lincolnshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Outside London","Female","30","30","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Eastern Scotland","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Essex","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Female","75","70","29530","25320"
"In post","2021","Animal and Plant Health Agency","Gloucestershire, Wiltshire and Bath/Bristol area","Outside London","Male","45","45","27890","25060"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Greater Manchester","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Hampshire and Isle of Wight","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","Female","100","90","27580","25260"
"In post","2021","Animal and Plant Health Agency","Herefordshire, Worcestershire and Warwickshire","Outside London","Male","65","60","33280","31440"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Outside London","Female","15","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Highlands and Islands","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inner London - West","London","Female","15","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Inner London - West","London","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Kent","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Kent","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lancashire","Outside London","Female","50","45","29720","25190"
"In post","2021","Animal and Plant Health Agency","Lancashire","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Leicestershire, Rutland and Northamptonshire","Outside London","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","Outside London","Female","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Lincolnshire","Outside London","Male","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Eastern Scotland","Outside London","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Eastern Scotland","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","Outside London","Female","100","95","27430","25210"
"In post","2021","Animal and Plant Health Agency","North Yorkshire","Outside London","Male","90","85","30940","25520"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Outside London","Female","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Northumberland and Tyne and Wear","Outside London","Male","20","20","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Outer London - West and North West","London","Female","40","35","33170","31690"
"In post","2021","Animal and Plant Health Agency","Outer London - West and North West","London","Male","45","45","34580","31800"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Outside London","Female","60","55","27290","24920"
"In post","2021","Animal and Plant Health Agency","Shropshire and Staffordshire","Outside London","Male","45","45","31630","29610"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","Outside London","Female","35","30","28720","25770"
"In post","2021","Animal and Plant Health Agency","Southern Scotland","Outside London","Male","15","15","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","Female","345","325","31710","28430"
"In post","2021","Animal and Plant Health Agency","Surrey, East and West Sussex","Outside London","Male","240","235","35330","32560"
"In post","2021","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","Female","140","125","27120","24920"
"In post","2021","Animal and Plant Health Agency","West Wales and The Valleys","Outside London","Male","75","70","28680","25520"
"In post","2021","Animal and Plant Health Agency","West Yorkshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","West Yorkshire","Outside London","Male","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Office","Inner London - West","London","Female","30","25","[c]","[c]"
"In post","2021","Attorney General's Office","Inner London - West","London","Male","20","20","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office (excl. agencies)","Bedfordshire and Hertfordshire","Outside London","Male","[c]","[c]","[c]","[c]"
