"Status","Year","Disability","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scottish Government","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scottish Government","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Accountant in Bankruptcy","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","85","80","32080","30950"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Heterosexual / straight","260","245","28170","25190"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","LGBO","35","35","26200","24920"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Undeclared","40","40","31010","27850"
"In post","2021","Declared disabled","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Attorney General's Departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Heterosexual / straight","525","505","43730","37300"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","LGBO","90","90","44810","40600"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Undeclared","80","75","44900","40580"
"In post","2021","Declared disabled","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Charity Commission","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Charity Commission","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","55","50","32520","25870"
"In post","2021","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Companies House","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
