"Status","Year","Disability","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","London","AA/AO","Heterosexual / straight","1010","920","25090","24670"
"In post","2021","Declared disabled","London","AA/AO","LGBO","85","80","26460","25110"
"In post","2021","Declared disabled","London","AA/AO","Undeclared","155","140","24570","25080"
"In post","2021","Declared disabled","London","AA/AO","Unknown","125","110","25000","25110"
"In post","2021","Declared disabled","London","EO","Heterosexual / straight","1720","1605","30160","30510"
"In post","2021","Declared disabled","London","EO","LGBO","225","215","29930","30320"
"In post","2021","Declared disabled","London","EO","Undeclared","295","270","30080","30330"
"In post","2021","Declared disabled","London","EO","Unknown","200","185","30800","31060"
"In post","2021","Declared disabled","London","G6/G7","Heterosexual / straight","1425","1370","60540","59160"
"In post","2021","Declared disabled","London","G6/G7","LGBO","270","265","58910","57430"
"In post","2021","Declared disabled","London","G6/G7","Undeclared","210","205","60510","59160"
"In post","2021","Declared disabled","London","G6/G7","Unknown","115","105","61360","60780"
"In post","2021","Declared disabled","London","SCS level","Heterosexual / straight","210","205","91090","82430"
"In post","2021","Declared disabled","London","SCS level","LGBO","40","40","84900","77450"
"In post","2021","Declared disabled","London","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","London","SCS level","Unknown","15","10","[c]","[c]"
"In post","2021","Declared disabled","London","SEO/HEO","Heterosexual / straight","2030","1965","38820","37910"
"In post","2021","Declared disabled","London","SEO/HEO","LGBO","330","325","37580","36650"
"In post","2021","Declared disabled","London","SEO/HEO","Undeclared","280","275","38600","37920"
"In post","2021","Declared disabled","London","SEO/HEO","Unknown","155","150","38450","38890"
"In post","2021","Declared disabled","London","Unknown","Heterosexual / straight","240","230","34000","34100"
"In post","2021","Declared disabled","London","Unknown","LGBO","30","25","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","Undeclared","30","25","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","AA/AO","Heterosexual / straight","10150","8875","21640","21010"
"In post","2021","Declared disabled","Outside London","AA/AO","LGBO","985","930","22030","21010"
"In post","2021","Declared disabled","Outside London","AA/AO","Undeclared","1620","1380","21620","21010"
"In post","2021","Declared disabled","Outside London","AA/AO","Unknown","1385","1150","21760","21010"
"In post","2021","Declared disabled","Outside London","EO","Heterosexual / straight","9720","8775","27290","27570"
"In post","2021","Declared disabled","Outside London","EO","LGBO","945","895","27080","27570"
"In post","2021","Declared disabled","Outside London","EO","Undeclared","1345","1195","27380","27570"
"In post","2021","Declared disabled","Outside London","EO","Unknown","1120","975","28090","27570"
"In post","2021","Declared disabled","Outside London","G6/G7","Heterosexual / straight","1915","1830","56430","53950"
"In post","2021","Declared disabled","Outside London","G6/G7","LGBO","185","180","57610","55220"
"In post","2021","Declared disabled","Outside London","G6/G7","Undeclared","245","235","58120","54540"
