"Status","Year","Age","Disability","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","AO","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","AO","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AA","Heterosexual / straight","95","90","19350","20060"
"In post","2021","16-19","Declared non-disabled","AA","LGBO","10","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AA","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AA","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AO","Heterosexual / straight","325","310","21470","21010"
"In post","2021","16-19","Declared non-disabled","AO","LGBO","25","25","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AO","Undeclared","20","20","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","EO","Heterosexual / straight","170","170","23350","24300"
"In post","2021","16-19","Declared non-disabled","EO","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","EO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HEO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Heterosexual / straight","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","AO","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","EO","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AA","Unknown","70","65","19150","19130"
"In post","2021","16-19","Unknown","AO","Heterosexual / straight","35","35","21310","21690"
"In post","2021","16-19","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","AO","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","AO","Unknown","285","270","20980","20140"
"In post","2021","16-19","Unknown","EO","Heterosexual / straight","15","10","[c]","[c]"
"In post","2021","16-19","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","EO","Unknown","75","75","21300","20230"
"In post","2021","16-19","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","Unknown","50","50","18300","16780"
"In post","2021","20-29","Declared disabled","AA","Heterosexual / straight","130","125","20060","20600"
