"Status","Year","Disability","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA","Female","Heterosexual / straight","750","645","19650","19560"
"In post","2021","Declared disabled","AA","Female","LGBO","85","80","20270","20600"
"In post","2021","Declared disabled","AA","Female","Undeclared","145","110","19140","18060"
"In post","2021","Declared disabled","AA","Female","Unknown","65","50","20340","20070"
"In post","2021","Declared disabled","AA","Male","Heterosexual / straight","740","685","19970","19950"
"In post","2021","Declared disabled","AA","Male","LGBO","55","55","19650","20060"
"In post","2021","Declared disabled","AA","Male","Undeclared","115","100","19670","19560"
"In post","2021","Declared disabled","AA","Male","Unknown","95","90","20480","20230"
"In post","2021","Declared disabled","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AA","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AO","Female","Heterosexual / straight","5940","4980","21710","21010"
"In post","2021","Declared disabled","AO","Female","LGBO","460","430","22680","21010"
"In post","2021","Declared disabled","AO","Female","Undeclared","955","785","21860","21010"
"In post","2021","Declared disabled","AO","Female","Unknown","830","650","21670","21010"
"In post","2021","Declared disabled","AO","Male","Heterosexual / straight","3750","3515","23190","21170"
"In post","2021","Declared disabled","AO","Male","LGBO","470","450","22780","21010"
"In post","2021","Declared disabled","AO","Male","Undeclared","565","530","23030","21010"
"In post","2021","Declared disabled","AO","Male","Unknown","515","470","23100","21400"
"In post","2021","Declared disabled","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Female","Heterosexual / straight","7375","6520","27590","27570"
"In post","2021","Declared disabled","EO","Female","LGBO","615","575","27460","27570"
"In post","2021","Declared disabled","EO","Female","Undeclared","975","845","27750","27570"
"In post","2021","Declared disabled","EO","Female","Unknown","825","700","28040","27570"
"In post","2021","Declared disabled","EO","Male","Heterosexual / straight","4145","3940","27970","27570"
"In post","2021","Declared disabled","EO","Male","LGBO","565","545","27820","27570"
"In post","2021","Declared disabled","EO","Male","Undeclared","680","630","28050","27570"
"In post","2021","Declared disabled","EO","Male","Unknown","505","465","29250","27570"
"In post","2021","Declared disabled","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6","Female","Heterosexual / straight","465","440","67470","66290"
"In post","2021","Declared disabled","G6","Female","LGBO","45","45","68380","67820"
"In post","2021","Declared disabled","G6","Female","Undeclared","60","55","67750","66230"
"In post","2021","Declared disabled","G6","Female","Unknown","40","35","66050","66350"
"In post","2021","Declared disabled","G6","Male","Heterosexual / straight","365","360","69020","66970"
"In post","2021","Declared disabled","G6","Male","LGBO","70","70","68680","66700"
"In post","2021","Declared disabled","G6","Male","Undeclared","55","55","68290","67830"
"In post","2021","Declared disabled","G6","Male","Unknown","35","30","66790","65450"
"In post","2021","Declared disabled","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G7","Female","Heterosexual / straight","1430","1355","54730","53860"
"In post","2021","Declared disabled","G7","Female","LGBO","135","135","54240","53630"
"In post","2021","Declared disabled","G7","Female","Undeclared","170","160","56460","54700"
