"Status","Year","Disability","Ethnicity","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","AA","Female","30","25","20000","20190"
"In post","2021","Declared disabled","Asian","AA","Male","30","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","AO","Female","420","345","22360","21430"
"In post","2021","Declared disabled","Asian","AO","Male","310","285","22620","21010"
"In post","2021","Declared disabled","Asian","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","EO","Female","605","540","28790","28650"
"In post","2021","Declared disabled","Asian","EO","Male","400","385","28400","27570"
"In post","2021","Declared disabled","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","G6","Female","30","30","[c]","[c]"
"In post","2021","Declared disabled","Asian","G6","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Asian","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","G7","Female","100","95","55610","54500"
"In post","2021","Declared disabled","Asian","G7","Male","75","75","56220","54530"
"In post","2021","Declared disabled","Asian","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","HEO","Female","215","200","34280","34520"
"In post","2021","Declared disabled","Asian","HEO","Male","190","185","34270","33900"
"In post","2021","Declared disabled","Asian","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","SEO","Female","110","105","41760","41010"
"In post","2021","Declared disabled","Asian","SEO","Male","120","115","41660","41750"
"In post","2021","Declared disabled","Asian","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Female","65","60","30240","30210"
"In post","2021","Declared disabled","Asian","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","AA","Female","30","25","21860","21710"
"In post","2021","Declared disabled","Black","AA","Male","25","20","[c]","[c]"
"In post","2021","Declared disabled","Black","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","AO","Female","290","260","23760","23500"
"In post","2021","Declared disabled","Black","AO","Male","115","115","24710","23210"
"In post","2021","Declared disabled","Black","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","EO","Female","520","480","29450","29970"
"In post","2021","Declared disabled","Black","EO","Male","160","155","29280","29290"
"In post","2021","Declared disabled","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","G6","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Black","G6","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","G7","Female","70","70","55750","54250"
"In post","2021","Declared disabled","Black","G7","Male","30","30","57450","56560"
"In post","2021","Declared disabled","Black","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","HEO","Female","160","155","34830","35070"
"In post","2021","Declared disabled","Black","HEO","Male","70","70","34310","34650"
"In post","2021","Declared disabled","Black","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","SCS level","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","SEO","Female","100","100","41970","40960"
"In post","2021","Declared disabled","Black","SEO","Male","45","45","42330","41290"
"In post","2021","Declared disabled","Black","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Female","140","135","32200","30210"
"In post","2021","Declared disabled","Black","Unknown","Male","30","30","33310","33640"
"In post","2021","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AA","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AO","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AO","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","EO","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","EO","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G7","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G7","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HEO","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HEO","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SEO","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","AA","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","AA","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","AO","Female","165","145","21930","21010"
"In post","2021","Declared disabled","Mixed","AO","Male","105","100","23580","21430"
"In post","2021","Declared disabled","Mixed","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","EO","Female","230","205","28030","27570"
"In post","2021","Declared disabled","Mixed","EO","Male","140","135","28480","27570"
"In post","2021","Declared disabled","Mixed","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","G6","Female","15","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","G6","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","G7","Female","60","55","57090","56600"
"In post","2021","Declared disabled","Mixed","G7","Male","50","50","55400","54270"
"In post","2021","Declared disabled","Mixed","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","HEO","Female","110","105","33270","32550"
"In post","2021","Declared disabled","Mixed","HEO","Male","75","70","34890","34240"
"In post","2021","Declared disabled","Mixed","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","SCS level","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","SCS level","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","SEO","Female","55","55","40600","40510"
"In post","2021","Declared disabled","Mixed","SEO","Male","40","35","43830","41950"
"In post","2021","Declared disabled","Mixed","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Female","75","70","33490","32360"
"In post","2021","Declared disabled","Mixed","Unknown","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","AA","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","AA","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","AO","Female","30","30","22450","21510"
"In post","2021","Declared disabled","Other ethnicity","AO","Male","35","30","22770","20830"
"In post","2021","Declared disabled","Other ethnicity","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","EO","Female","70","65","28790","27570"
"In post","2021","Declared disabled","Other ethnicity","EO","Male","45","45","28060","27570"
"In post","2021","Declared disabled","Other ethnicity","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","G6","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","G7","Female","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","G7","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","HEO","Female","30","30","34070","33180"
"In post","2021","Declared disabled","Other ethnicity","HEO","Male","30","30","35010","35260"
"In post","2021","Declared disabled","Other ethnicity","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","SEO","Female","20","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","SEO","Male","15","15","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","AA","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","AA","Male","35","30","19330","19560"
