"Status","Year","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Midlands (England)","Heterosexual / straight","14140","13120","29950","27570"
"In post","2021","East Midlands (England)","LGBO","785","760","29410","27570"
"In post","2021","East Midlands (England)","Undeclared","2010","1835","30090","27570"
"In post","2021","East Midlands (England)","Unknown","4430","4050","28060","26580"
"In post","2021","East of England","Heterosexual / straight","15625","14565","30820","28130"
"In post","2021","East of England","LGBO","740","715","29430","27570"
"In post","2021","East of England","Undeclared","2195","2025","31120","28600"
"In post","2021","East of England","Unknown","4030","3680","30600","27850"
"In post","2021","London","Heterosexual / straight","66305","63740","43520","37560"
"In post","2021","London","LGBO","5105","5010","44850","39960"
"In post","2021","London","Undeclared","9030","8615","42910","37500"
"In post","2021","London","Unknown","21490","20635","42680","36160"
"In post","2021","North East (England)","Heterosexual / straight","19630","17730","28800","26290"
"In post","2021","North East (England)","LGBO","1000","950","28310","25580"
"In post","2021","North East (England)","Undeclared","2155","1930","28690","26120"
"In post","2021","North East (England)","Unknown","7830","6890","26470","22350"
"In post","2021","North West (England)","Heterosexual / straight","38980","36085","29980","27570"
"In post","2021","North West (England)","LGBO","2285","2215","29450","27570"
"In post","2021","North West (England)","Undeclared","4615","4205","29800","27570"
"In post","2021","North West (England)","Unknown","13465","12205","27930","25560"
"In post","2021","Northern Ireland","Heterosexual / straight","2625","2470","28590","25560"
"In post","2021","Northern Ireland","LGBO","95","90","26250","25310"
"In post","2021","Northern Ireland","Undeclared","225","215","28130","25560"
"In post","2021","Northern Ireland","Unknown","865","810","26290","22490"
"In post","2021","Overseas","Heterosexual / straight","2495","2485","49920","50430"
"In post","2021","Overseas","LGBO","170","170","51520","53000"
"In post","2021","Overseas","Undeclared","375","370","47650","41800"
"In post","2021","Overseas","Unknown","715","710","50960","49370"
"In post","2021","Scotland","Heterosexual / straight","27770","25875","33080","27570"
"In post","2021","Scotland","LGBO","1640","1590","32330","27570"
"In post","2021","Scotland","Undeclared","4535","4145","30330","27570"
"In post","2021","Scotland","Unknown","13645","12610","30860","27570"
"In post","2021","South East (England)","Heterosexual / straight","28945","26995","31500","28550"
"In post","2021","South East (England)","LGBO","1650","1595","30180","27850"
"In post","2021","South East (England)","Undeclared","4215","3905","32130","29290"
"In post","2021","South East (England)","Unknown","6960","6370","31290","28130"
"In post","2021","South West (England)","Heterosexual / straight","31000","29240","34320","31100"
"In post","2021","South West (England)","LGBO","1495","1450","31370","27570"
