"Status","Year","Age","Disability","Ethnicity","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Asian","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","AA","5","5","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","AO","20","20","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","EO","15","15","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","AO","35","30","21290","21010"
"In post","2021","16-19","Declared non-disabled","Asian","EO","20","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","AO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Mixed","AA","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Mixed","AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Mixed","EO","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Mixed","HEO","[c]","[c]","[c]","[c]"
