"Status","Year","Ethnicity","Parent_department","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Female","35","35","34020","28430"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Male","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Female","25","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Male","10","10","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","London","Female","405","370","44160","50500"
"In post","2021","Asian","Attorney General's Departments","London","Male","185","180","44730","40000"
"In post","2021","Asian","Attorney General's Departments","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","Female","5","5","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Female","25","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Male","15","15","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Female","25","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","Female","70","65","37050","28430"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","Male","25","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","Female","30","25","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","Male","20","20","[c]","[c]"
"In post","2021","Asian","Attorney General's Departments","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","London","Female","250","240","45780","40600"
"In post","2021","Asian","Cabinet Office","London","Male","170","165","49680","43890"
"In post","2021","Asian","Cabinet Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North East (England)","Female","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","Female","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","Male","5","5","[c]","[c]"
"In post","2021","Asian","Cabinet Office","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cabinet Office","Scotland","Unknown","[c]","[c]","[c]","[c]"
