"Status","Year","Age","Parent_department","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Attorney General's Departments","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Essex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Attorney General's Departments","West Wales and The Valleys","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Inner London - West","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office","North Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chancellor's other departments","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","East Wales","10","10","20890","19850"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Greater Manchester","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Inner London - West","10","10","27390","27680"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Kent","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","Greater Manchester","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education","Inner London - West","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","South Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education","West Midlands","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East Anglia","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Inner London - West","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Southern Scotland","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for International Trade","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Inner London - West","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport","Leicestershire, Rutland and Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Transport","West Wales and The Valleys","35","30","19450","18060"
"In post","2021","16-19","Department for Transport","West Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Bedfordshire and Hertfordshire","5","5","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Cheshire","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Derbyshire and Nottinghamshire","10","10","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Devon","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","Dorset and Somerset","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions","East Anglia","[c]","[c]","[c]","[c]"
