"Status","Year","Age","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","White","45","45","22090","21010"
"In post","2021","16-19","Declared non-disabled","Asian","60","55","22900","21010"
"In post","2021","16-19","Declared non-disabled","Black","10","10","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Mixed","15","15","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Undeclared","5","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","Unknown","10","5","[c]","[c]"
"In post","2021","16-19","Declared non-disabled","White","590","575","21450","21010"
"In post","2021","16-19","Undeclared","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2021","16-19","Undeclared","White","15","15","[c]","[c]"
"In post","2021","16-19","Unknown","Asian","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Black","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","485","465","20500","20140"
"In post","2021","16-19","Unknown","White","60","60","21720","21290"
"In post","2021","20-29","Declared disabled","Asian","340","335","29380","27570"
"In post","2021","20-29","Declared disabled","Black","200","200","29700","29570"
"In post","2021","20-29","Declared disabled","Chinese","10","10","[c]","[c]"
"In post","2021","20-29","Declared disabled","Mixed","215","205","28820","27570"
"In post","2021","20-29","Declared disabled","Other ethnicity","40","40","32820","31060"
"In post","2021","20-29","Declared disabled","Undeclared","95","90","29090","27570"
"In post","2021","20-29","Declared disabled","Unknown","110","110","29130","27570"
"In post","2021","20-29","Declared disabled","White","3920","3850","28800","27570"
"In post","2021","20-29","Declared non-disabled","Asian","4675","4575","29030","27570"
