"Status","Year","Disability","Ethnicity","Parent_department","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","London","50","45","49020","50500"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Attorney General's Departments","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","London","50","45","42880","37430"
"In post","2021","Declared disabled","Asian","Cabinet Office","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Cabinet Office","South West (England)","[c]","[c]","[c]","[c]"
