"Status","Year","Disability","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Female","Heterosexual / straight","470","425","43810","39920"
"In post","2021","Declared disabled","Attorney General's Departments","Female","LGBO","35","35","40520","30130"
"In post","2021","Declared disabled","Attorney General's Departments","Female","Undeclared","30","25","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Female","Unknown","75","65","42030","35630"
"In post","2021","Declared disabled","Attorney General's Departments","Male","Heterosexual / straight","235","230","44540","42090"
"In post","2021","Declared disabled","Attorney General's Departments","Male","LGBO","35","35","53220","52440"
"In post","2021","Declared disabled","Attorney General's Departments","Male","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Male","Unknown","30","30","46520","54550"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Female","Heterosexual / straight","305","285","42920","37300"
"In post","2021","Declared disabled","Cabinet Office","Female","LGBO","35","35","43440","40600"
"In post","2021","Declared disabled","Cabinet Office","Female","Undeclared","40","40","43620","38890"
"In post","2021","Declared disabled","Cabinet Office","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Male","Heterosexual / straight","220","220","44850","36460"
"In post","2021","Declared disabled","Cabinet Office","Male","LGBO","55","55","45750","46790"
"In post","2021","Declared disabled","Cabinet Office","Male","Undeclared","40","35","46290","45150"
"In post","2021","Declared disabled","Cabinet Office","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chancellor's other departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Charity Commission","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Female","Heterosexual / straight","20","15","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Competition and Markets Authority","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Female","Heterosexual / straight","385","360","40800","35990"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Female","LGBO","65","65","37170","33570"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Female","Undeclared","35","35","42030","40220"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Female","Unknown","100","90","31650","32060"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Male","Heterosexual / straight","270","260","42330","39490"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Male","LGBO","60","60","43380","40050"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Male","Undeclared","30","30","38560","33720"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Male","Unknown","85","85","37430","35870"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Business, Energy and Industrial Strategy","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Female","Heterosexual / straight","50","50","48850","45550"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Digital, Culture, Media and Sport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Female","Heterosexual / straight","325","305","41190","36960"
"In post","2021","Declared disabled","Department for Education","Female","LGBO","35","35","39480","33610"
"In post","2021","Declared disabled","Department for Education","Female","Undeclared","35","35","41300","37100"
"In post","2021","Declared disabled","Department for Education","Female","Unknown","40","35","45000","40940"
"In post","2021","Declared disabled","Department for Education","Male","Heterosexual / straight","200","200","41940","37100"
"In post","2021","Declared disabled","Department for Education","Male","LGBO","30","30","39850","33400"
"In post","2021","Declared disabled","Department for Education","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Education","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Female","Heterosexual / straight","505","470","33810","30160"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Female","LGBO","65","60","33970","31740"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Female","Undeclared","60","55","34110","31040"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Female","Unknown","60","50","28440","25060"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Male","Heterosexual / straight","330","325","36050","32160"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Male","LGBO","50","50","36500","32100"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Male","Undeclared","45","45","35120","32560"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Male","Unknown","40","40","30270","25190"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Female","Heterosexual / straight","65","65","45630","43120"
"In post","2021","Declared disabled","Department for International Trade","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Female","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Male","Heterosexual / straight","60","60","45610","38540"
"In post","2021","Declared disabled","Department for International Trade","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for International Trade","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Female","Heterosexual / straight","475","405","28380","26470"
"In post","2021","Declared disabled","Department for Transport","Female","LGBO","40","35","32480","26700"
"In post","2021","Declared disabled","Department for Transport","Female","Undeclared","225","170","24160","21590"
"In post","2021","Declared disabled","Department for Transport","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Male","Heterosexual / straight","410","385","32780","26780"
"In post","2021","Declared disabled","Department for Transport","Male","LGBO","45","45","38170","33350"
"In post","2021","Declared disabled","Department for Transport","Male","Undeclared","155","140","28330","26780"
"In post","2021","Declared disabled","Department for Transport","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Transport","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Female","Heterosexual / straight","7790","6635","27320","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Female","LGBO","535","495","28010","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Female","Undeclared","1080","900","26590","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Female","Unknown","1030","830","26090","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Male","Heterosexual / straight","3465","3255","27750","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Male","LGBO","580","555","27650","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Male","Undeclared","570","530","27370","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Male","Unknown","495","450","26610","27570"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Female","Heterosexual / straight","235","210","38890","36330"
"In post","2021","Declared disabled","Department of Health and Social Care","Female","LGBO","45","45","34760","28730"
"In post","2021","Declared disabled","Department of Health and Social Care","Female","Undeclared","35","30","38780","32960"
"In post","2021","Declared disabled","Department of Health and Social Care","Female","Unknown","35","30","46000","40940"
"In post","2021","Declared disabled","Department of Health and Social Care","Male","Heterosexual / straight","130","125","44100","35610"
"In post","2021","Declared disabled","Department of Health and Social Care","Male","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Department of Health and Social Care","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","ESTYN","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Male","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Food Standards Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Female","Heterosexual / straight","345","330","42950","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Female","LGBO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Female","Undeclared","25","25","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Male","Heterosexual / straight","280","275","44250","38600"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Male","LGBO","50","50","46110","46640"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Male","Undeclared","35","35","42860","36850"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Female","Heterosexual / straight","215","180","30070","27130"
"In post","2021","Declared disabled","HM Land Registry","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Female","Undeclared","45","35","30840","27130"
"In post","2021","Declared disabled","HM Land Registry","Female","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Male","Heterosexual / straight","135","125","31530","27130"
"In post","2021","Declared disabled","HM Land Registry","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Male","Undeclared","25","20","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Male","Unknown","25","20","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Land Registry","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HM Revenue and Customs","Female","Heterosexual / straight","2380","2065","30780","27440"
"In post","2021","Declared disabled","HM Revenue and Customs","Female","LGBO","200","185","30980","31810"
"In post","2021","Declared disabled","HM Revenue and Customs","Female","Undeclared","270","235","29730","25690"
"In post","2021","Declared disabled","HM Revenue and Customs","Female","Unknown","415","345","27060","21440"
