"Status","Year","Function_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","50","45","37570","33590"
"In post","2021","Analysis","East of England","385","360","35070","31450"
"In post","2021","Analysis","London","3455","3355","48920","44950"
"In post","2021","Analysis","North East (England)","60","60","42160","42220"
"In post","2021","Analysis","North West (England)","370","350","38490","38630"
"In post","2021","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","65","65","46870","41060"
"In post","2021","Analysis","South East (England)","870","830","38950","37320"
"In post","2021","Analysis","South West (England)","465","440","37040","35900"
"In post","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","1085","1035","36250","36030"
"In post","2021","Analysis","West Midlands (England)","65","60","41250","38650"
"In post","2021","Analysis","Yorkshire and The Humber","345","330","41430","41990"
"In post","2021","Commercial","East Midlands (England)","165","155","40710","38150"
"In post","2021","Commercial","East of England","395","380","41190","37250"
"In post","2021","Commercial","London","1880","1845","58850","54700"
"In post","2021","Commercial","North East (England)","110","105","47070","44850"
"In post","2021","Commercial","North West (England)","775","750","43120","38630"
"In post","2021","Commercial","Northern Ireland","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","40","40","47880","42200"
"In post","2021","Commercial","Scotland","390","380","38010","34800"
"In post","2021","Commercial","South East (England)","675","650","38950","34800"
"In post","2021","Commercial","South West (England)","1355","1310","42290","39650"
"In post","2021","Commercial","Unknown","30","30","47790","40580"
"In post","2021","Commercial","Wales","360","340","35620","31940"
"In post","2021","Commercial","West Midlands (England)","350","340","40330","36780"
"In post","2021","Commercial","Yorkshire and The Humber","460","445","45450","40470"
"In post","2021","Communications","East Midlands (England)","510","495","29800","25560"
"In post","2021","Communications","East of England","100","95","33240","31170"
"In post","2021","Communications","London","2450","2395","44780","40830"
"In post","2021","Communications","North East (England)","1545","1460","28000","25560"
"In post","2021","Communications","North West (England)","710","690","30860","27770"
"In post","2021","Communications","Northern Ireland","35","35","39660","37370"
"In post","2021","Communications","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Scotland","220","205","33030","31810"
"In post","2021","Communications","South East (England)","330","315","33090","31200"
"In post","2021","Communications","South West (England)","355","335","35930","33300"
"In post","2021","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","Communications","Wales","960","920","29430","25560"
"In post","2021","Communications","West Midlands (England)","350","340","32890","31810"
"In post","2021","Communications","Yorkshire and The Humber","640","625","30540","25560"
"In post","2021","Counter Fraud","East Midlands (England)","540","510","33520","31810"
"In post","2021","Counter Fraud","East of England","445","415","28610","25560"
"In post","2021","Counter Fraud","London","2315","2230","39230","36160"
"In post","2021","Counter Fraud","North East (England)","535","510","32110","31810"
"In post","2021","Counter Fraud","North West (England)","1690","1585","33010","31810"
"In post","2021","Counter Fraud","Northern Ireland","395","375","31180","28130"
