"Status","Year","Age","Ethnicity","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","AA/AO","Female","20","20","[c]","[c]"
"In post","2021","16-19","Asian","AA/AO","Male","25","20","[c]","[c]"
"In post","2021","16-19","Asian","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","EO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Asian","EO","Male","10","10","[c]","[c]"
"In post","2021","16-19","Asian","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","Female","10","10","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","AA/AO","Male","[c]","[c]","[c]","[c]"
