"Status","Year","Disability","Function_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","EO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","G6","30","30","72430","72560"
"In post","2021","Declared disabled","Analysis","London","G7","60","55","57180","57550"
"In post","2021","Declared disabled","Analysis","London","HEO","60","60","35390","34670"
"In post","2021","Declared disabled","Analysis","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","London","SEO","45","40","43200","41990"
"In post","2021","Declared disabled","Analysis","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","EO","35","35","25630","25180"
"In post","2021","Declared disabled","Analysis","Outside London","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","G7","55","50","50910","49860"
"In post","2021","Declared disabled","Analysis","Outside London","HEO","110","105","30850","30130"
"In post","2021","Declared disabled","Analysis","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Outside London","SEO","110","105","38810","37520"
"In post","2021","Declared disabled","Analysis","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","AO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","EO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","G7","25","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","HEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","SEO","35","35","44590","43020"
"In post","2021","Declared disabled","Commercial","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","AO","50","50","21800","21490"
"In post","2021","Declared disabled","Commercial","Outside London","EO","70","65","26520","26670"
"In post","2021","Declared disabled","Commercial","Outside London","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","G7","35","35","54670","54540"
"In post","2021","Declared disabled","Commercial","Outside London","HEO","115","110","32910","33300"
"In post","2021","Declared disabled","Commercial","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Outside London","SEO","130","125","42050","41660"
"In post","2021","Declared disabled","Commercial","Outside London","Unknown","30","30","41930","39930"
"In post","2021","Declared disabled","Commercial","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","EO","30","25","[c]","[c]"
