"Status","Year","Ethnicity","Organisation","Parent_department","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Food Standards Agency","Female","25","25","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Food Standards Agency","Male","25","25","[c]","[c]"
"In post","2021","Asian","Food Standards Agency","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Food Standards Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Female","240","225","41700","36460"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Male","180","180","46880","39220"
"In post","2021","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Forestry and Land Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Chancellor's other departments","Female","15","15","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Chancellor's other departments","Male","15","15","[c]","[c]"
"In post","2021","Asian","Government Actuary's Department","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","HM Treasury","Female","25","25","[c]","[c]"
"In post","2021","Asian","Government Internal Audit Agency","HM Treasury","Male","30","30","51280","49850"
"In post","2021","Asian","Government Internal Audit Agency","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Legal Department","Attorney General's Departments","Female","175","160","50110","51250"
"In post","2021","Asian","Government Legal Department","Attorney General's Departments","Male","80","80","48090","51250"
"In post","2021","Asian","Government Legal Department","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Other Cabinet Office Agencies","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Other Cabinet Office Agencies","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Government Property Agency","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Department for Work and Pensions","Female","25","25","[c]","[c]"
"In post","2021","Asian","Health and Safety Executive","Department for Work and Pensions","Male","30","30","57090","52160"
"In post","2021","Asian","Health and Safety Executive","Department for Work and Pensions","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Courts and Tribunals Service","Ministry of Justice","Female","985","855","24880","22500"
"In post","2021","Asian","HM Courts and Tribunals Service","Ministry of Justice","Male","495","480","24930","22680"
"In post","2021","Asian","HM Courts and Tribunals Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Land Registry","HM Land Registry","Female","115","100","30340","27130"
"In post","2021","Asian","HM Land Registry","HM Land Registry","Male","95","90","31440","27130"
"In post","2021","Asian","HM Land Registry","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Prison and Probation Service","Ministry of Justice","Female","740","690","30260","28200"
"In post","2021","Asian","HM Prison and Probation Service","Ministry of Justice","Male","775","730","31880","31200"
"In post","2021","Asian","HM Prison and Probation Service","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Female","1975","1775","30530","27700"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Male","2220","2150","31180","29570"
"In post","2021","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","HM Treasury (excl. agencies)","HM Treasury","Female","110","110","44500","41900"
"In post","2021","Asian","HM Treasury (excl. agencies)","HM Treasury","Male","85","85","42150","36350"
"In post","2021","Asian","HM Treasury (excl. agencies)","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Home Office (incl. agencies)","Home Office","Female","2600","2335","31130","28850"
"In post","2021","Asian","Home Office (incl. agencies)","Home Office","Male","1895","1825","31490","28810"
"In post","2021","Asian","Home Office (incl. agencies)","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Insolvency Service","Department for Business, Energy and Industrial Strategy","Female","85","75","27740","25060"
"In post","2021","Asian","Insolvency Service","Department for Business, Energy and Industrial Strategy","Male","60","55","30570","26290"
"In post","2021","Asian","Insolvency Service","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Female","15","15","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Ministry of Justice","Female","40","35","26140","22570"
"In post","2021","Asian","Legal Aid Agency","Ministry of Justice","Male","25","25","[c]","[c]"
"In post","2021","Asian","Legal Aid Agency","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","Department for Transport","Female","15","15","[c]","[c]"
"In post","2021","Asian","Maritime and Coastguard Agency","Department for Transport","Male","40","40","56500","59220"
"In post","2021","Asian","Maritime and Coastguard Agency","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Female","165","160","38810","33100"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Male","105","105","45270","40450"
"In post","2021","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Female","10","10","[c]","[c]"
"In post","2021","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Male","15","15","[c]","[c]"
"In post","2021","Asian","Met Office","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Female","425","400","33530","30660"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Male","480","475","34160","33000"
"In post","2021","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Female","125","120","41010","36340"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Male","85","85","40780","36340"
"In post","2021","Asian","Ministry of Housing, Communities and Local Government (excl. agencies)","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Female","275","265","36840","32870"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Male","190","190","41410","37820"
"In post","2021","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Crime Agency","National Crime Agency","Female","145","135","35210","33910"
"In post","2021","Asian","National Crime Agency","National Crime Agency","Male","100","95","37740","36740"
"In post","2021","Asian","National Crime Agency","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Infrastructure Commission","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Records of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Chancellor's other departments","Female","10","10","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Chancellor's other departments","Male","10","10","[c]","[c]"
"In post","2021","Asian","National Savings and Investments","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Northern Ireland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Northern Ireland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Northern Ireland Office","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","HM Treasury","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","HM Treasury","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Budget Responsibility","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Female","70","65","39700","39660"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Male","30","30","43390","35010"
"In post","2021","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Female","55","55","42830","38750"
"In post","2021","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Male","50","50","45630","39670"
"In post","2021","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Female","15","15","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Male","10","10","[c]","[c]"
"In post","2021","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Office of Rail and Road","Female","10","10","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Office of Rail and Road","Male","10","10","[c]","[c]"
"In post","2021","Asian","Office of Rail and Road","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Public Guardian","Ministry of Justice","Female","205","185","21300","19930"
"In post","2021","Asian","Office of the Public Guardian","Ministry of Justice","Male","210","205","21060","19930"
"In post","2021","Asian","Office of the Public Guardian","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Scottish Charity Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Scottish Charity Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Office of the Scottish Charity Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Female","5","5","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Male","5","5","[c]","[c]"
"In post","2021","Asian","Planning Inspectorate","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Public Health England","Department of Health and Social Care","Female","495","455","41580","32330"
"In post","2021","Asian","Public Health England","Department of Health and Social Care","Male","220","215","44780","39020"
"In post","2021","Asian","Public Health England","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Queen Elizabeth II Centre","Ministry of Housing, Communities and Local Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","Scottish Government","Female","5","5","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Registers of Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Revenue Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","Ministry of Defence","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","Ministry of Defence","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Royal Fleet Auxiliary","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Female","20","15","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Male","10","10","[c]","[c]"
"In post","2021","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scotland Office (incl. Office of the Advocate General for Scotland)","Scotland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Courts and Tribunals Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Fiscal Commission","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Forestry","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Government (excl. agencies)","Scottish Government","Female","35","30","38870","35110"
"In post","2021","Asian","Scottish Government (excl. agencies)","Scottish Government","Male","35","35","40440","38540"
"In post","2021","Asian","Scottish Government (excl. agencies)","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Housing Regulator","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Housing Regulator","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Housing Regulator","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","Scottish Government","Male","5","5","[c]","[c]"
"In post","2021","Asian","Scottish Prison Service","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","Scottish Government","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Scottish Public Pensions Agency","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","Attorney General's Departments","Female","25","25","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","Attorney General's Departments","Male","20","20","[c]","[c]"
"In post","2021","Asian","Serious Fraud Office","Attorney General's Departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Social Security Scotland","Scottish Government","Female","10","10","[c]","[c]"
"In post","2021","Asian","Social Security Scotland","Scottish Government","Male","15","15","[c]","[c]"
"In post","2021","Asian","Social Security Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","Department for Education","Female","10","10","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","Department for Education","Male","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Standards and Testing Agency","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Student Awards Agency for Scotland","Scottish Government","Female","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Student Awards Agency for Scotland","Scottish Government","Male","[c]","[c]","[c]","[c]"
