"Status","Year","Disability","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Heterosexual / straight","37330","34185","31640","27570"
"In post","2021","Declared disabled","LGBO","4015","3855","32710","28380"
"In post","2021","Declared disabled","Undeclared","5325","4805","31190","27570"
"In post","2021","Declared disabled","Unknown","3890","3410","29970","27570"
"In post","2021","Declared non-disabled","Heterosexual / straight","248745","233360","34320","29530"
"In post","2021","Declared non-disabled","LGBO","12625","12285","34980","30210"
"In post","2021","Declared non-disabled","Undeclared","23215","21305","33630","28820"
"In post","2021","Declared non-disabled","Unknown","36315","32120","31770","27570"
"In post","2021","Undeclared","Heterosexual / straight","11910","11155","32410","29200"
"In post","2021","Undeclared","LGBO","1020","995","33140","30200"
"In post","2021","Undeclared","Undeclared","10915","10275","34970","31650"
"In post","2021","Undeclared","Unknown","4900","4460","33310","31650"
"In post","2021","Unknown","Heterosexual / straight","19000","18065","36170","32960"
"In post","2021","Unknown","LGBO","1165","1140","35330","31870"
"In post","2021","Unknown","Undeclared","4220","3925","33840","29350"
"In post","2021","Unknown","Unknown","60300","57495","33320","28410"
"Leaver CS","2021","Declared disabled","Heterosexual / straight","1660","[c]","29750","26670"
"Leaver CS","2021","Declared disabled","LGBO","190","[c]","30600","27570"
"Leaver CS","2021","Declared disabled","Undeclared","285","[c]","30100","27060"
"Leaver CS","2021","Declared disabled","Unknown","835","[c]","28970","27130"
"Leaver CS","2021","Declared non-disabled","Heterosexual / straight","9445","[c]","33150","27570"
"Leaver CS","2021","Declared non-disabled","LGBO","500","[c]","33480","27150"
"Leaver CS","2021","Declared non-disabled","Undeclared","1055","[c]","34270","27570"
"Leaver CS","2021","Declared non-disabled","Unknown","4510","[c]","31510","26890"
"Leaver CS","2021","Undeclared","Heterosexual / straight","535","[c]","31610","27570"
"Leaver CS","2021","Undeclared","LGBO","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","430","[c]","33790","30510"
"Leaver CS","2021","Undeclared","Unknown","740","[c]","35250","31770"
"Leaver CS","2021","Unknown","Heterosexual / straight","755","[c]","35670","31460"
"Leaver CS","2021","Unknown","LGBO","40","[c]","32470","27570"
"Leaver CS","2021","Unknown","Undeclared","215","[c]","32560","28670"
"Leaver CS","2021","Unknown","Unknown","6605","[c]","32340","27570"
"Leaver Dept.","2021","Declared disabled","Heterosexual / straight","650","[c]","35630","32000"
"Leaver Dept.","2021","Declared disabled","LGBO","110","[c]","37910","33210"
"Leaver Dept.","2021","Declared disabled","Undeclared","85","[c]","36820","32620"
"Leaver Dept.","2021","Declared disabled","Unknown","150","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Heterosexual / straight","4825","[c]","37740","32620"
"Leaver Dept.","2021","Declared non-disabled","LGBO","415","[c]","36790","32830"
"Leaver Dept.","2021","Declared non-disabled","Undeclared","370","[c]","39790","34490"
"Leaver Dept.","2021","Declared non-disabled","Unknown","1340","[c]","37680","31830"
"Leaver Dept.","2021","Undeclared","Heterosexual / straight","230","[c]","35970","32560"
"Leaver Dept.","2021","Undeclared","LGBO","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Undeclared","Undeclared","180","[c]","39830","37410"
"Leaver Dept.","2021","Undeclared","Unknown","170","[c]","38100","34700"
