"Status","Year","Age","Ethnicity","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Asian","London","20","20","[c]","[c]"
"In post","2021","16-19","Asian","Outside London","50","45","21130","21010"
"In post","2021","16-19","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Black","London","10","10","[c]","[c]"
"In post","2021","16-19","Black","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Mixed","London","5","5","[c]","[c]"
"In post","2021","16-19","Mixed","Outside London","15","15","[c]","[c]"
"In post","2021","16-19","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Undeclared","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","London","40","40","24130","24120"
"In post","2021","16-19","Unknown","Outside London","420","405","20310","20140"
"In post","2021","16-19","Unknown","Unknown","40","40","18910","15940"
"In post","2021","16-19","White","London","80","75","25350","25170"
"In post","2021","16-19","White","Outside London","630","620","21020","21010"
"In post","2021","16-19","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Asian","London","2640","2615","33270","31060"
"In post","2021","20-29","Asian","Outside London","3040","2950","25620","25040"
"In post","2021","20-29","Asian","Overseas","15","15","[c]","[c]"
"In post","2021","20-29","Asian","Unknown","30","30","[c]","[c]"
"In post","2021","20-29","Black","London","1500","1485","31650","31060"
"In post","2021","20-29","Black","Outside London","660","645","26190","25560"
"In post","2021","20-29","Black","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Black","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","Chinese","London","125","125","38810","35070"
"In post","2021","20-29","Chinese","Outside London","100","100","27830","25560"
"In post","2021","20-29","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Mixed","London","1045","1035","35130","32560"
"In post","2021","20-29","Mixed","Outside London","1090","1070","26500","25830"
"In post","2021","20-29","Mixed","Overseas","15","15","[c]","[c]"
"In post","2021","20-29","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","London","275","270","35290","32950"
"In post","2021","20-29","Other ethnicity","Outside London","165","160","26300","25560"
"In post","2021","20-29","Other ethnicity","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","London","500","495","37000","34320"
"In post","2021","20-29","Undeclared","Outside London","955","940","27720","26750"
"In post","2021","20-29","Undeclared","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","Unknown","London","5895","5870","34850","32000"
"In post","2021","20-29","Unknown","Outside London","13085","12830","25080","24120"
"In post","2021","20-29","Unknown","Overseas","65","65","39150","38600"
"In post","2021","20-29","Unknown","Unknown","705","705","29810","29250"
"In post","2021","20-29","White","London","11020","10965","37530","34550"
"In post","2021","20-29","White","Outside London","34115","33540","26420","25560"
"In post","2021","20-29","White","Overseas","200","200","36770","33860"
"In post","2021","20-29","White","Unknown","135","135","30160","27570"
"In post","2021","30-39","Asian","London","3390","3250","39150","35070"
"In post","2021","30-39","Asian","Outside London","4490","4175","28300","27370"
"In post","2021","30-39","Asian","Overseas","50","50","44040","36730"
"In post","2021","30-39","Asian","Unknown","25","25","[c]","[c]"
"In post","2021","30-39","Black","London","1780","1725","35340","31130"
"In post","2021","30-39","Black","Outside London","1305","1240","29000","27570"
"In post","2021","30-39","Black","Overseas","15","15","[c]","[c]"
"In post","2021","30-39","Black","Unknown","15","15","[c]","[c]"
"In post","2021","30-39","Chinese","London","180","175","46090","42410"
"In post","2021","30-39","Chinese","Outside London","165","160","31580","29090"
"In post","2021","30-39","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Mixed","London","995","965","43570","40050"
"In post","2021","30-39","Mixed","Outside London","1280","1205","30780","27570"
"In post","2021","30-39","Mixed","Overseas","40","40","45520","51220"
"In post","2021","30-39","Mixed","Unknown","10","10","[c]","[c]"
"In post","2021","30-39","Other ethnicity","London","315","305","43070","38690"
"In post","2021","30-39","Other ethnicity","Outside London","280","265","30620","27220"
"In post","2021","30-39","Other ethnicity","Overseas","10","10","[c]","[c]"
"In post","2021","30-39","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Undeclared","London","940","915","45590","42590"
"In post","2021","30-39","Undeclared","Outside London","2550","2440","31970","29170"
"In post","2021","30-39","Undeclared","Overseas","35","35","43230","39230"
"In post","2021","30-39","Undeclared","Unknown","5","5","[c]","[c]"
"In post","2021","30-39","Unknown","London","4035","3945","46120","42200"
"In post","2021","30-39","Unknown","Outside London","12180","11510","29300","26500"
"In post","2021","30-39","Unknown","Overseas","200","200","50650","52750"
"In post","2021","30-39","Unknown","Unknown","530","530","37750","33420"
"In post","2021","30-39","White","London","12685","12290","49020","51250"
"In post","2021","30-39","White","Outside London","55000","51670","31010","27570"
"In post","2021","30-39","White","Overseas","705","705","46800","50430"
"In post","2021","30-39","White","Unknown","185","180","34100","27570"
"In post","2021","40-49","Asian","London","3520","3290","39770","34520"
"In post","2021","40-49","Asian","Outside London","4240","3810","30250","27570"
"In post","2021","40-49","Asian","Overseas","60","55","48600","52410"
"In post","2021","40-49","Asian","Unknown","35","30","29930","27570"
"In post","2021","40-49","Black","London","2160","2070","36420","31880"
"In post","2021","40-49","Black","Outside London","1425","1350","30350","27570"
"In post","2021","40-49","Black","Overseas","30","30","[c]","[c]"
"In post","2021","40-49","Black","Unknown","5","5","[c]","[c]"
"In post","2021","40-49","Chinese","London","165","160","43690","38860"
"In post","2021","40-49","Chinese","Outside London","170","160","31080","27570"
"In post","2021","40-49","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Mixed","London","665","635","46210","41700"
"In post","2021","40-49","Mixed","Outside London","1060","985","33270","28200"
"In post","2021","40-49","Mixed","Overseas","30","30","[c]","[c]"
"In post","2021","40-49","Mixed","Unknown","5","5","[c]","[c]"
"In post","2021","40-49","Other ethnicity","London","290","275","44100","37210"
"In post","2021","40-49","Other ethnicity","Outside London","340","320","33210","27570"
"In post","2021","40-49","Other ethnicity","Overseas","10","10","[c]","[c]"
"In post","2021","40-49","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Undeclared","London","1060","1010","44390","39060"
"In post","2021","40-49","Undeclared","Outside London","3860","3655","33170","29420"
"In post","2021","40-49","Undeclared","Overseas","70","70","46900","40430"
"In post","2021","40-49","Undeclared","Unknown","10","10","[c]","[c]"
"In post","2021","40-49","Unknown","London","2675","2555","51450","47520"
"In post","2021","40-49","Unknown","Outside London","9405","8795","32020","27570"
"In post","2021","40-49","Unknown","Overseas","180","180","54600","53490"
"In post","2021","40-49","Unknown","Unknown","450","445","40380","35380"
"In post","2021","40-49","White","London","11770","11180","53070","53320"
"In post","2021","40-49","White","Outside London","67590","62945","33360","28850"
"In post","2021","40-49","White","Overseas","795","790","52380","54470"
"In post","2021","40-49","White","Unknown","215","205","34000","27570"
"In post","2021","50-59","Asian","London","2710","2565","36980","31880"
"In post","2021","50-59","Asian","Outside London","2735","2520","30140","27570"
"In post","2021","50-59","Asian","Overseas","20","20","[c]","[c]"
"In post","2021","50-59","Asian","Unknown","40","35","28100","29730"
"In post","2021","50-59","Black","London","3550","3450","35030","31060"
"In post","2021","50-59","Black","Outside London","1650","1570","30580","27570"
"In post","2021","50-59","Black","Overseas","15","15","[c]","[c]"
"In post","2021","50-59","Black","Unknown","25","25","[c]","[c]"
"In post","2021","50-59","Chinese","London","95","90","44240","37910"
"In post","2021","50-59","Chinese","Outside London","145","135","31850","26290"
"In post","2021","50-59","Chinese","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","50-59","Mixed","London","550","525","41420","35980"
"In post","2021","50-59","Mixed","Outside London","985","920","33510","28200"
