"Status","Year","Disability","Region_ITL2","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA","Male","15","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AO","Female","65","60","24040","24180"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AO","Male","30","30","25490","24660"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Female","135","120","29280","29290"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Male","70","70","28880","29050"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G7","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G7","Male","10","5","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","HEO","Female","30","30","34440","33900"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","HEO","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Female","45","40","26000","22920"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Male","25","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Female","145","135","23930","22440"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Male","140","140","28070","25630"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Female","165","150","28410","27570"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Male","130","125","30190","28680"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Female","25","25","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Male","25","20","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Female","90","85","34510","34220"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Male","65","65","35160","34260"
"In post","2021","Declared disabled","Berkshire, Buckinghamshire and Oxfordshire","HEO","Unknown","[c]","[c]","[c]","[c]"
