"Status","Year","Profession_of_post","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","London","AO","50","45","23760","24100"
"In post","2021","Commercial","London","EO","105","100","29060","29740"
"In post","2021","Commercial","London","G6","85","85","72540","71080"
"In post","2021","Commercial","London","G7","150","145","58430","57050"
"In post","2021","Commercial","London","HEO","135","135","35100","34710"
"In post","2021","Commercial","London","SCS level","55","50","87030","79150"
"In post","2021","Commercial","London","SEO","290","285","44340","43350"
"In post","2021","Commercial","London","Unknown","10","10","45860","41060"
"In post","2021","Commercial","Outside London","AA","30","25","21950","20810"
"In post","2021","Commercial","Outside London","AO","185","175","22280","21590"
"In post","2021","Commercial","Outside London","EO","600","570","25410","26130"
"In post","2021","Commercial","Outside London","G6","210","205","68980","67150"
"In post","2021","Commercial","Outside London","G7","560","545","53150","51880"
"In post","2021","Commercial","Outside London","HEO","1140","1100","31790","32040"
"In post","2021","Commercial","Outside London","SCS level","45","45","92450","91580"
"In post","2021","Commercial","Outside London","SEO","1445","1395","41100","40580"
"In post","2021","Commercial","Outside London","Unknown","205","205","38240","35570"
"In post","2021","Commercial","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","G7","5","5","[c]","[c]"
"In post","2021","Commercial","Overseas","HEO","10","10","37810","36460"
"In post","2021","Commercial","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Overseas","SEO","10","10","47440","46410"
"In post","2021","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","Unknown","SEO","5","5","[c]","[c]"
"In post","2021","Communications","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Communications","London","AO","65","60","24640","24900"
"In post","2021","Communications","London","EO","235","235","28560","27850"
"In post","2021","Communications","London","G6","165","160","69190","69060"
"In post","2021","Communications","London","G7","480","465","55810","54870"
"In post","2021","Communications","London","HEO","520","510","36030","35730"
"In post","2021","Communications","London","SCS level","100","100","88190","82220"
"In post","2021","Communications","London","SEO","525","515","43030","42870"
"In post","2021","Communications","Outside London","AA","10","10","19260","19560"
"In post","2021","Communications","Outside London","AO","160","150","21530","21410"
"In post","2021","Communications","Outside London","EO","395","375","26800","26670"
"In post","2021","Communications","Outside London","G6","75","75","64660","64110"
"In post","2021","Communications","Outside London","G7","220","210","52340","52520"
"In post","2021","Communications","Outside London","HEO","505","480","32820","33000"
"In post","2021","Communications","Outside London","SCS level","15","15","78180","76000"
"In post","2021","Communications","Outside London","SEO","470","450","39950","39520"
"In post","2021","Communications","Outside London","Unknown","5","5","[c]","[c]"
"In post","2021","Communications","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","London","EO","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","G6","10","10","66510","65040"
"In post","2021","Corporate Finance","London","G7","25","25","58170","56240"
"In post","2021","Corporate Finance","London","HEO","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","SCS level","10","10","[c]","[c]"
"In post","2021","Corporate Finance","London","SEO","15","15","45020","45740"
"In post","2021","Corporate Finance","Outside London","AO","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","EO","10","10","24850","24920"
"In post","2021","Corporate Finance","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","G7","25","25","50980","47140"
"In post","2021","Corporate Finance","Outside London","HEO","20","20","31070","28690"
"In post","2021","Corporate Finance","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Outside London","SEO","15","15","39840","37870"
"In post","2021","Counter Fraud","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","AO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","London","EO","65","60","28180","28750"
"In post","2021","Counter Fraud","London","G6","40","35","70420","69110"
"In post","2021","Counter Fraud","London","G7","50","50","58200","58470"
"In post","2021","Counter Fraud","London","HEO","115","115","34760","33140"
"In post","2021","Counter Fraud","London","SCS level","10","10","[c]","[c]"
"In post","2021","Counter Fraud","London","SEO","115","110","42080","41080"
"In post","2021","Counter Fraud","Outside London","AA","10","10","18080","17990"
"In post","2021","Counter Fraud","Outside London","AO","40","35","21480","21430"
"In post","2021","Counter Fraud","Outside London","EO","120","110","25760","25310"
"In post","2021","Counter Fraud","Outside London","G6","5","5","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","G7","25","25","53360","52530"
"In post","2021","Counter Fraud","Outside London","HEO","210","200","34760","34390"
"In post","2021","Counter Fraud","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Outside London","SEO","85","80","42200","42520"
"In post","2021","Digital, Data and Technology","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","London","AO","45","45","24870","24270"
"In post","2021","Digital, Data and Technology","London","EO","290","285","29510","29500"
"In post","2021","Digital, Data and Technology","London","G6","265","260","71930","71300"
"In post","2021","Digital, Data and Technology","London","G7","1015","1000","59830","59160"
"In post","2021","Digital, Data and Technology","London","HEO","655","640","35330","35070"
"In post","2021","Digital, Data and Technology","London","SCS level","115","115","94880","90710"
"In post","2021","Digital, Data and Technology","London","SEO","895","880","43660","42850"
"In post","2021","Digital, Data and Technology","London","Unknown","15","15","37060","33050"
"In post","2021","Digital, Data and Technology","Outside London","AA","50","50","20110","19730"
"In post","2021","Digital, Data and Technology","Outside London","AO","345","335","21810","21580"
"In post","2021","Digital, Data and Technology","Outside London","EO","1920","1850","27190","26670"
"In post","2021","Digital, Data and Technology","Outside London","G6","440","430","65960","64670"
"In post","2021","Digital, Data and Technology","Outside London","G7","1740","1705","53460","52580"
"In post","2021","Digital, Data and Technology","Outside London","HEO","2715","2620","33250","32320"
"In post","2021","Digital, Data and Technology","Outside London","SCS level","110","105","87260","80800"
"In post","2021","Digital, Data and Technology","Outside London","SEO","2600","2535","41020","40100"
"In post","2021","Digital, Data and Technology","Outside London","Unknown","50","50","35720","33400"
"In post","2021","Digital, Data and Technology","Overseas","EO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","HEO","10","10","[c]","[c]"
"In post","2021","Digital, Data and Technology","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Digital, Data and Technology","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Economics","London","AA","5","5","[c]","[c]"
"In post","2021","Economics","London","AO","55","55","24350","24300"
"In post","2021","Economics","London","EO","95","95","27720","27680"
"In post","2021","Economics","London","G6","200","190","70630","69630"
"In post","2021","Economics","London","G7","565","550","56660","56360"
"In post","2021","Economics","London","HEO","675","675","34190","33880"
"In post","2021","Economics","London","SCS level","80","80","89940","82660"
"In post","2021","Economics","London","SEO","90","90","42810","42470"
"In post","2021","Economics","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Economics","Outside London","AO","30","30","19710","19130"
"In post","2021","Economics","Outside London","EO","25","25","24400","23380"
