"Status","Year","Age","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","AA","Female","Heterosexual / straight","60","55","19960","20600"
"In post","2021","16-19","AA","Female","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA","Female","Unknown","35","30","19270","19090"
"In post","2021","16-19","AA","Male","Heterosexual / straight","55","55","18870","19560"
"In post","2021","16-19","AA","Male","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA","Male","Unknown","45","40","18730","19130"
"In post","2021","16-19","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AO","Female","Heterosexual / straight","225","215","21510","21010"
"In post","2021","16-19","AO","Female","LGBO","20","20","[c]","[c]"
"In post","2021","16-19","AO","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","16-19","AO","Female","Unknown","160","155","20930","20140"
"In post","2021","16-19","AO","Male","Heterosexual / straight","160","155","21320","21010"
"In post","2021","16-19","AO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","16-19","AO","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","AO","Male","Unknown","130","120","21080","20140"
"In post","2021","16-19","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Female","Heterosexual / straight","85","85","24370","25230"
"In post","2021","16-19","EO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","16-19","EO","Female","Unknown","25","25","[c]","[c]"
"In post","2021","16-19","EO","Male","Heterosexual / straight","110","110","22720","23580"
"In post","2021","16-19","EO","Male","LGBO","5","5","[c]","[c]"
"In post","2021","16-19","EO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Male","Unknown","60","60","20600","17780"
"In post","2021","16-19","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","16-19","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","16-19","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Male","Unknown","45","45","18570","16780"
"In post","2021","16-19","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA","Female","Heterosexual / straight","850","800","20080","20600"
"In post","2021","20-29","AA","Female","LGBO","115","115","19970","20600"
"In post","2021","20-29","AA","Female","Undeclared","85","80","19930","20070"
"In post","2021","20-29","AA","Female","Unknown","470","450","20070","20600"
"In post","2021","20-29","AA","Male","Heterosexual / straight","730","715","20190","20600"
"In post","2021","20-29","AA","Male","LGBO","60","60","20020","20060"
"In post","2021","20-29","AA","Male","Undeclared","55","55","20260","20100"
"In post","2021","20-29","AA","Male","Unknown","440","435","19890","20060"
"In post","2021","20-29","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AO","Female","Heterosexual / straight","7175","6880","22430","21430"
"In post","2021","20-29","AO","Female","LGBO","925","905","23290","21590"
"In post","2021","20-29","AO","Female","Undeclared","600","575","22770","21430"
"In post","2021","20-29","AO","Female","Unknown","3590","3460","22090","21010"
"In post","2021","20-29","AO","Male","Heterosexual / straight","6620","6540","23460","22060"
"In post","2021","20-29","AO","Male","LGBO","615","605","22140","21010"
"In post","2021","20-29","AO","Male","Undeclared","465","455","23270","21430"
"In post","2021","20-29","AO","Male","Unknown","3670","3615","22710","21050"
"In post","2021","20-29","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","AO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Female","Heterosexual / straight","8120","7985","27180","27570"
"In post","2021","20-29","EO","Female","LGBO","835","830","27240","27570"
"In post","2021","20-29","EO","Female","Undeclared","585","580","27440","27570"
"In post","2021","20-29","EO","Female","Unknown","2500","2460","26820","26670"
"In post","2021","20-29","EO","Male","Heterosexual / straight","6035","6010","26980","27500"
"In post","2021","20-29","EO","Male","LGBO","645","640","26950","27570"
"In post","2021","20-29","EO","Male","Undeclared","530","530","27230","27500"
"In post","2021","20-29","EO","Male","Unknown","2345","2330","26620","26170"
"In post","2021","20-29","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","EO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6","Female","Heterosexual / straight","100","95","64680","64670"
"In post","2021","20-29","G6","Female","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","G6","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","20-29","G6","Female","Unknown","40","40","64650","64500"
"In post","2021","20-29","G6","Male","Heterosexual / straight","70","70","64730","64670"
"In post","2021","20-29","G6","Male","LGBO","15","15","[c]","[c]"
"In post","2021","20-29","G6","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","20-29","G6","Male","Unknown","45","45","64900","64700"
"In post","2021","20-29","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G7","Female","Heterosexual / straight","1345","1340","53380","53360"
"In post","2021","20-29","G7","Female","LGBO","160","160","53610","53360"
"In post","2021","20-29","G7","Female","Undeclared","130","130","54570","53380"
"In post","2021","20-29","G7","Female","Unknown","480","480","53440","53360"
"In post","2021","20-29","G7","Male","Heterosexual / straight","1120","1120","53970","53380"
"In post","2021","20-29","G7","Male","LGBO","230","230","54090","53420"
"In post","2021","20-29","G7","Male","Undeclared","140","135","54650","53600"
"In post","2021","20-29","G7","Male","Unknown","455","455","53820","53380"
"In post","2021","20-29","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","HEO","Female","Heterosexual / straight","5240","5195","32620","32350"
"In post","2021","20-29","HEO","Female","LGBO","605","600","32190","32190"
"In post","2021","20-29","HEO","Female","Undeclared","450","450","32950","32790"
"In post","2021","20-29","HEO","Female","Unknown","2590","2575","31560","31810"
"In post","2021","20-29","HEO","Male","Heterosexual / straight","4205","4190","32710","32540"
"In post","2021","20-29","HEO","Male","LGBO","590","585","33020","33000"
"In post","2021","20-29","HEO","Male","Undeclared","445","440","32910","32560"
"In post","2021","20-29","HEO","Male","Unknown","2415","2410","32120","31940"
"In post","2021","20-29","HEO","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","HEO","Unknown","Unknown","5","5","[c]","[c]"
"In post","2021","20-29","SCS level","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","20-29","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Female","Unknown","15","15","[c]","[c]"
"In post","2021","20-29","SCS level","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2021","20-29","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Male","Unknown","10","10","[c]","[c]"
"In post","2021","20-29","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO","Female","Heterosexual / straight","1995","1985","39680","39910"
"In post","2021","20-29","SEO","Female","LGBO","195","190","39940","40050"
"In post","2021","20-29","SEO","Female","Undeclared","165","165","39670","40050"
"In post","2021","20-29","SEO","Female","Unknown","590","590","39570","40050"
"In post","2021","20-29","SEO","Male","Heterosexual / straight","1495","1490","39750","39910"
"In post","2021","20-29","SEO","Male","LGBO","240","240","39890","40000"
"In post","2021","20-29","SEO","Male","Undeclared","170","170","40420","40070"
"In post","2021","20-29","SEO","Male","Unknown","590","590","39710","39610"
"In post","2021","20-29","SEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","20-29","SEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Female","Heterosexual / straight","1520","1490","25960","23840"
"In post","2021","20-29","Unknown","Female","LGBO","120","115","25120","23840"
"In post","2021","20-29","Unknown","Female","Undeclared","75","75","25550","23840"
"In post","2021","20-29","Unknown","Female","Unknown","305","300","24930","22920"
"In post","2021","20-29","Unknown","Male","Heterosexual / straight","460","455","27500","27540"
"In post","2021","20-29","Unknown","Male","LGBO","45","45","23200","22920"
"In post","2021","20-29","Unknown","Male","Undeclared","35","35","28190","30210"
"In post","2021","20-29","Unknown","Male","Unknown","410","405","27910","28680"
"In post","2021","20-29","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA","Female","Heterosexual / straight","760","645","19860","19560"
"In post","2021","30-39","AA","Female","LGBO","85","85","20420","20600"
"In post","2021","30-39","AA","Female","Undeclared","120","95","19290","18800"
"In post","2021","30-39","AA","Female","Unknown","330","275","20080","20070"
"In post","2021","30-39","AA","Male","Heterosexual / straight","780","765","20350","20310"
"In post","2021","30-39","AA","Male","LGBO","50","50","20080","20060"
"In post","2021","30-39","AA","Male","Undeclared","100","100","20120","20070"
"In post","2021","30-39","AA","Male","Unknown","305","300","20540","20600"
"In post","2021","30-39","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AO","Female","Heterosexual / straight","7895","6665","22070","21030"
"In post","2021","30-39","AO","Female","LGBO","605","575","24270","22520"
"In post","2021","30-39","AO","Female","Undeclared","845","720","22350","21430"
"In post","2021","30-39","AO","Female","Unknown","3080","2545","21890","21010"
"In post","2021","30-39","AO","Male","Heterosexual / straight","6910","6810","24370","22680"
"In post","2021","30-39","AO","Male","LGBO","455","450","22910","21010"
"In post","2021","30-39","AO","Male","Undeclared","745","730","24210","21590"
"In post","2021","30-39","AO","Male","Unknown","2755","2695","23690","21070"
"In post","2021","30-39","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Female","Heterosexual / straight","9820","8900","27290","27570"
"In post","2021","30-39","EO","Female","LGBO","680","660","27670","27570"
"In post","2021","30-39","EO","Female","Undeclared","875","800","27530","27570"
"In post","2021","30-39","EO","Female","Unknown","2790","2520","27380","27570"
"In post","2021","30-39","EO","Male","Heterosexual / straight","7515","7470","27630","27570"
"In post","2021","30-39","EO","Male","LGBO","660","655","27610","27570"
"In post","2021","30-39","EO","Male","Undeclared","815","810","27930","27570"
"In post","2021","30-39","EO","Male","Unknown","2510","2485","27650","27570"
"In post","2021","30-39","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6","Female","Heterosexual / straight","1350","1290","66430","65470"
"In post","2021","30-39","G6","Female","LGBO","70","70","66030","65050"
"In post","2021","30-39","G6","Female","Undeclared","140","135","66730","65690"
"In post","2021","30-39","G6","Female","Unknown","380","365","66630","65680"
"In post","2021","30-39","G6","Male","Heterosexual / straight","1160","1150","67080","65920"
"In post","2021","30-39","G6","Male","LGBO","155","155","66030","65410"
"In post","2021","30-39","G6","Male","Undeclared","135","135","67060","66090"
"In post","2021","30-39","G6","Male","Unknown","375","375","67870","66230"
"In post","2021","30-39","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","30-39","G7","Female","Heterosexual / straight","4595","4360","54140","53530"
"In post","2021","30-39","G7","Female","LGBO","310","300","54390","53380"
"In post","2021","30-39","G7","Female","Undeclared","415","400","54340","53620"
"In post","2021","30-39","G7","Female","Unknown","1260","1200","53830","53360"
"In post","2021","30-39","G7","Male","Heterosexual / straight","3940","3910","54340","53600"
"In post","2021","30-39","G7","Male","LGBO","450","450","54810","54070"
"In post","2021","30-39","G7","Male","Undeclared","525","520","54460","53930"
"In post","2021","30-39","G7","Male","Unknown","1260","1250","54130","53360"
"In post","2021","30-39","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
