"Status","Year","Disability","Parent_department","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Attorney General's Departments","Commercial","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Commercial","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Corporate Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Corporate Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Female","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","Male","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","Male","10","10","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","Female","300","270","56980","55610"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","Male","175","170","57920","55610"
"In post","2021","Declared disabled","Attorney General's Departments","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","Female","235","210","27990","25480"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","Male","95","95","28630","25480"
"In post","2021","Declared disabled","Attorney General's Departments","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Other","Female","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Other","Male","20","20","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Other","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","Female","5","5","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Policy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Project Delivery","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Project Delivery","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Property","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Property","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Security","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Attorney General's Departments","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Communications","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Communications","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Digital, Data and Technology","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Digital, Data and Technology","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Finance","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Finance","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Human Resources","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Human Resources","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Intelligence Analysis","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Intelligence Analysis","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Knowledge and Information Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Knowledge and Information Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Cabinet Office","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
