"Status","Year","Disability","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","London","Female","Heterosexual / straight","4025","3770","39650","34100"
"In post","2021","Declared disabled","London","Female","LGBO","470","455","39970","34740"
"In post","2021","Declared disabled","London","Female","Undeclared","550","510","38170","32330"
"In post","2021","Declared disabled","London","Female","Unknown","345","305","37710","31880"
"In post","2021","Declared disabled","London","Male","Heterosexual / straight","2610","2535","42130","36160"
"In post","2021","Declared disabled","London","Male","LGBO","505","495","44660","39100"
"In post","2021","Declared disabled","London","Male","Undeclared","435","420","40540","35770"
"In post","2021","Declared disabled","London","Male","Unknown","265","255","39420","34850"
"In post","2021","Declared disabled","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","Female","Heterosexual / straight","18545","16340","28880","27570"
"In post","2021","Declared disabled","Outside London","Female","LGBO","1565","1480","28910","27570"
"In post","2021","Declared disabled","Outside London","Female","Undeclared","2475","2125","28060","26780"
"In post","2021","Declared disabled","Outside London","Female","Unknown","1915","1590","27550","26120"
"In post","2021","Declared disabled","Outside London","Male","Heterosexual / straight","11845","11245","30720","27570"
"In post","2021","Declared disabled","Outside London","Male","LGBO","1430","1380","29980","27570"
"In post","2021","Declared disabled","Outside London","Male","Undeclared","1815","1705","30890","27570"
"In post","2021","Declared disabled","Outside London","Male","Unknown","1340","1230","29330","27570"
"In post","2021","Declared disabled","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Female","Heterosexual / straight","60","60","47690","51500"
"In post","2021","Declared disabled","Overseas","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Male","Heterosexual / straight","100","100","49100","42800"
"In post","2021","Declared disabled","Overseas","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Male","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","Heterosexual / straight","90","85","31270","27570"
"In post","2021","Declared disabled","Unknown","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Male","Heterosexual / straight","55","50","30470","27570"
"In post","2021","Declared disabled","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Male","Undeclared","5","5","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Female","Heterosexual / straight","29320","27700","42680","36650"
"In post","2021","Declared non-disabled","London","Female","LGBO","1390","1355","43220","37380"
"In post","2021","Declared non-disabled","London","Female","Undeclared","2820","2635","40790","35070"
"In post","2021","Declared non-disabled","London","Female","Unknown","3070","2720","39500","31880"
"In post","2021","Declared non-disabled","London","Male","Heterosexual / straight","23955","23530","45490","39870"
"In post","2021","Declared non-disabled","London","Male","LGBO","2150","2120","47440","42510"
"In post","2021","Declared non-disabled","London","Male","Undeclared","2315","2245","45220","40050"
"In post","2021","Declared non-disabled","London","Male","Unknown","2265","2200","44220","37610"
"In post","2021","Declared non-disabled","London","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Outside London","Female","Heterosexual / straight","106980","96220","30310","27570"
"In post","2021","Declared non-disabled","Outside London","Female","LGBO","4470","4300","29810","27570"
"In post","2021","Declared non-disabled","Outside London","Female","Undeclared","10040","8750","29230","27130"
"In post","2021","Declared non-disabled","Outside London","Female","Unknown","18090","15010","28310","27570"
"In post","2021","Declared non-disabled","Outside London","Male","Heterosexual / straight","85600","83065","33000","28590"
"In post","2021","Declared non-disabled","Outside London","Male","LGBO","4445","4340","31150","27570"
"In post","2021","Declared non-disabled","Outside London","Male","Undeclared","7745","7385","32940","28600"
"In post","2021","Declared non-disabled","Outside London","Male","Unknown","12655","11965","32480","27570"
"In post","2021","Declared non-disabled","Outside London","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Female","Heterosexual / straight","795","785","49310","50430"
"In post","2021","Declared non-disabled","Overseas","Female","LGBO","40","40","45680","39110"
"In post","2021","Declared non-disabled","Overseas","Female","Undeclared","100","100","45090","40290"
"In post","2021","Declared non-disabled","Overseas","Female","Unknown","45","40","47210","45140"
"In post","2021","Declared non-disabled","Overseas","Male","Heterosexual / straight","1310","1305","49800","49370"
"In post","2021","Declared non-disabled","Overseas","Male","LGBO","85","85","55730","54470"
"In post","2021","Declared non-disabled","Overseas","Male","Undeclared","125","125","49040","41800"
"In post","2021","Declared non-disabled","Overseas","Male","Unknown","75","75","46970","43450"
"In post","2021","Declared non-disabled","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Female","Heterosexual / straight","440","405","32670","27570"
"In post","2021","Declared non-disabled","Unknown","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Female","Undeclared","40","35","31300","27570"
"In post","2021","Declared non-disabled","Unknown","Female","Unknown","80","65","31370","27570"
"In post","2021","Declared non-disabled","Unknown","Male","Heterosexual / straight","340","335","34200","27570"
"In post","2021","Declared non-disabled","Unknown","Male","LGBO","25","25","[c]","[c]"
