"Status","Year","Age","Profession_of_post","Region_ITL1","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Commercial","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Commercial","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Communications","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Communications","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","South West (England)","Male","10","10","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Digital, Data and Technology","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","London","Female","15","15","[c]","[c]"
"In post","2021","16-19","Economics","London","Male","10","10","[c]","[c]"
"In post","2021","16-19","Economics","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Economics","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Scotland","Male","5","5","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","Female","10","10","[c]","[c]"
"In post","2021","16-19","Finance","South West (England)","Male","10","10","[c]","[c]"
"In post","2021","16-19","Finance","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Female","5","5","[c]","[c]"
"In post","2021","16-19","Human Resources","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Wales","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","International Trade","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Knowledge and Information Management","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Female","20","20","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East Midlands (England)","Male","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East of England","Female","20","20","[c]","[c]"
"In post","2021","16-19","Operational Delivery","East of England","Male","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Female","25","25","[c]","[c]"
"In post","2021","16-19","Operational Delivery","London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North East (England)","Female","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","North West (England)","Female","35","30","20590","20880"
"In post","2021","16-19","Operational Delivery","North West (England)","Male","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Northern Ireland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Northern Ireland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","Female","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Scotland","Male","15","15","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South East (England)","Female","40","40","21630","21430"
"In post","2021","16-19","Operational Delivery","South East (England)","Male","25","25","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West (England)","Female","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","South West (England)","Male","5","5","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Wales","Female","40","35","20050","20140"
"In post","2021","16-19","Operational Delivery","Wales","Male","35","30","20080","19850"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","Female","20","20","[c]","[c]"
"In post","2021","16-19","Operational Delivery","West Midlands (England)","Male","10","10","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","Female","20","20","[c]","[c]"
"In post","2021","16-19","Operational Delivery","Yorkshire and The Humber","Male","10","10","[c]","[c]"
"In post","2021","16-19","Operational Research","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Operational Research","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Other","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","Female","10","10","[c]","[c]"
"In post","2021","16-19","Other","South West (England)","Male","15","15","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Female","5","5","[c]","[c]"
"In post","2021","16-19","Other","Unknown","Male","30","30","19060","16200"
"In post","2021","16-19","Other","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Other","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","London","Female","10","10","[c]","[c]"
"In post","2021","16-19","Policy","London","Male","15","15","[c]","[c]"
"In post","2021","16-19","Policy","North East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Scotland","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Scotland","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","West Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Yorkshire and The Humber","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Policy","Yorkshire and The Humber","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","North West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South East (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Project Delivery","South West (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East Midlands (England)","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","East of England","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","London","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Property","North East (England)","Female","[c]","[c]","[c]","[c]"
