"Status","Year","Profession_of_post","Responsibility_level_ungrouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Commercial","AA","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Female","Unknown","5","5","[c]","[c]"
"In post","2021","Commercial","AA","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Commercial","AA","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Male","Unknown","10","10","[c]","[c]"
"In post","2021","Commercial","AA","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AA","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AO","Female","Heterosexual / straight","100","95","22310","21590"
"In post","2021","Commercial","AO","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AO","Female","Undeclared","15","10","[c]","[c]"
"In post","2021","Commercial","AO","Female","Unknown","35","30","23440","23240"
"In post","2021","Commercial","AO","Male","Heterosexual / straight","50","45","22520","21590"
"In post","2021","Commercial","AO","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AO","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Commercial","AO","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","AO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","AO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Female","Heterosexual / straight","310","285","25880","26410"
"In post","2021","Commercial","EO","Female","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","EO","Female","Undeclared","40","35","26200","26670"
"In post","2021","Commercial","EO","Female","Unknown","60","55","25720","25630"
"In post","2021","Commercial","EO","Male","Heterosexual / straight","205","200","26100","26350"
"In post","2021","Commercial","EO","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Commercial","EO","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","EO","Male","Unknown","40","40","25730","26310"
"In post","2021","Commercial","EO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","EO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6","Female","Heterosexual / straight","95","95","71820","70770"
"In post","2021","Commercial","G6","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6","Female","Undeclared","5","5","[c]","[c]"
"In post","2021","Commercial","G6","Female","Unknown","20","20","[c]","[c]"
"In post","2021","Commercial","G6","Male","Heterosexual / straight","120","120","70470","67660"
"In post","2021","Commercial","G6","Male","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","G6","Male","Undeclared","20","20","[c]","[c]"
"In post","2021","Commercial","G6","Male","Unknown","30","30","65950","64500"
"In post","2021","Commercial","G6","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G6","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G7","Female","Heterosexual / straight","230","220","54020","53860"
"In post","2021","Commercial","G7","Female","LGBO","5","5","[c]","[c]"
"In post","2021","Commercial","G7","Female","Undeclared","30","25","[c]","[c]"
"In post","2021","Commercial","G7","Female","Unknown","80","80","50970","49570"
"In post","2021","Commercial","G7","Male","Heterosexual / straight","250","245","56230","54520"
"In post","2021","Commercial","G7","Male","LGBO","10","10","[c]","[c]"
"In post","2021","Commercial","G7","Male","Undeclared","25","25","[c]","[c]"
"In post","2021","Commercial","G7","Male","Unknown","85","85","51700","49950"
"In post","2021","Commercial","G7","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","G7","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HEO","Female","Heterosexual / straight","545","520","32110","32930"
"In post","2021","Commercial","HEO","Female","LGBO","20","20","[c]","[c]"
"In post","2021","Commercial","HEO","Female","Undeclared","65","60","32900","33300"
"In post","2021","Commercial","HEO","Female","Unknown","115","105","31660","31810"
"In post","2021","Commercial","HEO","Male","Heterosexual / straight","375","375","32420","33000"
"In post","2021","Commercial","HEO","Male","LGBO","30","30","[c]","[c]"
"In post","2021","Commercial","HEO","Male","Undeclared","55","55","33000","33050"
"In post","2021","Commercial","HEO","Male","Unknown","90","85","32320","32300"
"In post","2021","Commercial","HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Heterosexual / straight","30","30","94720","88770"
"In post","2021","Commercial","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Female","Unknown","15","10","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Heterosexual / straight","40","40","87020","82110"
"In post","2021","Commercial","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Commercial","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","SEO","Female","Heterosexual / straight","670","635","40970","40580"
