"Status","Year","Disability","Ethnicity","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Heterosexual / straight","2290","2110","32020","29080"
"In post","2021","Declared disabled","Asian","LGBO","100","95","32610","29290"
"In post","2021","Declared disabled","Asian","Undeclared","175","160","28730","27570"
"In post","2021","Declared disabled","Asian","Unknown","195","170","28490","27570"
"In post","2021","Declared disabled","Black","Heterosexual / straight","1500","1420","32110","30330"
"In post","2021","Declared disabled","Black","LGBO","85","85","34390","29880"
"In post","2021","Declared disabled","Black","Undeclared","120","110","30980","30330"
"In post","2021","Declared disabled","Black","Unknown","110","100","30430","30530"
"In post","2021","Declared disabled","Chinese","Heterosexual / straight","55","50","31480","29330"
"In post","2021","Declared disabled","Chinese","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Heterosexual / straight","845","790","33360","29270"
"In post","2021","Declared disabled","Mixed","LGBO","165","155","33360","29290"
"In post","2021","Declared disabled","Mixed","Undeclared","120","110","33350","29530"
"In post","2021","Declared disabled","Mixed","Unknown","70","60","31990","30100"
"In post","2021","Declared disabled","Other ethnicity","Heterosexual / straight","235","220","35200","31060"
"In post","2021","Declared disabled","Other ethnicity","LGBO","45","45","33410","31060"
"In post","2021","Declared disabled","Other ethnicity","Undeclared","50","45","36250","31880"
"In post","2021","Declared disabled","Other ethnicity","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Heterosexual / straight","375","350","30750","27690"
"In post","2021","Declared disabled","Undeclared","LGBO","75","70","30820","27570"
"In post","2021","Declared disabled","Undeclared","Undeclared","1340","1235","32370","28200"
"In post","2021","Declared disabled","Undeclared","Unknown","250","220","29150","27570"
"In post","2021","Declared disabled","Unknown","Heterosexual / straight","275","245","30340","26810"
"In post","2021","Declared disabled","Unknown","LGBO","30","30","32020","27760"
"In post","2021","Declared disabled","Unknown","Undeclared","100","90","32210","29350"
"In post","2021","Declared disabled","Unknown","Unknown","845","765","31930","28970"
"In post","2021","Declared disabled","White","Heterosexual / straight","31755","29000","31540","27570"
"In post","2021","Declared disabled","White","LGBO","3505","3370","32670","28200"
"In post","2021","Declared disabled","White","Undeclared","3410","3045","30680","27570"
"In post","2021","Declared disabled","White","Unknown","2390","2065","29390","27570"
"In post","2021","Declared non-disabled","Asian","Heterosexual / straight","19255","18135","32810","29080"
"In post","2021","Declared non-disabled","Asian","LGBO","410","380","33380","29290"
"In post","2021","Declared non-disabled","Asian","Undeclared","1210","1090","30190","27570"
"In post","2021","Declared non-disabled","Asian","Unknown","2130","1850","30170","27570"
"In post","2021","Declared non-disabled","Black","Heterosexual / straight","10345","10000","32770","30620"
"In post","2021","Declared non-disabled","Black","LGBO","210","205","32750","29570"
"In post","2021","Declared non-disabled","Black","Undeclared","535","500","32310","29500"
"In post","2021","Declared non-disabled","Black","Unknown","985","905","31600","30550"
"In post","2021","Declared non-disabled","Chinese","Heterosexual / straight","790","760","36500","32180"
"In post","2021","Declared non-disabled","Chinese","LGBO","45","45","37170","31210"
"In post","2021","Declared non-disabled","Chinese","Undeclared","75","70","38220","35200"
"In post","2021","Declared non-disabled","Chinese","Unknown","85","75","37170","31870"
"In post","2021","Declared non-disabled","Mixed","Heterosexual / straight","4910","4700","35330","31060"
"In post","2021","Declared non-disabled","Mixed","LGBO","440","430","36190","31650"
"In post","2021","Declared non-disabled","Mixed","Undeclared","345","325","35540","30960"
"In post","2021","Declared non-disabled","Mixed","Unknown","350","315","35380","31060"
"In post","2021","Declared non-disabled","Other ethnicity","Heterosexual / straight","1410","1340","35920","31060"
"In post","2021","Declared non-disabled","Other ethnicity","LGBO","95","95","37330","31230"
"In post","2021","Declared non-disabled","Other ethnicity","Undeclared","160","150","40120","33700"
"In post","2021","Declared non-disabled","Other ethnicity","Unknown","170","150","33850","29290"
"In post","2021","Declared non-disabled","Undeclared","Heterosexual / straight","1930","1820","32950","28850"
"In post","2021","Declared non-disabled","Undeclared","LGBO","115","110","34190","31060"
"In post","2021","Declared non-disabled","Undeclared","Undeclared","4575","4290","34870","30980"
"In post","2021","Declared non-disabled","Undeclared","Unknown","2315","2005","29890","27570"
"In post","2021","Declared non-disabled","Unknown","Heterosexual / straight","2075","1920","33420","28590"
"In post","2021","Declared non-disabled","Unknown","LGBO","100","95","39800","31220"
"In post","2021","Declared non-disabled","Unknown","Undeclared","425","395","34160","30470"
"In post","2021","Declared non-disabled","Unknown","Unknown","7000","6390","32010","27570"
"In post","2021","Declared non-disabled","White","Heterosexual / straight","208035","194690","34510","29360"
"In post","2021","Declared non-disabled","White","LGBO","11215","10930","34970","30180"
"In post","2021","Declared non-disabled","White","Undeclared","15895","14485","33440","28000"
"In post","2021","Declared non-disabled","White","Unknown","23285","20425","31950","27570"
"In post","2021","Undeclared","Asian","Heterosexual / straight","850","800","32000","28850"
"In post","2021","Undeclared","Asian","LGBO","35","35","32430","30790"
"In post","2021","Undeclared","Asian","Undeclared","195","180","34120","29570"
"In post","2021","Undeclared","Asian","Unknown","145","130","31590","27570"
"In post","2021","Undeclared","Black","Heterosexual / straight","505","480","31990","30920"
"In post","2021","Undeclared","Black","LGBO","20","20","[c]","[c]"
"In post","2021","Undeclared","Black","Undeclared","100","90","31860","30040"
"In post","2021","Undeclared","Black","Unknown","155","145","31120","31530"
"In post","2021","Undeclared","Chinese","Heterosexual / straight","35","35","34210","29570"
"In post","2021","Undeclared","Chinese","LGBO","5","5","[c]","[c]"
"In post","2021","Undeclared","Chinese","Undeclared","15","15","[c]","[c]"
"In post","2021","Undeclared","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Heterosexual / straight","240","230","35690","31550"
"In post","2021","Undeclared","Mixed","LGBO","40","40","35150","30990"
"In post","2021","Undeclared","Mixed","Undeclared","85","75","31640","28650"
"In post","2021","Undeclared","Mixed","Unknown","40","40","32640","31650"
"In post","2021","Undeclared","Other ethnicity","Heterosexual / straight","65","65","32960","31060"
"In post","2021","Undeclared","Other ethnicity","LGBO","20","20","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Undeclared","65","65","47050","41490"
"In post","2021","Undeclared","Other ethnicity","Unknown","25","20","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Heterosexual / straight","350","335","33030","29370"
"In post","2021","Undeclared","Undeclared","LGBO","85","80","34200","28890"
"In post","2021","Undeclared","Undeclared","Undeclared","6460","6135","36020","32140"
"In post","2021","Undeclared","Undeclared","Unknown","480","445","36610","32100"
"In post","2021","Undeclared","Unknown","Heterosexual / straight","155","140","33090","30630"
"In post","2021","Undeclared","Unknown","LGBO","20","20","[c]","[c]"
"In post","2021","Undeclared","Unknown","Undeclared","610","570","32450","29200"
"In post","2021","Undeclared","Unknown","Unknown","1240","1175","37610","34710"
"In post","2021","Undeclared","White","Heterosexual / straight","9705","9070","32340","28920"
"In post","2021","Undeclared","White","LGBO","790","775","32570","29290"
"In post","2021","Undeclared","White","Undeclared","3390","3150","33400","30800"
"In post","2021","Undeclared","White","Unknown","2805","2500","31000","31650"
"In post","2021","Unknown","Asian","Heterosexual / straight","1330","1280","36340","32520"
"In post","2021","Unknown","Asian","LGBO","40","35","33470","29540"
"In post","2021","Unknown","Asian","Undeclared","75","65","38490","32260"
"In post","2021","Unknown","Asian","Unknown","720","670","36730","31810"
"In post","2021","Unknown","Black","Heterosexual / straight","600","585","36270","32790"
"In post","2021","Unknown","Black","LGBO","15","15","[c]","[c]"
"In post","2021","Unknown","Black","Undeclared","35","35","34150","29740"
"In post","2021","Unknown","Black","Unknown","290","275","35990","30320"
"In post","2021","Unknown","Chinese","Heterosexual / straight","60","55","42070","39220"
"In post","2021","Unknown","Chinese","LGBO","5","5","[c]","[c]"
"In post","2021","Unknown","Chinese","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Unknown","50","50","43780","40450"
"In post","2021","Unknown","Mixed","Heterosexual / straight","395","380","37450","32960"
"In post","2021","Unknown","Mixed","LGBO","45","45","38760","36200"
"In post","2021","Unknown","Mixed","Undeclared","25","25","[c]","[c]"
"In post","2021","Unknown","Mixed","Unknown","150","140","38140","33450"
"In post","2021","Unknown","Other ethnicity","Heterosexual / straight","115","110","41690","36200"
