"Status","Year","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","London","3455","3355","48920","44950"
"In post","2021","Analysis","Outside London","3750","3580","37940","36480"
"In post","2021","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Commercial","London","1880","1845","58850","54700"
"In post","2021","Commercial","Outside London","5030","4860","41270","37420"
"In post","2021","Commercial","Overseas","40","40","47880","42200"
"In post","2021","Commercial","Unknown","30","30","47790","40580"
"In post","2021","Communications","London","2450","2395","44780","40830"
"In post","2021","Communications","Outside London","5750","5510","30460","26350"
"In post","2021","Communications","Overseas","5","5","[c]","[c]"
"In post","2021","Communications","Unknown","5","5","[c]","[c]"
"In post","2021","Counter Fraud","London","2315","2230","39230","36160"
"In post","2021","Counter Fraud","Outside London","7295","6820","32120","31810"
"In post","2021","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2021","Debt","London","560","500","28270","25630"
"In post","2021","Debt","Outside London","4110","3720","22610","20140"
"In post","2021","Digital, Data & Technology","London","3395","3335","49190","47850"
"In post","2021","Digital, Data & Technology","Outside London","10155","9835","38970","36740"
"In post","2021","Digital, Data & Technology","Overseas","20","20","34620","33300"
"In post","2021","Digital, Data & Technology","Unknown","25","25","57220","49700"
"In post","2021","Finance","London","2550","2495","48750","43780"
"In post","2021","Finance","Outside London","6815","6375","35590","31810"
"In post","2021","Finance","Overseas","35","35","35040","33300"
"In post","2021","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2021","Grants Management","Outside London","1890","1730","25500","21050"
"In post","2021","Human Resources","London","2660","2585","46620","41820"
"In post","2021","Human Resources","Outside London","6865","6445","34060","31200"
"In post","2021","Human Resources","Overseas","25","25","36740","33300"
"In post","2021","Human Resources","Unknown","30","30","40040","37300"
"In post","2021","Internal Audit","London","215","210","53750","52360"
"In post","2021","Internal Audit","Outside London","540","515","43100","41250"
"In post","2021","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Legal","London","5400","5070","52270","51940"
"In post","2021","Legal","Outside London","9430","8650","39250","34480"
"In post","2021","Legal","Overseas","15","15","64020","70740"
"In post","2021","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","No function","London","42570","41190","42540","36800"
"In post","2021","No function","Outside London","139970","129025","29640","26590"
"In post","2021","No function","Overseas","1800","1795","53100","53750"
"In post","2021","No function","Unknown","600","590","36290","32000"
"In post","2021","Project Delivery","London","5115","4970","52500","52850"
"In post","2021","Project Delivery","Outside London","22600","21785","38310","36160"
"In post","2021","Project Delivery","Overseas","645","645","55550","55620"
"In post","2021","Project Delivery","Unknown","35","35","40260","39690"
"In post","2021","Property","London","1310","1260","43540","37380"
"In post","2021","Property","Outside London","7790","7405","32780","30160"
"In post","2021","Property","Overseas","195","195","38980","36460"
"In post","2021","Property","Unknown","20","15","45080","38940"
"In post","2021","Security","London","1090","1080","41070","37450"
"In post","2021","Security","Outside London","7475","7305","30060","26670"
"In post","2021","Security","Overseas","130","130","39930","34450"
"In post","2021","Security","Unknown","65","65","33800","33300"
"In post","2021","Unknown","London","26960","25475","38300","31560"
"In post","2021","Unknown","Outside London","135995","123890","29080","27570"
"In post","2021","Unknown","Overseas","845","840","42540","40580"
"In post","2021","Unknown","Unknown","2910","2840","35100","32210"
"Leaver CS","2021","Analysis","London","145","[c]","37750","28490"
"Leaver CS","2021","Analysis","Outside London","125","[c]","33630","29750"
"Leaver CS","2021","Commercial","London","60","[c]","52030","47580"
"Leaver CS","2021","Commercial","Outside London","155","[c]","35710","33840"
"Leaver CS","2021","Commercial","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","45","[c]","86050","78880"
"Leaver CS","2021","Communications","London","145","[c]","39720","36990"
"Leaver CS","2021","Communications","Outside London","90","[c]","33370","30000"
"Leaver CS","2021","Communications","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","London","25","[c]","42340","35290"
"Leaver CS","2021","Counter Fraud","Outside London","15","[c]","37810","38580"
"Leaver CS","2021","Debt","London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Debt","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data & Technology","London","160","[c]","47320","46250"
"Leaver CS","2021","Digital, Data & Technology","Outside London","265","[c]","38720","35900"
"Leaver CS","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","London","60","[c]","53400","52280"
"Leaver CS","2021","Finance","Outside London","170","[c]","38430","34200"
"Leaver CS","2021","Grants Management","Outside London","90","[c]","24950","21050"
"Leaver CS","2021","Human Resources","London","110","[c]","49420","44090"
"Leaver CS","2021","Human Resources","Outside London","210","[c]","32880","28210"
"Leaver CS","2021","Human Resources","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","London","10","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","Outside London","25","[c]","44750","43290"
"Leaver CS","2021","Legal","London","245","[c]","50430","50720"
"Leaver CS","2021","Legal","Outside London","425","[c]","39790","38660"
"Leaver CS","2021","No function","London","1850","[c]","40320","32650"
"Leaver CS","2021","No function","Outside London","7235","[c]","28860","22350"
"Leaver CS","2021","No function","Overseas","5","[c]","[c]","[c]"
"Leaver CS","2021","No function","Unknown","60","[c]","31880","28000"
"Leaver CS","2021","Project Delivery","London","110","[c]","50680","49200"
"Leaver CS","2021","Project Delivery","Outside London","720","[c]","35650","33080"
"Leaver CS","2021","Project Delivery","Overseas","15","[c]","55230","57000"
"Leaver CS","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","London","75","[c]","40260","34210"
"Leaver CS","2021","Property","Outside London","475","[c]","29370","26210"
"Leaver CS","2021","Property","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","London","35","[c]","35210","28740"
"Leaver CS","2021","Security","Outside London","380","[c]","29680","26640"
"Leaver CS","2021","Security","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","Unknown","15","[c]","27790","23850"
"Leaver CS","2021","Unknown","London","2295","[c]","37900","31060"
"Leaver CS","2021","Unknown","Outside London","11290","[c]","28350","26160"
"Leaver CS","2021","Unknown","Overseas","105","[c]","37770","36960"
"Leaver CS","2021","Unknown","Unknown","555","[c]","33550","30780"
"Leaver Dept.","2021","Analysis","London","205","[c]","42220","37350"
"Leaver Dept.","2021","Analysis","Outside London","75","[c]","39150","36030"
"Leaver Dept.","2021","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","London","60","[c]","43780","40320"
"Leaver Dept.","2021","Commercial","Outside London","80","[c]","37550","37360"
"Leaver Dept.","2021","Commercial","Overseas","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","Unknown","15","[c]","59770","56240"
"Leaver Dept.","2021","Communications","London","165","[c]","43000","39170"
"Leaver Dept.","2021","Communications","Outside London","40","[c]","38490","36360"
"Leaver Dept.","2021","Communications","Unknown","10","[c]","38540","35250"
"Leaver Dept.","2021","Counter Fraud","London","20","[c]","40590","34490"
"Leaver Dept.","2021","Counter Fraud","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Debt","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","London","130","[c]","49970","51140"
"Leaver Dept.","2021","Digital, Data & Technology","Outside London","105","[c]","39830","36030"
"Leaver Dept.","2021","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","London","100","[c]","50640","50700"
"Leaver Dept.","2021","Finance","Outside London","100","[c]","42280","40190"
"Leaver Dept.","2021","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Outside London","45","[c]","26340","25070"
"Leaver Dept.","2021","Human Resources","London","215","[c]","43070","36190"
"Leaver Dept.","2021","Human Resources","Outside London","235","[c]","34940","32000"
"Leaver Dept.","2021","Human Resources","Unknown","25","[c]","34840","32450"
"Leaver Dept.","2021","Internal Audit","London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","London","145","[c]","46640","50000"
"Leaver Dept.","2021","Legal","Outside London","80","[c]","37120","32540"
"Leaver Dept.","2021","No function","London","2100","[c]","43910","38750"
"Leaver Dept.","2021","No function","Outside London","1275","[c]","27730","22570"
"Leaver Dept.","2021","No function","Overseas","40","[c]","53680","53060"
"Leaver Dept.","2021","No function","Unknown","605","[c]","34590","32000"
"Leaver Dept.","2021","Project Delivery","London","155","[c]","48570","45200"
"Leaver Dept.","2021","Project Delivery","Outside London","350","[c]","37380","33300"
"Leaver Dept.","2021","Project Delivery","Overseas","15","[c]","51710","52430"
"Leaver Dept.","2021","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
