"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Commercial","G6/G7","10","10","59150","57500"
"In post","2021","Attorney General's Departments","Commercial","SEO/HEO","15","10","37360","38180"
"In post","2021","Attorney General's Departments","Communications","EO","10","10","27370","27160"
"In post","2021","Attorney General's Departments","Communications","G6/G7","20","15","58370","54760"
"In post","2021","Attorney General's Departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Communications","SEO/HEO","45","45","37690","39290"
"In post","2021","Attorney General's Departments","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Corporate Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","EO","35","35","27270","26380"
"In post","2021","Attorney General's Departments","Counter Fraud","G6/G7","80","80","64080","63000"
"In post","2021","Attorney General's Departments","Counter Fraud","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Counter Fraud","SEO/HEO","155","150","37560","40000"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","EO","30","30","27350","27500"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","G6/G7","35","35","59170","57270"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","95","95","37050","38180"
"In post","2021","Attorney General's Departments","Digital, Data and Technology","Unknown","10","10","39350","36360"
"In post","2021","Attorney General's Departments","Finance","AA/AO","25","20","21870","21950"
"In post","2021","Attorney General's Departments","Finance","EO","35","30","26890","26950"
"In post","2021","Attorney General's Departments","Finance","G6/G7","25","20","59910","56860"
"In post","2021","Attorney General's Departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Finance","SEO/HEO","55","50","34310","32540"
"In post","2021","Attorney General's Departments","Human Resources","AA/AO","10","10","23780","23800"
"In post","2021","Attorney General's Departments","Human Resources","EO","40","40","27000","26950"
"In post","2021","Attorney General's Departments","Human Resources","G6/G7","60","60","58040","54760"
"In post","2021","Attorney General's Departments","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Human Resources","SEO/HEO","105","100","34720","33420"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","EO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","G6/G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Legal","EO","180","180","29070","29280"
"In post","2021","Attorney General's Departments","Legal","G6/G7","4340","3995","58350","55610"
"In post","2021","Attorney General's Departments","Legal","SCS level","265","255","86530","82500"
"In post","2021","Attorney General's Departments","Legal","SEO/HEO","475","455","38970","38760"
"In post","2021","Attorney General's Departments","Operational Delivery","AA/AO","1435","1315","22250","21950"
"In post","2021","Attorney General's Departments","Operational Delivery","EO","1170","1075","28120","28430"
"In post","2021","Attorney General's Departments","Operational Delivery","G6/G7","90","90","60220","58590"
"In post","2021","Attorney General's Departments","Operational Delivery","SCS level","10","10","94030","83100"
"In post","2021","Attorney General's Departments","Operational Delivery","SEO/HEO","350","340","34550","33310"
"In post","2021","Attorney General's Departments","Other","AA/AO","50","50","23720","23800"
"In post","2021","Attorney General's Departments","Other","EO","225","210","27570","27350"
"In post","2021","Attorney General's Departments","Other","G6/G7","40","40","59030","58980"
"In post","2021","Attorney General's Departments","Other","SCS level","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Other","SEO/HEO","115","115","33870","31710"
"In post","2021","Attorney General's Departments","Policy","AA/AO","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","EO","10","10","28260","27850"
"In post","2021","Attorney General's Departments","Policy","G6/G7","55","50","59460","56580"
"In post","2021","Attorney General's Departments","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Policy","SEO/HEO","15","15","38320","39090"
"In post","2021","Attorney General's Departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","EO","10","10","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","G6/G7","5","5","[c]","[c]"
"In post","2021","Attorney General's Departments","Security","SEO/HEO","20","20","35180","33120"
"In post","2021","Attorney General's Departments","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Operational Delivery","SEO/HEO","20","20","37250","37300"
"In post","2021","Cabinet Office","Other","AA/AO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","EO","5","5","[c]","[c]"
"In post","2021","Cabinet Office","Other","G6/G7","15","15","61670","64500"
"In post","2021","Cabinet Office","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Other","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","G6/G7","15","15","57860","56680"
"In post","2021","Cabinet Office","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Policy","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","AA/AO","545","510","21780","20920"
"In post","2021","Cabinet Office","Unknown","EO","870","845","27210","27500"
"In post","2021","Cabinet Office","Unknown","G6/G7","2990","2930","59600","56340"
"In post","2021","Cabinet Office","Unknown","SCS level","965","950","92190","78290"
"In post","2021","Cabinet Office","Unknown","SEO/HEO","3970","3930","33610","33300"
"In post","2021","Chancellor's other departments","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","G6/G7","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Communications","SEO/HEO","10","10","38500","37090"
"In post","2021","Chancellor's other departments","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Digital, Data and Technology","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","EO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","G6/G7","10","10","64640","64660"
"In post","2021","Chancellor's other departments","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Finance","SEO/HEO","20","20","43270","45330"
"In post","2021","Chancellor's other departments","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","EO","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Human Resources","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Other","AA/AO","15","10","23300","21980"
"In post","2021","Chancellor's other departments","Other","EO","20","20","29380","28510"
"In post","2021","Chancellor's other departments","Other","G6/G7","140","130","80990","75420"
"In post","2021","Chancellor's other departments","Other","SCS level","10","10","126820","117830"
"In post","2021","Chancellor's other departments","Other","SEO/HEO","90","90","41320","40290"
"In post","2021","Chancellor's other departments","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","G6/G7","5","5","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Chancellor's other departments","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Charity Commission","Commercial","G6/G7","[c]","[c]","[c]","[c]"
