"Status","Year","Age","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Analysis","Female","15","15","[c]","[c]"
"In post","2021","16-19","Analysis","Male","15","15","[c]","[c]"
"In post","2021","16-19","Commercial","Female","5","5","[c]","[c]"
"In post","2021","16-19","Commercial","Male","10","10","[c]","[c]"
"In post","2021","16-19","Communications","Female","5","5","[c]","[c]"
"In post","2021","16-19","Communications","Male","10","10","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Debt","Female","30","30","[c]","[c]"
"In post","2021","16-19","Debt","Male","20","20","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Female","5","5","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Male","15","15","[c]","[c]"
"In post","2021","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Finance","Female","20","15","[c]","[c]"
"In post","2021","16-19","Finance","Male","25","20","[c]","[c]"
"In post","2021","16-19","Grants Management","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Grants Management","Male","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Human Resources","Female","10","10","[c]","[c]"
"In post","2021","16-19","Human Resources","Male","5","5","[c]","[c]"
"In post","2021","16-19","Legal","Female","20","20","[c]","[c]"
"In post","2021","16-19","Legal","Male","10","10","[c]","[c]"
"In post","2021","16-19","No function","Female","290","270","21130","20140"
"In post","2021","16-19","No function","Male","205","200","20980","20140"
"In post","2021","16-19","Project Delivery","Female","30","30","[c]","[c]"
"In post","2021","16-19","Project Delivery","Male","105","105","17920","16780"
"In post","2021","16-19","Property","Female","15","15","[c]","[c]"
"In post","2021","16-19","Property","Male","25","25","[c]","[c]"
"In post","2021","16-19","Security","Female","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Security","Male","20","20","[c]","[c]"
"In post","2021","16-19","Unknown","Female","225","220","22300","21150"
"In post","2021","16-19","Unknown","Male","185","180","21660","21010"
"In post","2021","20-29","Analysis","Female","1155","1145","35850","33610"
"In post","2021","20-29","Analysis","Male","1305","1305","36200","34000"
"In post","2021","20-29","Analysis","Unknown","20","20","[c]","[c]"
"In post","2021","20-29","Commercial","Female","485","480","33530","31000"
"In post","2021","20-29","Commercial","Male","440","440","32590","30750"
"In post","2021","20-29","Communications","Female","1110","1100","30410","27270"
"In post","2021","20-29","Communications","Male","960","960","29700","25560"
"In post","2021","20-29","Counter Fraud","Female","515","510","29640","25560"
"In post","2021","20-29","Counter Fraud","Male","585","585","29670","26980"
"In post","2021","20-29","Debt","Female","495","475","21090","20140"
"In post","2021","20-29","Debt","Male","565","555","21370","20140"
"In post","2021","20-29","Digital, Data & Technology","Female","780","775","33770","31810"
"In post","2021","20-29","Digital, Data & Technology","Male","1275","1270","33210","31810"
"In post","2021","20-29","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Finance","Female","655","640","31970","30040"
"In post","2021","20-29","Finance","Male","655","650","32300","30420"
"In post","2021","20-29","Grants Management","Female","135","135","22470","21050"
"In post","2021","20-29","Grants Management","Male","105","105","22290","21050"
"In post","2021","20-29","Human Resources","Female","990","975","30720","28490"
"In post","2021","20-29","Human Resources","Male","430","430","30320","27830"
"In post","2021","20-29","Internal Audit","Female","30","30","34720","33360"
"In post","2021","20-29","Internal Audit","Male","20","20","[c]","[c]"
"In post","2021","20-29","Legal","Female","1245","1230","29820","26970"
"In post","2021","20-29","Legal","Male","605","600","31380","27350"
"In post","2021","20-29","No function","Female","20275","19845","28510","26740"
"In post","2021","20-29","No function","Male","15750","15625","29220","27150"
"In post","2021","20-29","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Project Delivery","Female","1905","1885","31830","30630"
"In post","2021","20-29","Project Delivery","Male","2300","2295","30310","29000"
"In post","2021","20-29","Property","Female","455","440","26700","25140"
"In post","2021","20-29","Property","Male","490","480","27770","26530"
"In post","2021","20-29","Security","Female","400","395","27930","26190"
"In post","2021","20-29","Security","Male","840","835","26770","25680"
"In post","2021","20-29","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","20-29","Unknown","Female","11355","11060","27740","27570"
"In post","2021","20-29","Unknown","Male","9070","8985","27710","27570"
"In post","2021","30-39","Analysis","Female","905","835","44900","41810"
"In post","2021","30-39","Analysis","Male","1135","1120","45910","43580"
"In post","2021","30-39","Analysis","Unknown","15","15","[c]","[c]"
"In post","2021","30-39","Commercial","Female","805","760","41450","38170"
"In post","2021","30-39","Commercial","Male","725","720","44890","40650"
"In post","2021","30-39","Communications","Female","1280","1210","36880","31810"
"In post","2021","30-39","Communications","Male","1170","1165","34030","31810"
"In post","2021","30-39","Counter Fraud","Female","895","840","32170","30810"
"In post","2021","30-39","Counter Fraud","Male","1170","1165","33170","31810"
"In post","2021","30-39","Debt","Female","480","420","22290","20140"
"In post","2021","30-39","Debt","Male","375","370","21740","20140"
"In post","2021","30-39","Digital, Data & Technology","Female","1325","1270","40960","38630"
"In post","2021","30-39","Digital, Data & Technology","Male","2130","2115","41560","38630"
"In post","2021","30-39","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Finance","Female","1065","980","39270","36330"
"In post","2021","30-39","Finance","Male","845","845","42450","38630"
"In post","2021","30-39","Grants Management","Female","225","185","24410","21050"
"In post","2021","30-39","Grants Management","Male","145","140","24090","21050"
"In post","2021","30-39","Human Resources","Female","1555","1440","36340","32140"
"In post","2021","30-39","Human Resources","Male","660","660","36270","32050"
"In post","2021","30-39","Internal Audit","Female","80","75","40990","39200"
"In post","2021","30-39","Internal Audit","Male","55","55","44750","41350"
"In post","2021","30-39","Legal","Female","2250","2075","43610","48080"
"In post","2021","30-39","Legal","Male","1130","1120","45350","48830"
"In post","2021","30-39","No function","Female","22460","20495","32850","30110"
"In post","2021","30-39","No function","Male","19570","19355","34050","31220"
"In post","2021","30-39","No function","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","30-39","Project Delivery","Female","3105","2930","40330","38240"
"In post","2021","30-39","Project Delivery","Male","3200","3190","41470","39580"
"In post","2021","30-39","Property","Female","700","645","33080","31460"
"In post","2021","30-39","Property","Male","825","820","34170","32100"
"In post","2021","30-39","Security","Female","440","425","33570","33200"
"In post","2021","30-39","Security","Male","1160","1155","32430","30890"
"In post","2021","30-39","Unknown","Female","17935","16020","30730","27570"
"In post","2021","30-39","Unknown","Male","13580","13430","32050","27570"
"In post","2021","40-49","Analysis","Female","695","620","48490","46440"
"In post","2021","40-49","Analysis","Male","725","715","50320","48410"
"In post","2021","40-49","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","40-49","Commercial","Female","1040","995","48050","41870"
