"Status","Year","Disability","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","Female","1585","1405","31310","28650"
"In post","2021","Declared disabled","Asian","Male","1180","1130","31950","29040"
"In post","2021","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Female","1330","1240","31890","30330"
"In post","2021","Declared disabled","Black","Male","485","475","32460","30330"
"In post","2021","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Female","50","45","31000","29080"
"In post","2021","Declared disabled","Chinese","Male","25","25","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Female","730","665","32540","28370"
"In post","2021","Declared disabled","Mixed","Male","465","450","34430","30780"
"In post","2021","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Female","185","175","34080","31060"
"In post","2021","Declared disabled","Other ethnicity","Male","170","165","35750","31650"
"In post","2021","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Undeclared","Female","940","835","29820","27570"
"In post","2021","Declared disabled","Undeclared","Male","1100","1035","33160","29290"
"In post","2021","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","675","590","30160","27570"
"In post","2021","Declared disabled","Unknown","Male","575","540","33270","31810"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","White","Female","24595","21810","30530","27570"
"In post","2021","Declared disabled","White","Male","16460","15665","32800","28130"
"In post","2021","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Asian","Female","12880","11595","32000","28760"
"In post","2021","Declared non-disabled","Asian","Male","10125","9860","33000","29080"
"In post","2021","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Black","Female","7665","7275","32270","30220"
"In post","2021","Declared non-disabled","Black","Male","4405","4330","33320","31060"
"In post","2021","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Chinese","Female","575","545","36940","32520"
"In post","2021","Declared non-disabled","Chinese","Male","415","405","36390","32060"
"In post","2021","Declared non-disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Mixed","Female","3530","3305","34390","30460"
"In post","2021","Declared non-disabled","Mixed","Male","2515","2465","36830","31940"
"In post","2021","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Other ethnicity","Female","1025","950","34950","30650"
"In post","2021","Declared non-disabled","Other ethnicity","Male","805","785","37720","32430"
"In post","2021","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Undeclared","Female","4150","3640","30840","27570"
"In post","2021","Declared non-disabled","Undeclared","Male","4785","4590","35160","31060"
"In post","2021","Declared non-disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Female","5190","4540","30800","27570"
"In post","2021","Declared non-disabled","Unknown","Male","4410","4255","34480","29670"
"In post","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","White","Female","142720","128340","32710","27570"
"In post","2021","Declared non-disabled","White","Male","115695","112180","36120","31650"
"In post","2021","Declared non-disabled","White","Unknown","10","10","[c]","[c]"
"In post","2021","Undeclared","Asian","Female","680","610","32300","28840"
"In post","2021","Undeclared","Asian","Male","545","530","32290","29290"
"In post","2021","Undeclared","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Black","Female","465","435","31300","30240"
"In post","2021","Undeclared","Black","Male","310","300","33320","31650"
"In post","2021","Undeclared","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Chinese","Female","35","30","33110","27570"
"In post","2021","Undeclared","Chinese","Male","25","25","[c]","[c]"
"In post","2021","Undeclared","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Mixed","Female","210","195","33760","29870"
"In post","2021","Undeclared","Mixed","Male","200","195","35280","31650"
"In post","2021","Undeclared","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Other ethnicity","Female","75","70","39160","33380"
"In post","2021","Undeclared","Other ethnicity","Male","100","100","40910","34970"
"In post","2021","Undeclared","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","Undeclared","Female","2575","2345","34350","30980"
"In post","2021","Undeclared","Undeclared","Male","4800","4650","36730","33030"
"In post","2021","Undeclared","Unknown","Female","895","820","34170","31040"
"In post","2021","Undeclared","Unknown","Male","1130","1085","36830","33390"
"In post","2021","Undeclared","White","Female","8170","7390","31060","27570"
"In post","2021","Undeclared","White","Male","8520","8105","33560","31650"
"In post","2021","Undeclared","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Asian","Female","1175","1100","35930","31810"
"In post","2021","Unknown","Asian","Male","985","955","37160","32540"
"In post","2021","Unknown","Asian","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Black","Female","590","565","35600","31310"
"In post","2021","Unknown","Black","Male","345","340","36900","33060"
"In post","2021","Unknown","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Chinese","Female","75","70","42610","39110"
"In post","2021","Unknown","Chinese","Male","45","45","41940","36800"
"In post","2021","Unknown","Chinese","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Mixed","Female","350","330","35950","32500"
"In post","2021","Unknown","Mixed","Male","270","265","39830","37130"
"In post","2021","Unknown","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Other ethnicity","Female","125","115","41120","35160"
"In post","2021","Unknown","Other ethnicity","Male","105","105","45730","40590"
"In post","2021","Unknown","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","Undeclared","Female","875","800","36540","33300"
"In post","2021","Unknown","Undeclared","Male","1320","1270","39230","35620"
"In post","2021","Unknown","Unknown","Female","26365","24670","31840","27570"
"In post","2021","Unknown","Unknown","Male","27815","27215","33510","29200"
"In post","2021","Unknown","Unknown","Unknown","20","20","[c]","[c]"
"In post","2021","Unknown","White","Female","12185","11090","34690","30640"
"In post","2021","Unknown","White","Male","12015","11650","37400","33650"
"In post","2021","Unknown","White","Unknown","15","15","[c]","[c]"
"Leaver CS","2021","Declared disabled","Asian","Female","65","[c]","32230","27570"
"Leaver CS","2021","Declared disabled","Asian","Male","45","[c]","28330","26890"
"Leaver CS","2021","Declared disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Black","Female","45","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Black","Male","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Chinese","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Chinese","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Mixed","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Mixed","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Other ethnicity","Female","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Other ethnicity","Male","10","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Undeclared","Female","55","[c]","29430","26410"
"Leaver CS","2021","Declared disabled","Undeclared","Male","80","[c]","30580","27570"
"Leaver CS","2021","Declared disabled","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Female","50","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Male","40","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","White","Female","1410","[c]","28140","26120"
"Leaver CS","2021","Declared disabled","White","Male","1090","[c]","31400","27130"
"Leaver CS","2021","Declared disabled","White","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Asian","Female","505","[c]","29860","26120"
"Leaver CS","2021","Declared non-disabled","Asian","Male","400","[c]","31240","27500"
"Leaver CS","2021","Declared non-disabled","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Black","Female","265","[c]","29710","26000"
"Leaver CS","2021","Declared non-disabled","Black","Male","195","[c]","32950","27570"
"Leaver CS","2021","Declared non-disabled","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Chinese","Female","30","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Chinese","Male","15","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Chinese","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Mixed","Female","160","[c]","28580","24390"
"Leaver CS","2021","Declared non-disabled","Mixed","Male","125","[c]","33620","28500"
"Leaver CS","2021","Declared non-disabled","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Other ethnicity","Female","55","[c]","34120","27570"
"Leaver CS","2021","Declared non-disabled","Other ethnicity","Male","50","[c]","41240","33060"
"Leaver CS","2021","Declared non-disabled","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Undeclared","Female","185","[c]","28860","26410"
