"Status","Year","Function_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","Heterosexual / straight","45","40","36740","33350"
"In post","2021","Analysis","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Heterosexual / straight","145","135","34900","30660"
"In post","2021","Analysis","East of England","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","East of England","Undeclared","25","25","[c]","[c]"
"In post","2021","Analysis","East of England","Unknown","210","200","35460","32290"
"In post","2021","Analysis","London","Heterosexual / straight","2290","2220","49320","45250"
"In post","2021","Analysis","London","LGBO","225","220","46140","42020"
"In post","2021","Analysis","London","Undeclared","265","255","50330","47080"
"In post","2021","Analysis","London","Unknown","675","660","47890","43510"
"In post","2021","Analysis","North East (England)","Heterosexual / straight","45","45","42440","42220"
"In post","2021","Analysis","North East (England)","LGBO","10","10","[c]","[c]"
"In post","2021","Analysis","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","North East (England)","Unknown","5","5","[c]","[c]"
"In post","2021","Analysis","North West (England)","Heterosexual / straight","245","230","39430","38630"
"In post","2021","Analysis","North West (England)","LGBO","25","25","[c]","[c]"
"In post","2021","Analysis","North West (England)","Undeclared","30","30","38860","38630"
"In post","2021","Analysis","North West (England)","Unknown","70","65","34820","31810"
"In post","2021","Analysis","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Scotland","Heterosexual / straight","40","35","45910","41670"
"In post","2021","Analysis","Scotland","LGBO","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","Undeclared","5","5","[c]","[c]"
"In post","2021","Analysis","Scotland","Unknown","15","15","[c]","[c]"
"In post","2021","Analysis","South East (England)","Heterosexual / straight","615","585","39430","37320"
"In post","2021","Analysis","South East (England)","LGBO","45","45","34050","30130"
"In post","2021","Analysis","South East (England)","Undeclared","50","50","39510","37320"
"In post","2021","Analysis","South East (England)","Unknown","155","150","38380","36030"
"In post","2021","Analysis","South West (England)","Heterosexual / straight","295","280","38100","36770"
"In post","2021","Analysis","South West (England)","LGBO","30","30","[c]","[c]"
"In post","2021","Analysis","South West (England)","Undeclared","40","35","37150","36610"
"In post","2021","Analysis","South West (England)","Unknown","105","95","34300","29750"
"In post","2021","Analysis","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Wales","Heterosexual / straight","645","620","37240","36030"
"In post","2021","Analysis","Wales","LGBO","55","55","36680","36530"
"In post","2021","Analysis","Wales","Undeclared","50","45","34520","31180"
"In post","2021","Analysis","Wales","Unknown","330","315","34510","30130"
