"Status","Year","Parent_department","Region_london","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Attorney General's Departments","London","Female","2935","2700","49500","51250"
"In post","2021","Attorney General's Departments","London","Male","1750","1715","50830","51250"
"In post","2021","Attorney General's Departments","Outside London","Female","3440","3095","38780","32490"
"In post","2021","Attorney General's Departments","Outside London","Male","1705","1665","44240","48080"
"In post","2021","Attorney General's Departments","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Attorney General's Departments","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","London","Female","3450","3375","47090","40600"
"In post","2021","Cabinet Office","London","Male","3050","3035","52820","54700"
"In post","2021","Cabinet Office","Outside London","Female","1265","1200","39090","33000"
"In post","2021","Cabinet Office","Outside London","Male","1085","1070","42680","33410"
"In post","2021","Cabinet Office","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Overseas","Male","[c]","[c]","[c]","[c]"
"In post","2021","Cabinet Office","Unknown","Female","325","320","36050","32000"
"In post","2021","Cabinet Office","Unknown","Male","275","275","36480","32000"
"In post","2021","Chancellor's other departments","London","Female","155","145","53920","47940"
"In post","2021","Chancellor's other departments","London","Male","205","200","63760","52280"
"In post","2021","Chancellor's other departments","Outside London","Female","25","25","[c]","[c]"
"In post","2021","Chancellor's other departments","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","London","Female","50","45","41680","37910"
"In post","2021","Charity Commission","London","Male","25","25","[c]","[c]"
"In post","2021","Charity Commission","Outside London","Female","205","185","32600","29160"
"In post","2021","Charity Commission","Outside London","Male","160","155","33960","29160"
"In post","2021","Competition and Markets Authority","London","Female","400","380","58800","56000"
"In post","2021","Competition and Markets Authority","London","Male","385","380","62910","59170"
"In post","2021","Competition and Markets Authority","Outside London","Female","30","30","55330","55860"
"In post","2021","Competition and Markets Authority","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Female","2740","2640","47180","43130"
"In post","2021","Department for Business, Energy and Industrial Strategy","London","Male","2880","2855","49900","53380"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Female","3730","3430","33090","30660"
"In post","2021","Department for Business, Energy and Industrial Strategy","Outside London","Male","3775","3670","38080","36730"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Female","10","10","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Overseas","Male","20","20","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Business, Energy and Industrial Strategy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Female","920","895","48550","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Male","790","785","50460","51730"
"In post","2021","Department for Digital, Culture, Media and Sport","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Female","40","40","39350","34020"
"In post","2021","Department for Digital, Culture, Media and Sport","Outside London","Male","25","25","[c]","[c]"
"In post","2021","Department for Education","London","Female","1615","1530","49430","53420"
"In post","2021","Department for Education","London","Male","1020","1010","51630","53420"
"In post","2021","Department for Education","Outside London","Female","3025","2860","39730","36780"
"In post","2021","Department for Education","Outside London","Male","2260","2240","41630","37100"
"In post","2021","Department for Education","Unknown","Female","5","5","[c]","[c]"
"In post","2021","Department for Education","Unknown","Male","5","5","[c]","[c]"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Female","1405","1340","44630","39420"
"In post","2021","Department for Environment, Food and Rural Affairs","London","Male","1190","1180","45280","39910"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Female","4790","4375","32030","29180"
"In post","2021","Department for Environment, Food and Rural Affairs","Outside London","Male","3655","3575","34900","30320"
"In post","2021","Department for International Trade","London","Female","1135","1115","44160","38540"
"In post","2021","Department for International Trade","London","Male","1185","1175","46260","39790"
"In post","2021","Department for International Trade","Outside London","Female","90","85","45190","48100"
"In post","2021","Department for International Trade","Outside London","Male","125","125","43910","38540"
"In post","2021","Department for International Trade","Overseas","Female","45","45","55130","55000"
"In post","2021","Department for International Trade","Overseas","Male","110","110","57190","53750"
"In post","2021","Department for Transport","London","Female","1420","1370","46450","42890"
"In post","2021","Department for Transport","London","Male","2020","1980","46710","42890"
"In post","2021","Department for Transport","Outside London","Female","5860","5030","26410","21590"
"In post","2021","Department for Transport","Outside London","Male","6665","6420","31510","26780"
"In post","2021","Department for Transport","Overseas","Female","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Overseas","Male","10","10","[c]","[c]"
"In post","2021","Department for Work and Pensions","London","Female","6515","5950","33050","31060"
"In post","2021","Department for Work and Pensions","London","Male","3665","3585","35240","31060"
"In post","2021","Department for Work and Pensions","Outside London","Female","53745","45990","26760","27570"
"In post","2021","Department for Work and Pensions","Outside London","Male","28700","27470","28420","27570"
"In post","2021","Department for Work and Pensions","Unknown","Female","575","520","30000","27570"
"In post","2021","Department for Work and Pensions","Unknown","Male","325","315","31130","27570"
"In post","2021","Department of Health and Social Care","London","Female","4105","3855","46400","40650"
"In post","2021","Department of Health and Social Care","London","Male","2320","2250","50830","46000"
"In post","2021","Department of Health and Social Care","Outside London","Female","3580","3235","39890","36330"
"In post","2021","Department of Health and Social Care","Outside London","Male","1750","1695","45880","38910"
"In post","2021","ESTYN","Outside London","Female","65","60","53760","63880"
"In post","2021","ESTYN","Outside London","Male","50","45","63750","74730"
