"Status","Year","Ethnicity","Profession_of_post","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Commercial","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","East of England","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Commercial","London","London","105","105","41720","38540"
"In post","2021","Asian","Commercial","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","North West (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","South East (England)","Outside London","20","15","[c]","[c]"
"In post","2021","Asian","Commercial","South West (England)","Outside London","30","30","[c]","[c]"
"In post","2021","Asian","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","West Midlands (England)","Outside London","35","35","36950","36780"
"In post","2021","Asian","Commercial","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","London","London","135","130","41150","36800"
"In post","2021","Asian","Communications","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","North West (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Communications","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Communications","West Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Communications","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","London","London","20","20","[c]","[c]"
"In post","2021","Asian","Corporate Finance","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Corporate Finance","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","London","London","35","30","38330","33100"
"In post","2021","Asian","Counter Fraud","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","West Midlands (England)","Outside London","5","5","[c]","[c]"
"In post","2021","Asian","Counter Fraud","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East Midlands (England)","Outside London","15","15","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","East of England","Outside London","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","London","London","490","485","46620","42550"
"In post","2021","Asian","Digital, Data and Technology","North East (England)","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","North West (England)","Outside London","50","50","36030","34150"
"In post","2021","Asian","Digital, Data and Technology","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Scotland","Outside London","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","South East (England)","Outside London","30","30","36190","31570"
"In post","2021","Asian","Digital, Data and Technology","South West (England)","Outside London","55","55","38190","35610"
"In post","2021","Asian","Digital, Data and Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Digital, Data and Technology","Wales","Outside London","35","35","35110","34750"
