"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","AA/AO","15","15","[c]","[c]"
"In post","2021","Asian","Analysis","EO","55","55","27690","27680"
"In post","2021","Asian","Analysis","G6/G7","135","125","59230","58820"
"In post","2021","Asian","Analysis","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","SEO/HEO","220","215","37000","36160"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","AA/AO","20","20","[c]","[c]"
"In post","2021","Asian","Commercial","EO","55","50","28100","28080"
"In post","2021","Asian","Commercial","G6/G7","35","35","61560","60380"
"In post","2021","Asian","Commercial","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","SEO/HEO","145","140","38190","37590"
"In post","2021","Asian","Commercial","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Communications","AA/AO","10","10","[c]","[c]"
"In post","2021","Asian","Communications","EO","245","235","25250","25560"
"In post","2021","Asian","Communications","G6/G7","35","35","61940","60100"
"In post","2021","Asian","Communications","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Communications","SEO/HEO","210","205","35090","32280"
"In post","2021","Asian","Counter Fraud","AA/AO","70","65","22420","21440"
"In post","2021","Asian","Counter Fraud","EO","250","235","27770","27700"
"In post","2021","Asian","Counter Fraud","G6/G7","45","45","57310","59160"
"In post","2021","Asian","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Counter Fraud","SEO/HEO","245","240","35180","36160"
"In post","2021","Asian","Debt","AA/AO","280","240","22270","20430"
"In post","2021","Asian","Debt","EO","60","55","28050","26470"
"In post","2021","Asian","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Debt","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","AA/AO","20","20","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","EO","165","155","27780","27130"
"In post","2021","Asian","Digital, Data & Technology","G6/G7","215","215","58370","55480"
"In post","2021","Asian","Digital, Data & Technology","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Digital, Data & Technology","SEO/HEO","390","380","36810","36500"
"In post","2021","Asian","Digital, Data & Technology","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Finance","AA/AO","100","85","21490","20140"
"In post","2021","Asian","Finance","EO","145","145","27150","26490"
"In post","2021","Asian","Finance","G6/G7","135","135","59200","59120"
"In post","2021","Asian","Finance","SCS level","10","10","[c]","[c]"
"In post","2021","Asian","Finance","SEO/HEO","350","345","37810","36890"
"In post","2021","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","AA/AO","20","15","[c]","[c]"
"In post","2021","Asian","Grants Management","EO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Human Resources","AA/AO","55","50","21730","20920"
"In post","2021","Asian","Human Resources","EO","110","105","27280","27380"
"In post","2021","Asian","Human Resources","G6/G7","80","80","58370","56730"
"In post","2021","Asian","Human Resources","SCS level","5","5","[c]","[c]"
"In post","2021","Asian","Human Resources","SEO/HEO","210","210","36710","36160"
"In post","2021","Asian","Human Resources","Unknown","5","5","[c]","[c]"
"In post","2021","Asian","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","EO","10","10","[c]","[c]"
"In post","2021","Asian","Internal Audit","G6/G7","20","20","[c]","[c]"
"In post","2021","Asian","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Internal Audit","SEO/HEO","45","45","41210","40520"
"In post","2021","Asian","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Legal","AA/AO","185","165","22760","23520"
"In post","2021","Asian","Legal","EO","200","185","27670","27580"
"In post","2021","Asian","Legal","G6/G7","470","435","57410","54770"
"In post","2021","Asian","Legal","SCS level","15","15","[c]","[c]"
"In post","2021","Asian","Legal","SEO/HEO","275","265","37960","38300"
"In post","2021","Asian","Legal","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","No function","AA/AO","3330","2995","22010","20520"
"In post","2021","Asian","No function","EO","1660","1570","27400","26880"
"In post","2021","Asian","No function","G6/G7","980","965","57510","54700"
"In post","2021","Asian","No function","SCS level","165","155","93890","91370"
