"Status","Year","Age","Disability","Organisation","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Declared disabled","Accountant in Bankruptcy","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Advisory, Conciliation and Arbitration Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Animal and Plant Health Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Cabinet Office (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Companies House","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Commercial Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Office and Procurator Fiscal Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Crown Prosecution Service Inspectorate","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Equipment and Support","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Defence Science and Technology Laboratory","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Education (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Transport (excl. agencies)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","AA/AO","10","10","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department for Work and Pensions (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Department of Health and Social Care (excl. agencies)","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Disclosure Scotland","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Licensing Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Driver and Vehicle Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Declared disabled","Education and Skills Funding Agency","AA/AO","[c]","[c]","[c]","[c]"
