"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","London","80","80","47300","44740"
"In post","2021","Analysis","Digital, Data and Technology","North East (England)","25","20","40960","42220"
"In post","2021","Analysis","Digital, Data and Technology","North West (England)","15","15","37940","37710"
"In post","2021","Analysis","Digital, Data and Technology","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","South West (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Wales","30","30","29920","26780"
"In post","2021","Analysis","Digital, Data and Technology","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Yorkshire and The Humber","65","65","43220","42220"
"In post","2021","Analysis","Economics","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","London","1070","1050","47760","42020"
"In post","2021","Analysis","Economics","North West (England)","30","30","38300","31810"
"In post","2021","Analysis","Economics","Scotland","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","South East (England)","25","25","46470","50900"
"In post","2021","Analysis","Economics","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Economics","Wales","125","120","36080","29840"
"In post","2021","Analysis","Economics","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Economics","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Analysis","Finance","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","London","30","30","50110","46250"
"In post","2021","Analysis","Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Human Resources","London","20","20","49300","45420"
"In post","2021","Analysis","Human Resources","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","London","215","205","54010","53360"
"In post","2021","Analysis","Intelligence Analysis","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Intelligence Analysis","Yorkshire and The Humber","60","60","48480","49530"
"In post","2021","Analysis","Knowledge and Information Management","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","London","15","15","40710","33790"
"In post","2021","Analysis","Knowledge and Information Management","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","South West (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Wales","5","5","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Knowledge and Information Management","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","London","85","80","39530","32540"
"In post","2021","Analysis","Operational Delivery","North East (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","North West (England)","45","40","32310","31660"
"In post","2021","Analysis","Operational Delivery","South East (England)","100","95","30920","29540"
"In post","2021","Analysis","Operational Delivery","South West (England)","15","15","35500","37320"
"In post","2021","Analysis","Operational Delivery","Wales","330","305","30790","29540"
"In post","2021","Analysis","Operational Delivery","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Delivery","Yorkshire and The Humber","10","5","[c]","[c]"
"In post","2021","Analysis","Operational Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","London","275","265","49340","48170"
"In post","2021","Analysis","Operational Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","North West (England)","60","55","41360","38630"
"In post","2021","Analysis","Operational Research","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Operational Research","South East (England)","250","240","41710","46080"
"In post","2021","Analysis","Operational Research","South West (England)","25","25","38220","39020"
"In post","2021","Analysis","Operational Research","Wales","20","20","34630","36030"
"In post","2021","Analysis","Operational Research","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Operational Research","Yorkshire and The Humber","15","15","29410","22540"
"In post","2021","Analysis","Other","London","210","200","64030","57250"
"In post","2021","Analysis","Other","Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Other","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Other","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Policy","East Midlands (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","London","215","205","50490","46030"
"In post","2021","Analysis","Policy","North East (England)","10","10","[c]","[c]"
"In post","2021","Analysis","Policy","North West (England)","25","25","38280","41990"
"In post","2021","Analysis","Policy","South West (England)","15","10","41630","41990"
"In post","2021","Analysis","Policy","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Policy","Yorkshire and The Humber","70","65","43520","42500"
"In post","2021","Analysis","Project Delivery","London","5","5","[c]","[c]"
"In post","2021","Analysis","Project Delivery","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Project Delivery","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Psychology","London","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","East of England","350","330","34330","30220"
"In post","2021","Analysis","Science and Engineering","London","20","20","61290","57720"
"In post","2021","Analysis","Science and Engineering","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","South East (England)","85","80","38500","37320"
"In post","2021","Analysis","Science and Engineering","South West (England)","195","185","33520","29270"
"In post","2021","Analysis","Science and Engineering","West Midlands (England)","5","5","[c]","[c]"
"In post","2021","Analysis","Science and Engineering","Yorkshire and The Humber","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","London","330","320","46450","42470"
"In post","2021","Analysis","Social Research","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Social Research","North West (England)","35","35","40520","38630"
"In post","2021","Analysis","Social Research","Scotland","5","5","[c]","[c]"
"In post","2021","Analysis","Social Research","South East (England)","215","200","37540","37020"
