"Status","Year","Function_of_post","Region_ITL1","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","East Midlands (England)","East Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","East Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicester","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicester","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire CC and Rutland","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Leicestershire CC and Rutland","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Lincolnshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Northamptonshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Northamptonshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","North Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","Female","15","10","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","Nottingham","Male","20","20","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South and West Derbyshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South Nottinghamshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East Midlands (England)","South Nottinghamshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedford","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Bedford","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Cambridgeshire CC","Male","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Norwich and East Norfolk","Female","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","East of England","Norwich and East Norfolk","Male","[c]","[c]","[c]","[c]"
