"Status","Year","Disability","Function_of_post","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Digital, Data and Technology","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Economics","60","60","46070","41250"
"In post","2021","Declared disabled","Analysis","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Human Resources","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Intelligence Analysis","10","10","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Operational Delivery","50","50","30860","30180"
"In post","2021","Declared disabled","Analysis","Operational Research","80","75","42430","37590"
"In post","2021","Declared disabled","Analysis","Other","15","15","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Policy","30","30","43300","41990"
"In post","2021","Declared disabled","Analysis","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Psychology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Science and Engineering","40","40","31710","29270"
"In post","2021","Declared disabled","Analysis","Social Research","90","85","40500","37700"
"In post","2021","Declared disabled","Analysis","Statistics","155","145","42740","38630"
"In post","2021","Declared disabled","Analysis","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Analysis","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Commercial","380","365","39070","37940"
"In post","2021","Declared disabled","Commercial","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Finance","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Knowledge and Information Management","100","100","34070","30870"
"In post","2021","Declared disabled","Commercial","Operational Delivery","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Other","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Project Delivery","10","10","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Science and Engineering","5","5","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Tax","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Unknown","30","30","56660","54700"
"In post","2021","Declared disabled","Commercial","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Communications","230","220","36880","33830"
"In post","2021","Declared disabled","Communications","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Operational Delivery","125","115","27140","25560"
"In post","2021","Declared disabled","Communications","Other","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Tax","125","120","28490","25560"
"In post","2021","Declared disabled","Communications","Unknown","35","35","35610","28120"
"In post","2021","Declared disabled","Counter Fraud","Counter Fraud","45","45","37930","37910"
"In post","2021","Declared disabled","Counter Fraud","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Intelligence Analysis","15","15","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Knowledge and Information Management","10","5","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Legal","235","215","31330","29570"
"In post","2021","Declared disabled","Counter Fraud","Operational Delivery","295","270","29950","28130"
"In post","2021","Declared disabled","Counter Fraud","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Other","50","40","33270","31810"
"In post","2021","Declared disabled","Counter Fraud","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","Tax","155","145","39830","35000"
"In post","2021","Declared disabled","Counter Fraud","Unknown","20","20","[c]","[c]"
"In post","2021","Declared disabled","Debt","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Debt","Operational Delivery","340","290","23180","21440"
"In post","2021","Declared disabled","Debt","Tax","30","30","21820","20140"
"In post","2021","Declared disabled","Debt","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Digital, Data and Technology","855","825","38380","35000"
"In post","2021","Declared disabled","Digital, Data & Technology","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Knowledge and Information Management","20","20","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Delivery","40","40","39820","32270"
"In post","2021","Declared disabled","Digital, Data & Technology","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Other","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Project Delivery","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Science and Engineering","30","25","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Security","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Tax","5","5","[c]","[c]"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","105","105","46280","52580"
"In post","2021","Declared disabled","Finance","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Corporate Finance","10","10","[c]","[c]"
"In post","2021","Declared disabled","Finance","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Finance","645","600","37540","33440"
"In post","2021","Declared disabled","Finance","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Operational Delivery","75","70","30070","27400"
"In post","2021","Declared disabled","Finance","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Finance","Other","35","30","36960","29860"
"In post","2021","Declared disabled","Finance","Policy","5","5","[c]","[c]"
