"Status","Year","Disability","Function_of_post","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Analysis","Heterosexual / straight","415","395","41400","37520"
"In post","2021","Declared disabled","Analysis","LGBO","75","75","40430","36900"
"In post","2021","Declared disabled","Analysis","Undeclared","40","35","45160","40020"
"In post","2021","Declared disabled","Analysis","Unknown","50","45","37540","32040"
"In post","2021","Declared disabled","Commercial","Heterosexual / straight","435","420","39450","37050"
"In post","2021","Declared disabled","Commercial","LGBO","35","35","37780","35900"
"In post","2021","Declared disabled","Commercial","Undeclared","65","65","38960","36400"
"In post","2021","Declared disabled","Commercial","Unknown","35","30","34450","32730"
"In post","2021","Declared disabled","Communications","Heterosexual / straight","415","395","31960","29180"
"In post","2021","Declared disabled","Communications","LGBO","60","60","34790","31810"
"In post","2021","Declared disabled","Communications","Undeclared","40","40","28110","26350"
"In post","2021","Declared disabled","Communications","Unknown","30","30","33830","27760"
"In post","2021","Declared disabled","Counter Fraud","Heterosexual / straight","580","535","33420","31810"
"In post","2021","Declared disabled","Counter Fraud","LGBO","55","50","34060","31810"
"In post","2021","Declared disabled","Counter Fraud","Undeclared","85","80","34040","31470"
"In post","2021","Declared disabled","Counter Fraud","Unknown","100","90","30740","28130"
"In post","2021","Declared disabled","Debt","Heterosexual / straight","260","225","23030","21440"
"In post","2021","Declared disabled","Debt","LGBO","25","20","[c]","[c]"
"In post","2021","Declared disabled","Debt","Undeclared","40","35","23360","21440"
"In post","2021","Declared disabled","Debt","Unknown","50","45","22770","21440"
"In post","2021","Declared disabled","Digital, Data & Technology","Heterosexual / straight","765","735","39750","36070"
"In post","2021","Declared disabled","Digital, Data & Technology","LGBO","105","100","38380","35880"
"In post","2021","Declared disabled","Digital, Data & Technology","Undeclared","120","110","39370","35310"
"In post","2021","Declared disabled","Digital, Data & Technology","Unknown","100","95","35710","33730"
"In post","2021","Declared disabled","Finance","Heterosexual / straight","645","600","37660","33440"
"In post","2021","Declared disabled","Finance","LGBO","35","35","44300","40090"
"In post","2021","Declared disabled","Finance","Undeclared","80","70","37930","31780"
"In post","2021","Declared disabled","Finance","Unknown","55","50","31580","27420"
"In post","2021","Declared disabled","Grants Management","Heterosexual / straight","90","80","26600","25190"
"In post","2021","Declared disabled","Grants Management","LGBO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Grants Management","Unknown","50","45","24270","21050"
"In post","2021","Declared disabled","Human Resources","Heterosexual / straight","955","900","38770","34160"
"In post","2021","Declared disabled","Human Resources","LGBO","115","110","40280","35000"
"In post","2021","Declared disabled","Human Resources","Undeclared","90","85","37760","33300"
"In post","2021","Declared disabled","Human Resources","Unknown","60","55","34540","30920"
"In post","2021","Declared disabled","Internal Audit","Heterosexual / straight","65","65","44870","40000"
"In post","2021","Declared disabled","Internal Audit","LGBO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Undeclared","10","10","[c]","[c]"
"In post","2021","Declared disabled","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Legal","Heterosexual / straight","910","840","43780","40800"
"In post","2021","Declared disabled","Legal","LGBO","100","95","46720","43920"
"In post","2021","Declared disabled","Legal","Undeclared","110","105","45850","45050"
"In post","2021","Declared disabled","Legal","Unknown","120","110","40850","34480"
"In post","2021","Declared disabled","No function","Heterosexual / straight","12890","11880","31180","28080"
"In post","2021","Declared disabled","No function","LGBO","1565","1515","32200","28990"
"In post","2021","Declared disabled","No function","Undeclared","1790","1615","30460","27130"
"In post","2021","Declared disabled","No function","Unknown","1265","1120","30580","28130"
"In post","2021","Declared disabled","Project Delivery","Heterosexual / straight","2015","1935","39340","36620"
"In post","2021","Declared disabled","Project Delivery","LGBO","180","175","39030","34570"
"In post","2021","Declared disabled","Project Delivery","Undeclared","300","285","39040","37680"
"In post","2021","Declared disabled","Project Delivery","Unknown","145","135","38670","35000"
"In post","2021","Declared disabled","Property","Heterosexual / straight","540","505","34920","32250"
"In post","2021","Declared disabled","Property","LGBO","45","45","32320","30990"
"In post","2021","Declared disabled","Property","Undeclared","80","80","36770","33460"
"In post","2021","Declared disabled","Property","Unknown","70","65","31310","26670"
"In post","2021","Declared disabled","Security","Heterosexual / straight","495","480","31500","28480"
"In post","2021","Declared disabled","Security","LGBO","35","35","33840","27890"
"In post","2021","Declared disabled","Security","Undeclared","85","85","34180","34550"
"In post","2021","Declared disabled","Security","Unknown","40","40","31580","28820"
"In post","2021","Declared disabled","Unknown","Heterosexual / straight","15855","14195","28730","27570"
"In post","2021","Declared disabled","Unknown","LGBO","1565","1485","29880","27570"
"In post","2021","Declared disabled","Unknown","Undeclared","2370","2100","28460","27570"
"In post","2021","Declared disabled","Unknown","Unknown","1715","1460","27300","27570"
"In post","2021","Declared non-disabled","Analysis","Heterosexual / straight","3565","3420","45050","40640"
"In post","2021","Declared non-disabled","Analysis","LGBO","275","275","42520","37020"
"In post","2021","Declared non-disabled","Analysis","Undeclared","265","255","45140","39260"
"In post","2021","Declared non-disabled","Analysis","Unknown","440","420","40780","36580"
"In post","2021","Declared non-disabled","Commercial","Heterosexual / straight","3195","3105","43240","38300"
"In post","2021","Declared non-disabled","Commercial","LGBO","120","115","38400","33300"
"In post","2021","Declared non-disabled","Commercial","Undeclared","290","275","40290","34810"
"In post","2021","Declared non-disabled","Commercial","Unknown","375","365","47890","40060"
"In post","2021","Declared non-disabled","Communications","Heterosexual / straight","3855","3715","35780","31810"
"In post","2021","Declared non-disabled","Communications","LGBO","270","265","36340","31810"
"In post","2021","Declared non-disabled","Communications","Undeclared","260","250","33980","31810"
"In post","2021","Declared non-disabled","Communications","Unknown","340","320","35580","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Heterosexual / straight","4820","4565","34640","31810"
"In post","2021","Declared non-disabled","Counter Fraud","LGBO","210","205","34170","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Undeclared","370","345","34920","31810"
"In post","2021","Declared non-disabled","Counter Fraud","Unknown","525","480","33200","31810"
"In post","2021","Declared non-disabled","Debt","Heterosexual / straight","1725","1555","24190","21440"
"In post","2021","Declared non-disabled","Debt","LGBO","115","110","22990","20140"
"In post","2021","Declared non-disabled","Debt","Undeclared","160","135","23920","21440"
"In post","2021","Declared non-disabled","Debt","Unknown","315","260","24500","21440"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Heterosexual / straight","6190","6015","42580","38630"
"In post","2021","Declared non-disabled","Digital, Data & Technology","LGBO","330","330","43240","38650"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Undeclared","595","575","42340","39110"
"In post","2021","Declared non-disabled","Digital, Data & Technology","Unknown","1400","1335","40790","39650"
"In post","2021","Declared non-disabled","Finance","Heterosexual / straight","5160","4915","40630","36770"
"In post","2021","Declared non-disabled","Finance","LGBO","185","185","40810","36960"
"In post","2021","Declared non-disabled","Finance","Undeclared","470","440","39070","35850"
"In post","2021","Declared non-disabled","Finance","Unknown","515","470","34910","30730"
"In post","2021","Declared non-disabled","Grants Management","Heterosexual / straight","700","625","26610","25190"
"In post","2021","Declared non-disabled","Grants Management","LGBO","50","45","26520","24920"
"In post","2021","Declared non-disabled","Grants Management","Undeclared","30","30","25290","24920"
"In post","2021","Declared non-disabled","Grants Management","Unknown","910","845","24450","21050"
"In post","2021","Declared non-disabled","Human Resources","Heterosexual / straight","5355","5075","38410","33350"
"In post","2021","Declared non-disabled","Human Resources","LGBO","290","280","40830","37000"
"In post","2021","Declared non-disabled","Human Resources","Undeclared","325","310","35770","32290"
"In post","2021","Declared non-disabled","Human Resources","Unknown","355","330","35150","31810"
"In post","2021","Declared non-disabled","Internal Audit","Heterosexual / straight","475","455","46450","43910"
"In post","2021","Declared non-disabled","Internal Audit","LGBO","20","20","[c]","[c]"
"In post","2021","Declared non-disabled","Internal Audit","Undeclared","45","45","44920","41280"
"In post","2021","Declared non-disabled","Internal Audit","Unknown","25","20","[c]","[c]"
"In post","2021","Declared non-disabled","Legal","Heterosexual / straight","6805","6315","46690","48830"
