"Status","Year","Function_of_post","Parent_department","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Digital, Data and Technology","SEO/HEO","10","10","36750","38180"
"In post","2021","Analysis","Attorney General's Departments","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Attorney General's Departments","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Analysis","Cabinet Office","Unknown","G6/G7","10","10","57550","54700"
"In post","2021","Analysis","Cabinet Office","Unknown","SEO/HEO","10","10","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Communications","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Other","AA/AO","5","5","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Other","EO","10","10","28660","28230"
"In post","2021","Analysis","Chancellor's other departments","Other","G6/G7","105","95","87900","83030"
"In post","2021","Analysis","Chancellor's other departments","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Other","SEO/HEO","50","50","41660","41210"
"In post","2021","Analysis","Chancellor's other departments","Social Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Chancellor's other departments","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Intelligence Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Operational Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Other","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Charity Commission","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Economics","G6/G7","60","55","66000","62890"
"In post","2021","Analysis","Competition and Markets Authority","Economics","SCS level","10","10","110350","101610"
"In post","2021","Analysis","Competition and Markets Authority","Economics","SEO/HEO","25","25","34170","33610"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","G6/G7","15","15","63330","57880"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Intelligence Analysis","SEO/HEO","20","20","42430","43680"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Competition and Markets Authority","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","EO","30","30","28680","27680"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","G6/G7","40","40","63600","59240"
"In post","2021","Analysis","Department for Business, Energy and Industrial Strategy","Economics","SCS level","5","5","[c]","[c]"
