"Status","Year","Organisation","Region_ITL2","Region_ITL3","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Female","75","65","30300","29190"
"In post","2021","Accountant in Bankruptcy","Southern Scotland","East Ayrshire and North Ayrshire mainland","Male","40","35","34330","29190"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Glasgow City","Female","[c]","[c]","[c]","[c]"
"In post","2021","Accountant in Bankruptcy","West Central Scotland","Glasgow City","Male","[c]","[c]","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Female","60","55","29660","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Derbyshire and Nottinghamshire","Nottingham","Male","35","35","29750","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","Female","30","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Anglia","Suffolk","Male","10","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Female","60","55","30560","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","East Wales","Cardiff and Vale of Glamorgan","Male","35","35","31530","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Female","30","30","31860","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Male","25","25","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","Female","80","70","29720","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Greater Manchester","Manchester","Male","60","60","30000","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","Female","15","10","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Hampshire and Isle of Wight","North Hampshire","Male","20","20","[c]","[c]"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","Female","115","105","40100","38670"
"In post","2021","Advisory, Conciliation and Arbitration Service","Inner London - West","Westminster","Male","90","90","45330","43750"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Tyneside","Female","90","80","29580","26380"
"In post","2021","Advisory, Conciliation and Arbitration Service","Northumberland and Tyne and Wear","Tyneside","Male","45","45","30700","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","Female","50","45","28900","28660"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Central Scotland","Glasgow City","Male","50","50","31960","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","Female","55","55","30520","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Midlands","Birmingham","Male","30","30","31820","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","Female","40","35","31420","30950"
"In post","2021","Advisory, Conciliation and Arbitration Service","West Yorkshire","Leeds","Male","30","30","32250","30950"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Bedfordshire and Hertfordshire","Hertfordshire","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Female","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","Male","[c]","[c]","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Female","10","10","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire","Male","5","5","[c]","[c]"
"In post","2021","Animal and Plant Health Agency","Cheshire","Cheshire East","Female","20","20","[c]","[c]"
