"Status","Year","Ethnicity","Region_ITL2","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Female","Heterosexual / straight","270","245","30550","27570"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Female","LGBO","10","5","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Female","Unknown","40","30","30370","27900"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Male","Heterosexual / straight","170","165","31380","29290"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Male","Undeclared","15","15","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Male","Unknown","20","20","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Bedfordshire and Hertfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","Heterosexual / straight","280","255","30390","28450"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","Undeclared","25","20","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Female","Unknown","45","35","30290","28130"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","Heterosexual / straight","210","205","31330","28700"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","LGBO","15","15","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","Undeclared","10","10","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Male","Unknown","15","15","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2021","Asian","Cheshire","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2021","Asian","Cheshire","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cheshire","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cornwall and Isles of Scilly","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2021","Asian","Cumbria","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Cumbria","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Female","Heterosexual / straight","275","250","29700","27570"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Female","LGBO","10","10","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Female","Undeclared","20","15","[c]","[c]"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Female","Unknown","60","50","27790","26130"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Male","Heterosexual / straight","240","230","30670","28130"
"In post","2021","Asian","Derbyshire and Nottinghamshire","Male","LGBO","5","5","[c]","[c]"
