"Status","Year","Disability","Ethnicity","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","London","AA","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","London","AO","215","190","25130","25110"
"In post","2021","Declared disabled","Asian","London","EO","475","435","30200","31060"
"In post","2021","Declared disabled","Asian","London","G6","35","35","67680","66930"
"In post","2021","Declared disabled","Asian","London","G7","120","115","57180","56140"
"In post","2021","Declared disabled","Asian","London","HEO","230","220","35860","35700"
"In post","2021","Declared disabled","Asian","London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","London","SEO","140","135","42620","41970"
"In post","2021","Declared disabled","Asian","London","Unknown","25","25","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outside London","AA","40","35","19510","19720"
"In post","2021","Declared disabled","Asian","Outside London","AO","505","440","21330","21010"
"In post","2021","Declared disabled","Asian","Outside London","EO","515","475","27150","27570"
"In post","2021","Declared disabled","Asian","Outside London","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outside London","G7","55","50","53030","52160"
"In post","2021","Declared disabled","Asian","Outside London","HEO","175","165","32190","31810"
"In post","2021","Declared disabled","Asian","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Outside London","SEO","85","80","40150","38630"
"In post","2021","Declared disabled","Asian","Outside London","Unknown","65","60","30170","30210"
"In post","2021","Declared disabled","Asian","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","EO","20","15","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","London","AA","30","25","22060","22210"
"In post","2021","Declared disabled","Black","London","AO","250","230","25370","25110"
"In post","2021","Declared disabled","Black","London","EO","465","440","30320","31060"
"In post","2021","Declared disabled","Black","London","G6","15","15","[c]","[c]"
"In post","2021","Declared disabled","Black","London","G7","80","75","57090","55560"
"In post","2021","Declared disabled","Black","London","HEO","170","165","35540","35400"
"In post","2021","Declared disabled","Black","London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Black","London","SEO","95","95","42330","41950"
"In post","2021","Declared disabled","Black","London","Unknown","100","95","33770","32090"
"In post","2021","Declared disabled","Black","Outside London","AA","25","20","[c]","[c]"
"In post","2021","Declared disabled","Black","Outside London","AO","155","140","21860","21010"
"In post","2021","Declared disabled","Black","Outside London","EO","205","190","27420","27570"
"In post","2021","Declared disabled","Black","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Outside London","G7","25","25","[c]","[c]"
"In post","2021","Declared disabled","Black","Outside London","HEO","55","55","32150","31810"
"In post","2021","Declared disabled","Black","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Outside London","SEO","50","50","41620","40330"
"In post","2021","Declared disabled","Black","Outside London","Unknown","75","70","30610","28200"
"In post","2021","Declared disabled","Black","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Black","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","AO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","EO","15","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","HEO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","AO","15","15","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","EO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","HEO","10","5","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Chinese","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","AA","10","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","AO","50","50","25040","25110"
"In post","2021","Declared disabled","Mixed","London","EO","120","110","30240","31060"
"In post","2021","Declared disabled","Mixed","London","G6","20","20","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","G7","60","60","56720","55220"
"In post","2021","Declared disabled","Mixed","London","HEO","75","75","35480","34640"
"In post","2021","Declared disabled","Mixed","London","SCS level","10","10","[c]","[c]"
"In post","2021","Declared disabled","Mixed","London","SEO","45","45","42820","41950"
"In post","2021","Declared disabled","Mixed","London","Unknown","30","25","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Outside London","AA","15","15","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Outside London","AO","220","195","21990","21010"
"In post","2021","Declared disabled","Mixed","Outside London","EO","245","225","27200","27570"
"In post","2021","Declared disabled","Mixed","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Outside London","G7","45","40","55560","53880"
"In post","2021","Declared disabled","Mixed","Outside London","HEO","105","100","32680","31990"
"In post","2021","Declared disabled","Mixed","Outside London","SCS level","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Outside London","SEO","45","40","40900","39310"
"In post","2021","Declared disabled","Mixed","Outside London","Unknown","75","70","32150","31420"
"In post","2021","Declared disabled","Mixed","Overseas","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","EO","5","5","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","AA","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","AO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","EO","45","45","30330","31060"
"In post","2021","Declared disabled","Other ethnicity","London","G6","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","G7","30","25","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","HEO","30","30","35540","36160"
"In post","2021","Declared disabled","Other ethnicity","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","SEO","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","AA","5","5","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","AO","45","40","21660","20780"
"In post","2021","Declared disabled","Other ethnicity","Outside London","EO","70","65","27320","27570"
"In post","2021","Declared disabled","Other ethnicity","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","G7","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","HEO","25","25","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","SEO","20","20","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Outside London","Unknown","10","10","[c]","[c]"
"In post","2021","Declared disabled","Other ethnicity","Overseas","AA","[c]","[c]","[c]","[c]"
