"Status","Year","Disability","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Asian","2760","2535","31580","28700"
"In post","2021","Declared disabled","Black","1815","1715","32040","30330"
"In post","2021","Declared disabled","Chinese","80","70","32070","29630"
"In post","2021","Declared disabled","Mixed","1195","1115","33280","29290"
"In post","2021","Declared disabled","Other ethnicity","355","335","34880","31060"
"In post","2021","Declared disabled","Undeclared","2040","1870","31620","27680"
"In post","2021","Declared disabled","Unknown","1250","1130","31600","28200"
"In post","2021","Declared disabled","White","41060","37480","31440","27570"
"In post","2021","Declared non-disabled","Asian","23010","21455","32440","28990"
"In post","2021","Declared non-disabled","Black","12070","11605","32660","30480"
"In post","2021","Declared non-disabled","Chinese","990","950","36710","32410"
"In post","2021","Declared non-disabled","Mixed","6040","5770","35410","31060"
"In post","2021","Declared non-disabled","Other ethnicity","1830","1735","36170","31060"
"In post","2021","Declared non-disabled","Undeclared","8935","8225","33160","28700"
"In post","2021","Declared non-disabled","Unknown","9595","8795","32490","27570"
"In post","2021","Declared non-disabled","White","258430","240530","34240","29170"
"In post","2021","Undeclared","Asian","1225","1140","32290","29050"
"In post","2021","Undeclared","Black","775","735","32110","31060"
"In post","2021","Undeclared","Chinese","60","55","33460","29880"
"In post","2021","Undeclared","Mixed","410","390","34500","31060"
"In post","2021","Undeclared","Other ethnicity","175","170","40150","34040"
"In post","2021","Undeclared","Undeclared","7380","6995","35900","31950"
"In post","2021","Undeclared","Unknown","2025","1905","35660","31830"
"In post","2021","Undeclared","White","16690","15495","32340","30140"
"In post","2021","Unknown","Asian","2160","2055","36490","32120"
"In post","2021","Unknown","Black","940","910","36080","32260"
"In post","2021","Unknown","Chinese","120","115","42300","38930"
"In post","2021","Unknown","Mixed","620","595","37630","33570"
"In post","2021","Unknown","Other ethnicity","230","220","43260","37340"
"In post","2021","Unknown","Undeclared","2195","2070","38160","33650"
"In post","2021","Unknown","Unknown","54200","51910","32700","28000"
"In post","2021","Unknown","White","24215","22755","36030","32750"
"Leaver CS","2021","Declared disabled","Asian","110","[c]","30470","27570"
"Leaver CS","2021","Declared disabled","Black","65","[c]","30550","26410"
"Leaver CS","2021","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Mixed","45","[c]","32650","28970"
"Leaver CS","2021","Declared disabled","Other ethnicity","20","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","Undeclared","135","[c]","30150","27570"
"Leaver CS","2021","Declared disabled","Unknown","90","[c]","32680","29290"
"Leaver CS","2021","Declared disabled","White","2505","[c]","29590","26670"
"Leaver CS","2021","Declared non-disabled","Asian","905","[c]","30470","26680"
"Leaver CS","2021","Declared non-disabled","Black","465","[c]","31060","26480"
"Leaver CS","2021","Declared non-disabled","Chinese","45","[c]","37790","30940"
"Leaver CS","2021","Declared non-disabled","Mixed","285","[c]","30770","26510"
"Leaver CS","2021","Declared non-disabled","Other ethnicity","100","[c]","37120","30960"
"Leaver CS","2021","Declared non-disabled","Undeclared","405","[c]","33120","27570"
"Leaver CS","2021","Declared non-disabled","Unknown","635","[c]","36340","27570"
"Leaver CS","2021","Declared non-disabled","White","12670","[c]","33150","27570"
"Leaver CS","2021","Undeclared","Asian","60","[c]","30370","25110"
"Leaver CS","2021","Undeclared","Black","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Mixed","25","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Other ethnicity","10","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","Undeclared","480","[c]","34460","32900"
"Leaver CS","2021","Undeclared","Unknown","175","[c]","37100","32780"
"Leaver CS","2021","Undeclared","White","960","[c]","31500","27570"
"Leaver CS","2021","Unknown","Asian","115","[c]","34390","28180"
"Leaver CS","2021","Unknown","Black","45","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Chinese","5","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Mixed","35","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Other ethnicity","10","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","310","[c]","29310","23050"
"Leaver CS","2021","Unknown","Unknown","5650","[c]","31690","27570"
"Leaver CS","2021","Unknown","White","1445","[c]","37280","32770"
"Leaver Dept.","2021","Declared disabled","Asian","90","[c]","33810","32000"
"Leaver Dept.","2021","Declared disabled","Black","45","[c]","32580","30110"
"Leaver Dept.","2021","Declared disabled","Chinese","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Mixed","45","[c]","38750","32560"
"Leaver Dept.","2021","Declared disabled","Other ethnicity","5","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Undeclared","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","Unknown","15","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared disabled","White","760","[c]","36110","32300"
"Leaver Dept.","2021","Declared non-disabled","Asian","760","[c]","34920","31060"
"Leaver Dept.","2021","Declared non-disabled","Black","375","[c]","34180","31370"
"Leaver Dept.","2021","Declared non-disabled","Chinese","25","[c]","[c]","[c]"
"Leaver Dept.","2021","Declared non-disabled","Mixed","245","[c]","39390","33990"
"Leaver Dept.","2021","Declared non-disabled","Other ethnicity","55","[c]","35030","33020"
