"Status","Year","Disability","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","AA","Female","1045","885","19670","19560"
"In post","2021","Declared disabled","AA","Male","1005","930","19970","20060"
"In post","2021","Declared disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","AO","Female","8185","6845","21780","21010"
"In post","2021","Declared disabled","AO","Male","5305","4965","23130","21050"
"In post","2021","Declared disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Female","9790","8640","27630","27570"
"In post","2021","Declared disabled","EO","Male","5895","5585","28070","27570"
"In post","2021","Declared disabled","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6","Female","610","580","67470","66320"
"In post","2021","Declared disabled","G6","Male","525","515","68760","66840"
"In post","2021","Declared disabled","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G7","Female","1855","1760","54870","53940"
"In post","2021","Declared disabled","G7","Male","1635","1595","55550","54700"
"In post","2021","Declared disabled","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","HEO","Female","4070","3805","33200","32940"
"In post","2021","Declared disabled","HEO","Male","3195","3085","33820","33300"
"In post","2021","Declared disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SCS level","Female","200","195","86880","80000"
"In post","2021","Declared disabled","SCS level","Male","225","220","90630","82230"
"In post","2021","Declared disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","SEO","Female","2460","2325","41040","40220"
"In post","2021","Declared disabled","SEO","Male","2075","2015","42290","41090"
"In post","2021","Declared disabled","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Unknown","Female","1870","1725","30500","30210"
"In post","2021","Declared disabled","Unknown","Male","595","575","34000","33880"
"In post","2021","Declared disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AA","Female","5485","4700","19690","19560"
"In post","2021","Declared non-disabled","AA","Male","5735","5485","20020","19850"
"In post","2021","Declared non-disabled","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","AO","Female","46100","39210","21980","21010"
"In post","2021","Declared non-disabled","AO","Male","31215","30005","23960","21440"
"In post","2021","Declared non-disabled","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","EO","Female","50985","45570","27470","27570"
"In post","2021","Declared non-disabled","EO","Male","36435","35115","27830","27570"
"In post","2021","Declared non-disabled","EO","Unknown","5","5","[c]","[c]"
"In post","2021","Declared non-disabled","G6","Female","5355","5070","68010","66440"
"In post","2021","Declared non-disabled","G6","Male","6210","6070","68950","67320"
"In post","2021","Declared non-disabled","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","G7","Female","15560","14700","55040","54070"
"In post","2021","Declared non-disabled","G7","Male","16070","15770","55710","54700"
"In post","2021","Declared non-disabled","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","HEO","Female","26745","25165","33170","32790"
"In post","2021","Declared non-disabled","HEO","Male","23660","23110","33810","33300"
"In post","2021","Declared non-disabled","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SCS level","Female","2350","2225","87510","80320"
"In post","2021","Declared non-disabled","SCS level","Male","2685","2640","92220","83800"
"In post","2021","Declared non-disabled","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","SEO","Female","17910","16920","41190","40300"
"In post","2021","Declared non-disabled","SEO","Male","17875","17485","42240","40980"
"In post","2021","Declared non-disabled","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared non-disabled","Unknown","Female","7245","6635","30520","30210"
"In post","2021","Declared non-disabled","Unknown","Male","3270","3195","35270","33360"
"In post","2021","Declared non-disabled","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Undeclared","AA","Female","720","610","20470","20600"
