"Status","Year","Age","Organisation","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","16-19","Accountant in Bankruptcy","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Advisory, Conciliation and Arbitration Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Animal and Plant Health Agency","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Companies House","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Crown Commercial Service","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Office and Procurator Fiscal Service","Outside London","10","5","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Crown Prosecution Service","Outside London","25","25","21770","21950"
"In post","2021","16-19","Crown Prosecution Service Inspectorate","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Defence Electronics and Components Agency","Outside London","15","15","16460","15820"
"In post","2021","16-19","Defence Equipment and Support","Outside London","110","110","18140","17780"
"In post","2021","16-19","Defence Science and Technology Laboratory","Outside London","20","20","17460","17710"
"In post","2021","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Education (excl. agencies)","Outside London","10","10","24640","25000"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","London","10","10","[c]","[c]"
"In post","2021","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Department for International Trade","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","16-19","Department for Transport (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","London","10","10","29280","31060"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Outside London","190","185","22310","21010"
"In post","2021","16-19","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Department of Health and Social Care (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Disclosure Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Driver and Vehicle Licensing Agency","Outside London","35","25","19200","18060"
"In post","2021","16-19","Driver and Vehicle Standards Agency","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Education and Skills Funding Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","FCDO Services","Outside London","15","15","21020","21600"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Forestry and Land Scotland","Outside London","5","5","[c]","[c]"
"In post","2021","16-19","Government Actuary's Department","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Health and Safety Executive","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Courts and Tribunals Service","London","15","15","20920","20180"
"In post","2021","16-19","HM Courts and Tribunals Service","Outside London","25","25","18380","18880"
"In post","2021","16-19","HM Land Registry","Outside London","15","15","21500","22350"
"In post","2021","16-19","HM Prison and Probation Service","London","5","5","[c]","[c]"
"In post","2021","16-19","HM Prison and Probation Service","Outside London","90","90","22450","22600"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","HM Revenue and Customs (excl. agencies)","Outside London","225","210","20450","20140"
"In post","2021","16-19","HM Treasury (excl. agencies)","London","25","25","23980","24300"
"In post","2021","16-19","Home Office (incl. agencies)","London","10","10","28540","28650"
"In post","2021","16-19","Home Office (incl. agencies)","Outside London","70","60","21430","21430"
"In post","2021","16-19","Insolvency Service","Outside London","10","10","20680","20880"
"In post","2021","16-19","Institute for Apprenticeships and Technical Education","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Legal Aid Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Maritime and Coastguard Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Medicines and Healthcare Products Regulatory Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Met Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Defence (excl. agencies)","Outside London","45","45","21260","20920"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","London","5","5","[c]","[c]"
"In post","2021","16-19","Ministry of Justice (excl. agencies)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Crime Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","National Records of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Budget Responsibility","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office for Standards in Education, Children's Services and Skills","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of Rail and Road","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Office of the Public Guardian","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Public Health England","London","10","5","23100","22100"
"In post","2021","16-19","Public Health England","Outside London","15","10","19390","19630"
"In post","2021","16-19","Registers of Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Royal Fleet Auxiliary","Unknown","35","35","18640","15940"
"In post","2021","16-19","Rural Payments Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Scottish Courts and Tribunals Service","Outside London","10","10","[c]","[c]"
"In post","2021","16-19","Scottish Government (excl. agencies)","Outside London","45","45","21410","21150"
"In post","2021","16-19","Scottish Prison Service","Outside London","10","10","20240","20810"
"In post","2021","16-19","Social Security Scotland","Outside London","10","10","21330","20610"
"In post","2021","16-19","Student Awards Agency for Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Submarine Delivery Agency","Outside London","15","15","16840","16780"
"In post","2021","16-19","The National Archives","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Transport Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Hydrographic Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","UK Intellectual Property Office","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","United Kingdom Statistics Authority","Outside London","15","15","20500","19130"
"In post","2021","16-19","Valuation Office Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Valuation Office Agency","Outside London","15","15","22420","21100"
"In post","2021","16-19","Vehicle Certification Agency","Outside London","[c]","[c]","[c]","[c]"
"In post","2021","16-19","Welsh Government (excl. agencies)","Outside London","5","5","[c]","[c]"
"In post","2021","20-29","Accountant in Bankruptcy","Outside London","10","10","24090","22230"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","London","20","20","32160","28420"
"In post","2021","20-29","Advisory, Conciliation and Arbitration Service","Outside London","90","90","25210","24250"
"In post","2021","20-29","Animal and Plant Health Agency","London","25","25","31800","31460"
"In post","2021","20-29","Animal and Plant Health Agency","Outside London","430","425","25040","24370"
"In post","2021","20-29","Attorney General's Office","London","10","10","36790","34230"
"In post","2021","20-29","Cabinet Office (excl. agencies)","London","2515","2515","35450","32000"
"In post","2021","20-29","Cabinet Office (excl. agencies)","Outside London","515","510","28420","28000"
