"Status","Year","Disability","Profession_of_post","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Commercial","East Midlands (England)","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","East of England","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","London","80","75","44430","41030"
"In post","2021","Declared disabled","Commercial","North East (England)","15","15","[c]","[c]"
"In post","2021","Declared disabled","Commercial","North West (England)","50","45","38100","37040"
"In post","2021","Declared disabled","Commercial","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Scotland","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","South East (England)","45","40","37400","34800"
"In post","2021","Declared disabled","Commercial","South West (England)","165","160","39890","37560"
"In post","2021","Declared disabled","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Wales","25","25","[c]","[c]"
"In post","2021","Declared disabled","Commercial","West Midlands (England)","20","20","[c]","[c]"
"In post","2021","Declared disabled","Commercial","Yorkshire and The Humber","40","40","38540","38000"
"In post","2021","Declared disabled","Communications","East Midlands (England)","20","15","[c]","[c]"
"In post","2021","Declared disabled","Communications","East of England","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","London","95","95","43530","39600"
"In post","2021","Declared disabled","Communications","North East (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","North West (England)","25","25","[c]","[c]"
"In post","2021","Declared disabled","Communications","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Scotland","5","5","[c]","[c]"
"In post","2021","Declared disabled","Communications","South East (England)","30","30","[c]","[c]"
"In post","2021","Declared disabled","Communications","South West (England)","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Communications","Wales","20","20","[c]","[c]"
"In post","2021","Declared disabled","Communications","West Midlands (England)","10","10","[c]","[c]"
"In post","2021","Declared disabled","Communications","Yorkshire and The Humber","10","10","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","London","10","10","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","South West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","Wales","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Corporate Finance","West Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","London","20","20","[c]","[c]"
"In post","2021","Declared disabled","Counter Fraud","North East (England)","5","5","[c]","[c]"
