"Status","Year","Function_of_post","Profession_of_post","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Analysis","Commercial","Birmingham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Central Hampshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","East Sussex CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Suffolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Commercial","Wiltshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","West Sussex (North East)","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Communications","Westminster","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Corporate Finance","Westminster","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Bristol, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Camden and City of London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Hampshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Central Valleys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Coventry","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","G6/G7","5","5","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Darlington","SEO/HEO","15","15","38960","42220"
"In post","2021","Analysis","Digital, Data and Technology","Flintshire and Wrexham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Glasgow City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Leeds","EO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Leeds","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Analysis","Digital, Data and Technology","Liverpool","G6/G7","[c]","[c]","[c]","[c]"
